date,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,TIGER BROKERS (HK) GLOBAL LTD,CMB INTERNATIONAL SECURITIES LTD,THE CORE SECURITIES COMPANY LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA CITIC BANK INTERNATIONAL LTD,CHINA SECURITIES DEPOSITORY AND CLEARING
2024-07-09,0.0,41.42735768903994,0.0,6.4514301897479465,0.20957235910506938,0.0,0.0,0.022656471254602094,51.88898329085245,0.0
2024-07-11,0.0,26.01243853051779,0.0,7.484813422042233,0.1446340757882557,0.0,0.0,0.10847555684119177,66.24963841481053,0.0
2024-07-12,0.0,21.94374185636545,0.0,7.664597225415805,0.12263355560665286,0.0,0.0,0.05365218057791063,70.21537518203418,0.0
2024-07-15,0.0,20.443602494277368,0.0,7.096061251874655,0.12629252506117294,0.0,0.0,0.023679848448969927,72.31036388033783,0.0
2024-07-16,0.0,19.673566878980893,0.0,7.237261146496815,0.12738853503184713,0.0,0.0,0.02388535031847134,72.93789808917197,0.0
2024-07-17,0.0,19.24549369915457,0.0,7.5450630084542984,0.11963630563088211,0.0,0.0,0.023927261126176425,73.06587972563408,0.0
2024-07-18,0.0,19.32108626198083,0.0,7.364217252396166,0.11980830670926518,0.0,0.0,0.023961661341853034,73.17092651757189,0.0
2024-07-19,0.0,19.121880998080616,0.0,7.469609724888036,0.11996161228406908,0.0,0.0,0.02399232245681382,73.26455534229048,0.0
2024-07-22,0.0,18.5988390841664,0.0,7.400838439213158,0.12092873266688164,0.0,0.0,0.02418574653337633,73.8552079974202,0.0
2024-07-23,0.0,18.777117146071028,0.0,7.4722802506829495,0.12052064920456372,0.0,0.0,0.024104129840912744,73.60597782420054,0.0
2024-07-24,0.0,19.15454690746364,0.0,7.495604922486815,0.11986575035959725,0.0,0.0,0.02397315007191945,73.20600926961804,0.0
2024-07-25,0.0,18.904834442395575,0.0,7.5042090916379385,0.1202597610839413,0.0,0.0,0.024051952216788262,73.44664475266576,0.0
2024-07-26,0.0,19.101753262348893,0.0,7.413337603074213,0.12008646225282202,0.0,0.0,0.024017292450564404,73.3408053798735,0.0
2024-07-29,0.0,19.12353789456818,0.0,7.338567537253645,0.12017304919083481,0.0,0.0,0.02403460983816696,73.39368690914917,0.0
