date,HUATAI FINANCIAL HOLDINGS (HONG KONG),GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.
2024-03-06,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,85.52019297123792,0.0,0.0,0.0,14.479807028762085
2024-03-14,0.0,0.0,0.0,66.32891238863691,0.0,0.0,22.42249423835755,11.248593373005539
2024-03-15,0.0,0.0,0.0,66.29633449737476,0.0,0.0,22.411481279561496,11.292184223063737
2024-03-18,0.0,0.0,0.0,66.35747238578034,0.0,0.0,22.370827225438912,11.271700388780758
2024-03-19,85.86421759448238,0.0,0.0,9.380147906255349,0.0,0.0,3.162291458902339,1.5933430403599316
2024-03-20,85.86897837005782,0.0,0.0,9.380667992273683,0.0,0.0,3.1624667934056014,1.5878868442628917
2024-03-22,85.86957350412482,0.0,0.0,9.380733007081119,0.0,0.0,3.1624887115856035,1.5872047772084574
2024-03-28,80.05321503176039,0.0,0.0,8.74533092370983,6.7734800989608335,0.0,2.94827816807447,1.479695777494487
2024-04-02,80.05334563591215,0.0,0.0,8.745556953380076,6.773655164660067,0.0,2.9483543685462346,1.479087877501465
2024-04-08,80.05800124454542,0.0,0.0,8.74606556285956,6.767587281340284,0.0,2.948525834010208,1.4798200772445274
2024-04-09,80.05205334822048,0.0,0.0,8.748141528763416,6.7671937262017146,0.0,2.952231231621246,1.4803801651931356
2024-04-10,80.03602176551871,0.0,0.0,8.779336323518866,6.752918208756984,0.0,2.951640004573782,1.4800836976316465
2024-04-11,80.02464840815594,0.0,0.0,8.792299051850149,6.751958598942108,0.0,2.9512205677272503,1.4798733733245573
2024-04-16,79.99881188604697,0.0,0.0,8.821746101339663,6.749778681490541,0.0,2.9502677453536026,1.479395585769236
2024-04-17,80.00191138780315,0.0,0.0,8.818859198521515,6.750040197260388,0.0,2.9503820515519372,1.4788071648630097
2024-04-19,80.005011129745,0.0,0.0,8.81920089270435,6.750301733295534,0.0,2.946621781753676,1.4788644625014449
2024-04-26,80.01689569941156,0.0,0.0,8.820510965735187,6.736449694282136,0.0,2.9470594959837193,1.479084144587402
2024-04-30,62.56751440433547,0.0,21.740458847966273,6.963673652224371,5.267423955865591,0.0,2.3043906646674746,1.1565384749408247
2024-05-02,62.568778335159,0.0,21.740898028526942,6.963814325892774,5.265510256336444,0.0,2.3044372158277415,1.156561838257092
2024-05-03,62.56972631678891,0.0,21.741227425592015,6.963919834873941,5.265590034256486,0.0,2.3044721304322136,1.1550642580564354
2024-05-07,62.57288646302987,0.0,21.737274888470136,6.964271554569454,5.265855978116763,0.0,2.304588520088507,1.1551225957252738
2024-05-08,62.56972631678891,0.0,21.736177081234285,6.963919834873941,5.265590034256486,0.0,2.3095224747899437,1.1550642580564354
2024-05-09,62.56656648972837,0.0,21.735079384878922,6.978213409704151,5.255728947566437,0.0,2.309405841842313,1.1550059262798062
2024-05-10,62.56688245807268,0.0,21.734684138043878,6.978248650483068,5.255755489601056,0.0,2.3094175046069676,1.1550117591923452
2024-05-13,62.570990336980934,0.0,21.72954556588484,6.978706813001667,5.256100560448035,0.0,2.309569131267667,1.1550875924168558
2024-05-14,62.57762728096037,0.0,21.731850432338813,6.968839986402756,5.256658078313457,0.0,2.3098141087062265,1.1552101132783754
2024-05-16,62.57857553075261,0.0,21.732179738890576,6.964904739559841,5.25673773337785,0.0,2.3098491097256617,1.1577531476934593
2024-05-17,62.58173657095606,0.0,21.73327749947845,6.965256558752084,5.257003267694879,0.0,2.304914473680887,1.1578116294376424
2024-05-21,62.582684945290914,0.0,21.733606849281163,6.962836416281035,5.258093211285008,0.0,2.304949402748866,1.1578291751130123
2024-05-22,62.565302648263845,0.0,21.72757035516056,6.997767400614988,5.247542802429852,0.0,2.30430920466235,1.157507588868414
2024-05-23,62.57225440824492,0.0,21.729984550372404,6.973797249774366,5.24711575806459,0.0,2.3045652412167175,1.172282792327005
