date,GF SECURITIES (HONG KONG) BROKERAGE LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,DA INTERNATIONAL FINANCIAL SERVICE LTD,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,57.663609387907655,18.75119024390092,0.0,9.823218427767182,3.402643358108517,3.401072509944375,4.10971693455758,0.0,1.6217792721447095,1.2267698656690609
2024-03-04,56.531162436401495,18.3549423471976,0.0,9.660572679633134,3.532578224937255,3.317692528340389,4.1119552176270595,1.7680679807208801,1.587004605045188,1.1360239800970056
2024-03-05,56.57127172134373,18.241135906083148,0.0,9.429018929945583,3.702344561751388,3.2528323182030086,4.246472356959323,1.7817382104202966,1.5679328062061892,1.2072531890873324
2024-03-06,56.546975152591074,18.23330159373373,0.0,9.424969298397084,3.7007544566246433,3.2514352722880897,4.287597155764412,1.7809729788175503,1.567259401029562,1.2067346907538496
2024-03-07,56.38285419293118,18.180381575514247,0.0,9.397614431017459,3.6900134510934377,3.241998362962348,4.5653911732828085,1.7758039137416,1.5627106145341063,1.2032322849228219
2024-03-08,56.38285419293118,18.180381575514247,0.0,9.394602511594032,3.6900134510934377,3.241998362962348,4.568403092706236,1.7758039137416,1.5627106145341063,1.2032322849228219
2024-03-12,56.38285419293118,18.180381575514247,0.0,9.39480066418768,3.6900134510934377,3.241998362962348,4.568204940112589,1.7758039137416,1.5627106145341063,1.2032322849228219
2024-03-13,56.64445662498706,18.23023245875841,0.0,9.53273719227899,3.920783069348658,3.311511918943965,3.91003255951107,1.7815266996317933,1.5817226198258427,1.0869968567142043
2024-03-14,56.6865018497131,18.234298649185003,0.0,9.368942208805892,3.9148683076086113,3.2709549042499835,4.033060448759359,1.7729736964810938,1.6205938380452076,1.0978060971517438
2024-03-15,56.82710665213481,18.205374622221267,0.0,9.270782078667553,3.7521893899125907,3.2428464130910886,4.179439439027295,1.7727355493995425,1.6119758892199847,1.1375499663258675
2024-03-18,56.76646148200296,18.173046635014913,0.0,9.263201155672492,3.760920063461487,3.2003992786512283,4.289291625960055,1.769781143179454,1.6134229187528466,1.1634756973045712
2024-03-19,56.70307548728763,18.149815881943738,0.0,9.231893188146769,3.7615534797799373,3.188439005480897,4.417309244810672,1.767557474933,1.6168736765399514,1.163482561077411
2024-03-20,56.722083083726545,18.140110437257118,0.0,9.219319064829618,3.762005541744886,3.187736312910742,4.419679490719056,1.7670799279602214,1.6164368403179066,1.1655493005339044
2024-03-21,56.72230627109105,18.13668954754081,0.0,9.319123046704622,3.6370527601294467,3.2384264058783274,4.378943916089978,1.7670868809825813,1.616681309680839,1.1836898619023468
2024-03-22,56.739151461053424,18.115399580251776,0.0,9.381872219039986,3.5667583334694593,3.2550683122482353,4.367298691974117,1.7735661591127976,1.6181538417994308,1.182731401050774
2024-03-25,56.73282670196168,18.10922048076438,0.0,9.39533781854892,3.5488311429017436,3.2800507701551003,4.352971911542255,1.7730980206040743,1.6158649948507373,1.1917981586711006
2024-03-26,56.706016915924586,17.97118533207272,0.0,9.46688946549395,3.521320913445938,3.2996602521090073,4.432050329555281,1.772634607863422,1.6178593805641874,1.2123828029709154
2024-03-27,56.67730643185177,17.943632162010335,0.0,9.497510013074434,3.5142163228361682,3.2987145536445093,4.452109550321196,1.7722331107246625,1.6176912735926672,1.2265865819442612
2024-03-28,56.683441030654876,17.935050328436898,0.0,9.494075056561519,3.541037708009275,3.287701854671473,4.433404802632249,1.7701935965991498,1.6176399403178838,1.2374556821166718
2024-04-02,56.680113624860184,17.928563653590917,0.0,9.528461026624608,3.5420594030841364,3.2948862183214094,4.3989945321034085,1.769098103272235,1.6234944636714825,1.2343289744716224
2024-04-03,56.70836566017172,17.9285598237922,0.0,9.54470007266757,3.5509674935493027,3.2739243812971837,4.369235900013753,1.7698808238249824,1.6242127632850747,1.2301530813982071
2024-04-05,56.63087101514825,17.913538624325117,0.0,9.61374531858976,3.570692587624111,3.2146083321919448,4.428049558364696,1.7657096734764122,1.6409584465460136,1.2218264437336863
2024-04-08,56.67813878490639,17.892788658560907,0.0,9.563679946418596,3.589848735011989,3.1651546657084735,4.462024784319571,1.7665699048975179,1.639615545939737,1.2421789742368285
2024-04-09,56.64113646686341,17.900917569478473,0.0,9.630791411955771,3.5746505520834146,3.171315893948395,4.429640208203368,1.767372479032863,1.6330175598465928,1.2511578585877126
2024-04-10,56.56178976629539,17.852070480409363,0.0,9.57491335395448,3.3660146320990707,3.1431580891762767,4.548601422276102,1.9633638439432488,1.6137655209797634,1.376322890866311
2024-04-11,56.29990799050042,17.73940907863806,0.0,9.803838943973169,3.326337736146248,3.119317251038991,4.5744650626499705,1.9574850060382158,1.6085394500117849,1.5706994810031443
