date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,42.87062624612773,14.234662800443568,13.981692114538502,7.047410484338624,5.972494988957735,6.351883745817618,5.388631329892575,3.586801713610939,0.5657965762727135
2024-03-04,43.46620439246146,13.996270949062367,13.996021468705273,7.040651863622937,5.855168790293718,6.363616873362476,5.284658799568206,3.585073644489059,0.41233321843451004
2024-03-05,43.56002685417378,13.822231314472628,14.050814215979251,7.081162149429841,5.849071987680263,6.3705239972513645,5.291061285914229,3.5683039013791773,0.4068042937194655
2024-03-06,43.443791263371175,12.704583001954676,14.099300744794988,7.158460408104878,5.983044931964699,7.288035139863383,5.337542922131082,3.5806173991792383,0.404624188635887
2024-03-07,42.515825829651256,13.209996203530352,14.226529463376766,7.3247635347542195,6.140549512933155,8.476820549630643,4.092900033105367,3.643666117212889,0.3689487558053559
2024-03-08,34.113645495480675,13.143708340398943,13.643868056832867,7.0451460033288225,6.004372906079055,18.035545000315516,3.940010902786023,3.732003679209078,0.3416996155690203
2024-03-11,28.118223828509247,13.271411127823407,14.406528274873159,7.521805864992562,6.417362994627861,21.80071713749926,4.176269515141586,3.926881434026349,0.36079982250657155
2024-03-12,36.753849688241374,9.652367463590114,14.779653296953688,7.720375360719807,6.5647866689677965,15.815278455072782,4.288660167755939,4.028586556441874,0.39644234225662456
2024-03-13,39.40705968087356,20.089528546288932,12.499096299859644,6.615669225557852,5.570480739562619,7.9025624511801364,3.624123506178307,3.4748717984888557,0.8166077520100984
2024-03-14,39.335860917313084,20.27157368673157,12.497006485036142,6.534353520347588,5.565975676062654,7.888097513697087,3.6175614054293015,3.474290809398122,0.8152799859844474
2024-03-15,40.08971884447934,21.709458907757394,12.47498890409633,6.521903767464882,5.563646749214195,5.819234645509698,3.5998447306412182,3.426789835720407,0.7944136151165291
2024-03-18,40.656109279823745,21.28242162073841,12.492784862484383,6.546283635252415,5.5632518962013,5.824917471459065,3.6025995728651283,3.5693474932106453,0.46228416796491006
2024-03-19,40.13509527130433,21.701612989709385,12.497461988648807,6.556672270407339,5.56850981967794,5.866787224868317,3.6039483364040565,3.602295290189941,0.46761680878987816
2024-03-20,40.010102577068416,21.53682043837207,12.492142099539121,6.580064821576739,5.53321159529341,6.0675696544803355,3.6032076582748678,3.6503519864531557,0.5265291689418775
