date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,78.35140997830803,0.0,0.0,10.303687635574837,0.0,11.344902386117136,0.0,0.0,0.0,0.0
2024-03-05,78.35610496638473,0.0,0.0,10.301453047061376,0.0,11.342441986553894,0.0,0.0,0.0,0.0
2024-03-07,65.50326106116692,0.0,0.0,8.372994888066279,7.861801515952759,9.44826370527058,0.0,0.0,0.0,8.813678829543452
2024-03-08,47.77998649138794,0.0,26.727955265218657,6.087846991257852,6.126296551202638,6.869654710135176,0.0,0.0,0.0,6.408259990797739
2024-03-11,47.81342900288571,0.0,26.710838265600845,6.083948239049213,6.12237317529584,6.865255276063954,0.0,0.0,0.0,6.404156041104435
2024-03-12,47.820112365738055,0.0,26.70741749621883,6.083169087767963,6.121589103059129,6.864376065355008,0.0,0.0,0.0,6.403335881861014
2024-03-13,47.82067056487287,0.0,26.700578585301958,6.081611383752239,5.927970675110077,7.067472597539444,0.0,0.0,0.0,6.401696193423409
2024-03-14,47.74754219972647,0.0,26.58146207409919,6.054480124097723,5.901524836752096,7.341853792590081,0.0,0.0,0.0,6.373136972734446
2024-03-15,48.69355212311229,0.0,26.396411334572928,6.012330974390002,5.2781937185697485,7.290742402628718,0.0,0.0,0.0,6.328769446726318
2024-03-18,38.3275846899242,21.16568450377295,20.616325751846436,4.695796421901986,4.438763354597876,5.812901675954458,0.0,0.0,0.0,4.9429436020020905
2024-03-19,38.33368095266809,21.16359229491036,20.614287846602014,4.695332246652228,4.438324586835474,5.812327075855811,0.0,0.0,0.0,4.942454996476029
2024-03-21,38.31262589526895,21.13017311740619,20.700167679421423,4.687917903207818,4.4313160811374965,5.803148899128837,0.0,0.0,0.0,4.934650424429283
2024-03-27,38.35440177691296,21.12600313979178,20.696082562117454,4.686992756376037,4.43044157392177,5.8020036647349675,0.0,0.0,0.0,4.904074526145032
2024-03-28,38.54496698896078,21.079278822087925,20.708342754010246,4.689769292970381,4.43306613167095,5.805440724771756,0.0,0.0,0.0,4.739135285527964
2024-04-02,38.554840187472294,21.079278822087925,20.708342754010246,4.689769292970381,4.4231929331594335,5.805440724771756,0.0,0.0,0.0,4.739135285527964
2024-04-09,38.59121825302459,21.06679902076387,20.696082562117454,4.686992756376037,4.420574220750452,5.8020036647349675,0.0,0.0,0.0,4.7363295222326265
2024-04-11,38.630687665709864,21.06679902076387,20.696082562117454,4.52911510563495,4.538982458806267,5.8020036647349675,0.0,0.0,0.0,4.7363295222326265
2024-04-16,38.62463154134385,21.068877961361554,20.698124919203075,4.529562053519885,4.539430380433871,5.802576225424166,0.0,0.0,0.0,4.736796918713605
2024-04-17,38.614763214429864,21.068877961361554,20.698124919203075,4.529562053519885,4.539430380433871,5.812444552338152,0.0,0.0,0.0,4.736796918713605
2024-04-29,38.68989178473777,21.06679902076387,20.696082562117454,4.52911510563495,4.538982458806267,5.74279954570706,0.0,0.0,0.0,4.7363295222326265
2024-05-02,38.70546863459123,21.16705315954208,20.794572509797817,4.530839950309475,4.560582882149581,5.482613769192866,0.0,0.0,0.0,4.758869094416954
2024-05-03,38.71154496239379,21.16495480018201,20.792511075665455,4.3122975822384895,4.560130776620011,5.7001634707750135,0.0,0.0,0.0,4.758397332125229
2024-05-06,38.754045547891266,21.15027792554904,20.778092472779544,4.309307211997111,4.556968546019934,5.696210682524917,0.0,0.0,0.0,4.755097613238192
2024-05-09,38.79648723002585,21.135621392218727,20.76369385324652,4.306320986236602,4.553810698089281,5.692263372611601,0.0,0.0,0.0,4.751802467571423
2024-05-13,38.61829463749192,21.313813984752652,20.76369385324652,4.306320986236602,4.553810698089281,5.692263372611601,0.0,0.0,0.0,4.751802467571423
2024-05-14,38.62819422596603,21.313813984752652,20.76369385324652,4.306320986236602,4.553810698089281,5.692263372611601,0.0,0.0,0.0,4.7419028790973154
2024-05-16,38.61829463749192,21.313813984752652,20.76369385324652,4.375618105555352,4.553810698089281,5.692263372611601,0.0,0.0,0.0,4.682505348252673
2024-05-22,37.31703148170959,20.55874329071667,20.028111909079364,4.220605914768587,4.468876850931445,5.461960595582878,0.0,0.0,3.428048695479464,4.516621261731996
2024-05-24,37.35544786016591,20.651327224379624,19.997559215249566,4.214167420672112,4.462059621888119,5.453628426752145,0.0,0.0,3.4228192398671675,4.442990991025349
2024-05-27,37.393585121891455,20.651327224379624,19.997559215249566,4.214167420672112,4.462059621888119,5.453628426752145,0.0,0.0,3.4228192398671675,4.40485372929981
2024-05-29,37.31645131111985,20.804326081639374,19.96139874355575,4.206547176616928,4.453991128182628,5.443766934445436,0.0,0.0,3.416629946618726,4.396888677821313
2024-05-30,37.322416383798526,20.802346306727078,19.959499183036858,4.206146874461742,4.453567278841844,5.443248896362253,0.0,0.0,3.416304814325261,4.396470262446436
2024-06-05,37.37951340019394,21.497026672871208,19.959499183036858,4.206146874461742,4.453567278841844,4.691471513822712,0.0,0.0,3.416304814325261,4.396470262446436
2024-06-06,37.37355376148116,21.499072561035383,19.96139874355575,4.206547176616928,4.453991128182628,4.6919180046881115,0.0,0.0,3.416629946618726,4.396888677821313
2024-06-07,37.455575114630264,21.52980768039434,19.989935601190574,4.212560865309562,4.460358563268947,4.527073328104167,0.0,0.0,3.421514367977675,4.403174479124473
2024-06-12,37.46153545599485,21.527755938715938,19.988030605817166,4.212159417845261,4.4599335012479235,4.526641908317871,0.0,0.0,3.4211883054444545,4.40275486661654
2024-06-13,37.4996545457491,21.527755938715938,19.949911516062908,4.212159417845261,4.4599335012479235,4.526641908317871,0.0,0.0,3.4211883054444545,4.40275486661654
2024-06-20,37.44130147107159,21.59781944908888,19.944209602693487,4.210955534405508,4.458658801135243,4.525348142177864,0.0,0.0,3.420210490614428,4.401496508812997
2024-06-26,37.423416366240595,21.603994118224453,19.949911516062908,4.212159417845261,4.4599335012479235,4.526641908317871,0.0,0.0,3.4211883054444545,4.40275486661654
