date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-01,24.72799530454043,25.980032083449217,25.428973358783473,5.05993338101138,8.028005034712931,2.2644290337486943,4.609847103678867,1.5194960689142234,1.352954114120921,1.0283345170398608
2024-03-04,24.90722802308292,25.980260809739075,25.369491308744223,5.152290169461572,7.991650501306805,2.2399137749399616,4.5047689003827545,1.4291220084646068,1.397985463094051,1.0272890407840263
2024-03-05,24.945597069607786,26.039123518198622,25.457559821849042,5.112803687327296,8.008411510203645,2.2161332169429966,4.509584617765694,1.289068562387085,1.3931464097863924,1.0285715859314462
2024-03-06,25.07892206817153,26.15594663915976,25.381538921635787,4.9667734281556815,8.018449676629354,2.216563209535944,4.501702848130348,1.2638323033613639,1.3873967674625607,1.0288741377576687
2024-03-07,24.92574668705681,26.209919840860042,25.49341817450095,5.220932072157082,8.021746046183377,2.215335092726167,4.194739475794521,1.2990860372750501,1.390555005231994,1.0285215682140085
2024-03-08,24.913581393575974,26.009805246816146,25.477592426186398,5.309048797323161,7.970402621282112,2.1956103907421984,4.169117086086572,1.295882469896681,1.6345816710314205,1.0243778970593342
2024-03-11,25.13422115141014,25.94595720192888,25.533609463090933,5.313710482081292,7.977855076478684,2.2116081415701814,4.16869330164337,1.2973408932623915,1.39275088345411,1.0242534050800154
2024-03-12,25.126085869545413,25.932125349345046,25.609924544811076,5.255252130766369,7.971405833983641,2.1939441195163645,4.198116097275433,1.3035118758756437,1.3854679761305981,1.024166202750417
2024-03-13,25.18721096660435,25.93621211753876,25.534501953953647,5.206534955580453,7.9086563030227905,2.17798022192027,4.154522208773987,1.5009385548775789,1.3724976832571651,1.0209450344709918
2024-03-14,25.326314845507035,26.104802923112132,25.49272198750297,5.150931305404256,7.920074442594782,2.185265204991309,4.128828274973739,1.295388667724771,1.3718301916420441,1.0238421565469586
2024-03-15,25.54066275323202,26.107374172852047,25.462051108186827,5.200647393914426,7.911145310270892,2.1877696985326347,4.128277639240435,1.081718110124601,1.3570451371750427,1.0233086764710715
2024-03-18,25.551578077480592,25.97176486061515,25.515090254929547,5.422721842218144,7.848921046928805,2.133017687979029,4.090886029522303,1.0840620151007834,1.361557217843568,1.020400967382082
2024-03-19,25.230278365703096,25.889295846518024,25.50472534990485,5.720921306206052,7.821874640142699,2.1305822927905878,4.009078398856693,1.2788869914442627,1.3966186711189603,1.0177381373147718
2024-03-20,25.407839266171568,25.6724844323912,25.41167593024536,6.299854879837223,7.808521759013937,2.1337501208497645,3.622355659500919,1.2743202618951548,1.353311810775149,1.0158858793197296
