date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,48.55049149926433,14.574626163461312,12.050129573573816,11.751041964746754,6.165375820253629,1.6850592526561865,2.0594686972437874,2.580940503727359,0.0,0.5828665250728234
2024-03-04,48.67868281269382,14.57344540256845,11.970948853154706,11.687378850221608,6.174411370478649,1.7143616500454686,2.061870452844257,2.5943671344433947,0.0,0.5445334735496471
2024-03-05,48.858704783709044,14.595864134906547,11.933266576061426,11.525136663785307,6.167947802852464,1.7019469141857442,2.060505202453491,2.589870477615196,0.0,0.5667574444307787
2024-03-06,48.957221535607985,14.491483987513737,12.194290551916499,11.175980389200262,6.166257956446088,1.7459653873557608,2.046336375389745,2.607520133908741,0.0,0.6149436826611749
2024-03-07,48.96524282369243,14.465291867517463,12.29524538067039,11.023490909898484,6.189245759877682,1.7822003915989693,2.057329955646383,2.6196684530485586,0.0,0.6022844580496393
2024-03-08,48.8798427187149,14.481366108881733,12.46799608139927,10.910989718164634,6.165099400534373,1.7972445618839186,2.0577755147840873,2.6241974734045894,0.0,0.6154884222325003
2024-03-11,49.0532773093723,14.469791316111518,12.505797620905664,10.746549930698572,6.163230731805955,1.8042058114843895,2.054893229959686,2.617129251454999,0.0,0.5851247982069213
2024-03-12,49.01559117873528,14.52418738963166,12.544041544247767,10.647557780292406,6.164906300198357,1.825681524638833,2.057910111263268,2.6268558398012956,0.0,0.593268331191135
2024-03-13,48.123578917027274,14.315690652682925,12.28012142503607,10.529640431086444,6.04234320666898,1.7976324289631176,2.0444890226632606,2.5632503139555807,1.7233811903210632,0.5798724115952862
2024-03-14,48.423717700105925,14.15881690128415,11.965632169207613,10.592770997598517,6.080269486364206,1.910815214473002,2.0509671836067387,2.53263308767873,1.726328606646386,0.5580486530347297
