date,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA SUNRISE SECURITIES (INTL) LTD,CMBC SECURITIES CO LTD,GOLDLINK SECURITIES LTD,HUNG SING SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-05-13,52908000.0,8938000.0,18772000.0,3048000.0,8796900.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,65856000.0,8346000.0,18774000.0,3226000.0,8602900.0,50172000.0,0.0,0.0,0.0,0.0
2024-05-27,66498000.0,8300000.0,18666000.0,3006000.0,8316900.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,0.0,8762000.0,18720000.0,3374000.0,7830900.0,0.0,0.0,0.0,0.0,4926000.0
2024-06-03,66538000.0,9302000.0,18716000.0,3282000.0,7588900.0,0.0,0.0,0.0,0.0,4920000.0
2024-06-05,0.0,9258000.0,18712000.0,3214000.0,7384900.0,0.0,0.0,0.0,48834000.0,0.0
2024-06-06,0.0,9994000.0,18718000.0,3216000.0,7010900.0,0.0,0.0,0.0,48924000.0,0.0
2024-06-07,0.0,10512000.0,18212000.0,3392000.0,7018900.0,0.0,0.0,0.0,48928000.0,0.0
2024-06-11,66522000.0,10662000.0,18178000.0,3672000.0,6982900.0,0.0,0.0,0.0,48950000.0,0.0
2024-06-17,66326000.0,11690000.0,18168000.0,3702000.0,6456900.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,66414000.0,12066000.0,18252000.0,3708000.0,6346900.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,58736000.0,19982000.0,18246000.0,4128000.0,6232900.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,59520000.0,20336000.0,18214000.0,4132000.0,6178900.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,60514000.0,20368000.0,18154000.0,4086000.0,6162900.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,71172000.0,20520000.0,0.0,4140000.0,6056900.0,36116000.0,0.0,0.0,0.0,0.0
2024-07-30,71112000.0,24702000.0,18110000.0,4462000.0,5624900.0,30480000.0,0.0,0.0,0.0,0.0
2024-07-31,71650000.0,24662000.0,18092000.0,4496000.0,5516900.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,24614000.0,0.0,5466000.0,5492900.0,0.0,0.0,0.0,47702000.0,5492000.0
2024-09-23,82074000.0,24616000.0,7902000.0,5366000.0,5376900.0,0.0,0.0,0.0,0.0,5550000.0
2024-10-03,82116000.0,24590000.0,7796000.0,5540000.0,5370900.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,85616000.0,24578000.0,7800000.0,5486000.0,5330900.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,84676000.0,25326000.0,7632000.0,5372000.0,5032900.0,0.0,8050000.0,0.0,0.0,0.0
2024-12-04,84352000.0,25334000.0,7594000.0,5478000.0,5032900.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,84232000.0,25268000.0,7968000.0,5416000.0,4946900.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,83486000.0,25208000.0,8086000.0,5486000.0,5100900.0,0.0,8000000.0,0.0,0.0,16466000.0
2025-01-09,80500000.0,0.0,0.0,5502000.0,5124900.0,28280000.0,0.0,0.0,0.0,16440000.0
2025-01-15,0.0,25116000.0,8192000.0,5438000.0,5220900.0,0.0,0.0,0.0,0.0,16436000.0
2025-01-16,74400000.0,24792000.0,0.0,7032000.0,5102900.0,0.0,0.0,19068000.0,0.0,16420000.0
2025-04-11,75180000.0,24712000.0,8216000.0,6952000.0,4900900.0,0.0,6650000.0,0.0,0.0,0.0
2025-04-14,75154000.0,24710000.0,8196000.0,6954000.0,0.0,0.0,6670000.0,0.0,0.0,0.0
2025-04-16,84266000.0,24706000.0,8180000.0,7016000.0,4750900.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,82898000.0,24272000.0,8254000.0,7218000.0,4818900.0,0.0,0.0,0.0,0.0,0.0
