date,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,LONG BRIDGE HK LTD,CHINA SUNRISE SECURITIES (INTL) LTD,UZEN SECURITIES LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-08,1.7534999999999998,2.0340000000000003,0.21050000000000002,9.789,0.0,0.037,0.0245,0.076,0.0325,0.0315,13.9885
2024-03-12,2.0765,1.997,0.318,10.525500000000001,0.0,0.49,0.5519999999999999,0.096,0.35200000000000004,0.33999999999999997,16.747
2024-03-13,1.8235000000000001,1.7819999999999998,0.3055,10.885499999999999,0.0,0.7215,0.64,0.11,0.19949999999999998,0.40650000000000003,16.874
2024-03-14,1.6712,1.8304999999999998,0.306,11.0325,0.0,0.7100000000000001,0.6345,0.0905,0.19,0.4095,16.8747
2024-03-15,1.6555,1.8315000000000001,0.3055,11.0325,0.0,0.715,0.5755,0.0945,0.22,0.3785,16.808500000000002
2024-03-18,1.637,1.9044999999999999,0.316,11.0325,0.0,0.711,0.5945,0.087,0.2235,0.3255,16.8315
2024-03-19,1.6198000000000001,1.923,0.32299999999999995,11.0295,0.0,0.7080000000000001,0.555,0.08549999999999999,0.2065,0.345,16.795299999999997
2024-03-20,1.6788,1.9175000000000002,0.33899999999999997,11.0295,0.0,0.7085,0.42,0.0935,0.23500000000000001,0.357,16.7788
2024-03-21,1.6431999999999998,1.918,0.336,11.032,0.0,0.7035,0.418,0.0925,0.23500000000000001,0.347,16.7252
2024-03-22,1.6181999999999999,1.9154999999999998,0.33999999999999997,11.032,0.0,0.7025,0.40099999999999997,0.0925,0.2,0.296,16.5977
2024-03-25,1.6167,1.5975,0.34650000000000003,11.29,0.0,0.6965,0.4015,0.092,0.198,0.2765,16.5152
2024-03-26,1.545,1.1655,0.331,11.29,0.0,0.7000000000000001,0.394,0.0895,0.1975,0.264,15.9765
2024-03-27,1.3355000000000001,1.049,0.327,11.29,0.0,0.757,0.376,0.0965,0.1915,0.24450000000000002,15.667
2024-03-28,1.099,1.107,0.3235,11.29,0.0,0.762,0.44349999999999995,0.1,0.19,0.2195,15.534500000000001
2024-04-02,1.031,1.043,0.298,11.29,0.0,0.756,0.4135,0.133,0.1625,0.20950000000000002,15.336500000000001
2024-04-03,1.027,1.0155,0.2915,11.341,0.0,0.756,0.4245,0.1355,0.1595,0.203,15.3535
2024-04-05,1.1789998,0.9990000000000001,0.2835,11.341,0.0,0.775,0.47450000000000003,0.11349999999999999,0.0305,0.148,15.343999799999999
2024-04-08,1.2214998,0.976,0.2855,11.341,0.0,0.7765,0.5055,0.149,0.034499999999999996,0.182,15.4714998
2024-04-09,1.2224998,0.947,0.2845,11.341,0.0,0.775,0.5145000000000001,0.1725,0.0335,0.173,15.4634998
2024-04-10,1.2934998,0.9289999999999999,0.28800000000000003,11.341,0.0,0.775,0.528,0.1835,0.0395,0.178,15.5554998
2024-04-11,1.3064997999999999,0.9175000000000001,0.28700000000000003,11.341,0.0,0.7745,0.518,0.19949999999999998,0.039,0.18,15.5629998
2024-04-12,1.2969998,0.9119999999999999,0.2875,11.341,0.0,0.7755,0.514,0.20850000000000002,0.0495,0.1825,15.5674998
2024-04-15,1.2664998,0.911,0.28800000000000003,11.341,0.0,0.777,0.514,0.209,0.1095,0.1805,15.5964998
2024-04-16,1.2549998,0.911,0.2875,11.341,0.0,0.7779999999999999,0.5245,0.21150000000000002,0.12,0.1785,15.606999799999999
2024-04-17,1.2574999999999998,0.915,0.2865,11.341,0.0,0.764,0.5285,0.216,0.1565,0.19,15.655
2024-04-18,1.2534999999999998,0.9119999999999999,0.28600000000000003,11.341,0.0,0.7815000000000001,0.5285,0.218,0.17750000000000002,0.17149999999999999,15.6695
2024-04-19,1.26,0.905,0.2855,11.341,0.0,0.7825000000000001,0.5285,0.2185,0.181,0.1825,15.684500000000002
2024-04-22,1.2555,0.905,0.28600000000000003,11.341,0.0,0.7905000000000001,0.5315000000000001,0.22899999999999998,0.187,0.18,15.7055
2024-04-23,0.7975,0.9035,0.28600000000000003,11.341,0.0,0.7885,0.5495,0.6695000000000001,0.192,0.178,15.7055
2024-04-24,0.7985000000000001,0.905,0.28500000000000003,11.341,0.0,0.7865000000000001,0.553,0.666,0.19,0.179,15.704
2024-04-25,0.795,0.9055000000000001,0.2985,11.341,0.0,0.786,0.557,0.6665,0.19,0.174,15.7135
2024-04-26,0.7955,0.907,0.3065,11.341,0.0,0.7865000000000001,0.557,0.6685,0.1875,0.167,15.7165
2024-04-29,0.7894999999999999,0.7865000000000001,0.3135,11.341,0.0,0.787,0.557,0.6685,0.1875,0.166,15.596499999999999
2024-04-30,0.7675000000000001,0.709,0.3185,11.341,0.0,0.7865000000000001,0.5559999999999999,0.6709999999999999,0.2205,0.211,15.581
2024-05-02,0.7755,0.62,0.3015,11.341,0.0,0.7845,0.5579999999999999,0.654,0.2585,0.24350000000000002,15.5365
2024-05-03,0.7885,0.505,0.3013786,11.341,0.0,0.7865000000000001,0.5475,0.65,0.26549999999999996,0.252,15.4373786
2024-05-06,0.7645,0.24949999999999997,0.3033786,11.341,0.0,0.7865000000000001,0.5495,0.658,0.337,0.2985,15.287878599999999
2024-05-07,0.7635000000000001,0.46449999999999997,0.3023786,11.128499999999999,0.0,0.7875,0.5505,0.658,0.34299999999999997,0.29450000000000004,15.292378600000001
2024-05-08,0.7845,0.44600000000000006,0.3058786,11.1275,0.0,0.7929999999999999,0.559,0.662,0.381,0.362,15.420878599999998
2024-05-09,0.7975,0.40049999999999997,0.3098786,11.1275,0.0,0.795,0.5585,0.6665,0.5445,0.3705,15.570378600000002
2024-05-10,0.7894999999999999,0.39449999999999996,0.3113786,11.1275,0.0,0.7905000000000001,0.605,0.6675,0.649,0.38,15.7148786
2024-05-13,0.787,0.2805,0.3098786,11.1275,0.0,0.7905000000000001,0.6094999999999999,0.6629999999999999,0.76,0.3735,15.701378599999998
2024-05-14,1.1039999999999999,0.3235,0.3138786,10.493500000000001,0.0,0.7975,0.6114999999999999,0.653,0.8109999999999999,0.3675,15.4753786
2024-05-16,1.1205,0.3245,0.31587859999999995,10.493500000000001,0.0,0.804,0.6125,0.6605,0.822,0.377,15.5303786
2024-05-17,1.2185,0.317,0.3738786,10.493500000000001,0.0,0.8155000000000001,0.6479999999999999,0.6839999999999999,0.882,0.443,15.875378600000001
2024-05-20,1.2255,0.3175,0.3948786,10.493500000000001,0.0,0.8155000000000001,0.647,0.6839999999999999,0.8880000000000001,0.46249999999999997,15.9283786
2024-05-21,1.226,0.3145,0.4193786,10.493500000000001,0.0,0.8160000000000001,0.6465000000000001,0.6655,0.9119999999999999,0.475,15.9683786
2024-05-22,1.24,0.3165,0.4483786,10.493500000000001,0.0,0.818,0.6475,0.6705,0.9175000000000001,0.483,16.0348786
2024-05-23,1.0975000000000001,0.3175,0.4608786,10.653500000000001,0.0,0.8194999999999999,0.652,0.6755,0.9225000000000001,0.48650000000000004,16.0853786
2024-05-24,1.2193224,0.104,0.4868786,10.653500000000001,0.0,0.8205,0.6605,0.64,0.9530000000000001,0.6114999999999999,16.149200999999998
2024-05-27,1.4738224,0.0325,0.4988786,10.653500000000001,0.0,0.819,0.668,0.6495,0.9854999999999999,0.6495,16.430201
2024-05-28,1.2548224000000001,0.0935,0.5048786000000001,10.653500000000001,0.0,0.8200000000000001,0.67,0.668,1.0015,0.721,16.387201
2024-05-29,1.2358224,0.092,0.5053786,10.653500000000001,0.0,0.8205,0.67,0.668,1.0015,0.7135,16.360201
2024-05-30,1.2243224000000001,0.091,0.5053786,10.6375,0.0,0.8215,0.676,0.6685,1.0015,0.7155,16.341200999999998
2024-05-31,1.2438224,0.0925,0.5093786,10.6375,0.0,0.8215,0.676,0.7000000000000001,1.0015,0.7025,16.384701
2024-06-03,1.2073224,0.092,0.5078786,10.613,0.0,0.8200000000000001,0.6779999999999999,0.7035,1.006,0.7065,16.334201
2024-06-04,1.1458224,0.1045,0.5078786,10.597,0.0,0.822,0.6819999999999999,0.72,1.008,0.7535000000000001,16.340701
2024-06-05,1.5053224,0.1235,0.5008786000000001,9.687999999999999,0.0,0.831,0.6819999999999999,0.7165,1.009,0.757,15.813201
