date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DBS BANK LTD,BOCI SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,DEUTSCHE BANK AG,CHINA INTERNATIONAL CAPITAL CORPORATION,TOTAL_CCASS_PCT
2024-03-01,11.138727315358976,14.37507373374177,10.34514073263486,0.0,5.757490375977708,0.0,2.98997910953368,0.20497141043382738,0.0,0.0,44.811382677680825
2024-03-04,10.709091673380186,14.364825586563404,10.667241155126641,0.0,5.75249353672144,0.0,2.9863008806367044,0.19324864047050092,0.0,0.0,44.673201472898874
2024-03-05,10.709855079377672,14.34958060012877,10.674713280495968,0.0,5.75249353672144,0.0,2.9944670114582914,0.19324864047050092,0.0,0.0,44.674358148652644
2024-03-06,10.70724099217416,14.227528174591395,10.606251955982076,0.0,5.7624409482038255,0.17974741213521417,3.0479748318275,0.19324864047050092,0.0,0.0,44.72443295538467
2024-03-07,10.70284562430985,14.212028719490933,10.604663146166702,0.0,5.767067651218889,0.18900081816534103,3.0994469028700804,0.19324864047050092,0.0,0.0,44.768301502692296
2024-03-08,10.702729956734474,14.201433569586438,10.58659587089288,0.0,5.769381002726421,0.18900081816534103,3.103610935583638,0.19324864047050092,0.0,0.0,44.74600079415969
2024-03-11,10.685310419882759,14.17973433244579,10.5628284975045,0.0,5.7790970790580545,4.121698380969255,3.1936697097718474,0.19324864047050092,0.0,0.0,48.715587060102706
2024-03-12,10.685773090184266,14.167357901880495,10.514636990234749,0.0,5.7790970790580545,4.121698380969255,3.193831644377375,0.22675036566742443,0.0,0.0,48.68914545237162
2024-03-13,10.70427990224452,14.152853187928272,10.514706390779976,0.0,5.7790970790580545,4.121698380969255,3.1868453228246287,0.22675036566742443,0.0,0.0,48.68623062947213
2024-03-14,10.690330392654104,14.112716539272597,10.635659141544727,0.0,5.7790970790580545,4.0985648658939375,3.1276466577468924,0.22809210954179282,0.0,0.0,48.6721067857121
