date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CLSA LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,382013543.0,380759903.0,54732458.0,72622518.0,35271119.0,27125731.0,16585261.0,0.0,0.0,35112064.0
2024-03-04,381170543.0,380816908.0,55028458.0,71989518.0,35291119.0,27181731.0,16638261.0,0.0,0.0,35114064.0
2024-03-05,380768543.0,380835917.0,55363458.0,72032518.0,32292119.0,27231731.0,0.0,0.0,0.0,34894068.0
2024-03-06,379830543.0,380786917.0,55607458.0,72154518.0,0.0,27256731.0,16673261.0,0.0,27348022.0,34820068.0
2024-03-07,378346543.0,380798917.0,55750458.0,72420518.0,33042119.0,27783731.0,16821261.0,0.0,0.0,34892068.0
2024-03-08,376710654.0,380772927.0,55562458.0,72513518.0,32535119.0,27731731.0,16810261.0,0.0,0.0,34745072.0
2024-03-11,376394654.0,380786927.0,55618458.0,71728518.0,32635119.0,27875731.0,16860261.0,0.0,0.0,34903072.0
2024-03-12,376371654.0,381321927.0,55810458.0,67144474.0,0.0,27335731.0,16845261.0,0.0,0.0,33558072.0
2024-03-13,376532486.0,381354099.0,55825458.0,67155474.0,0.0,27345731.0,16748261.0,0.0,0.0,32039072.0
2024-03-14,376398486.0,381299222.0,55907458.0,67338474.0,32646119.0,27347731.0,16594261.0,0.0,0.0,30710072.0
2024-03-15,376369558.0,381286222.0,56006458.0,69651571.0,32637119.0,27332731.0,16712261.0,0.0,0.0,30876072.0
2024-03-18,375670558.0,380647222.0,56125458.0,68964114.0,32632119.0,26856731.0,16878261.0,0.0,0.0,31076072.0
2024-03-19,374402260.0,380678560.0,56214458.0,72220846.0,32662119.0,25559731.0,17411261.0,0.0,0.0,31670072.0
2024-03-20,374372332.0,380677560.0,56496458.0,72102944.0,32762119.0,25629731.0,17608261.0,0.0,0.0,31659072.0
2024-03-21,374043332.0,0.0,56668458.0,71949616.0,33004119.0,25710731.0,17716261.0,0.0,0.0,31357072.0
2024-03-22,371355668.0,380704560.0,56720458.0,74565280.0,33084119.0,25683731.0,17703261.0,0.0,0.0,31370072.0
2024-03-25,373992668.0,380720560.0,56713458.0,71720280.0,33144119.0,25594731.0,17679261.0,0.0,0.0,31375072.0
2024-03-26,374023204.0,380684560.0,56696458.0,71627280.0,0.0,25607731.0,17613261.0,0.0,0.0,31376072.0
2024-03-27,374010204.0,380194360.0,56812458.0,71594280.0,0.0,25563731.0,17740261.0,0.0,27353022.0,31356072.0
2024-03-28,373748868.0,0.0,56774458.0,71355280.0,33194119.0,25613731.0,0.0,0.0,0.0,31367072.0
2024-04-02,373749868.0,380691360.0,56906458.0,71214280.0,0.0,25681731.0,17852261.0,0.0,0.0,31361072.0
2024-04-03,372581868.0,380690360.0,56823458.0,71240063.0,0.0,25813731.0,17893261.0,0.0,0.0,31611072.0
2024-04-05,372865868.0,380718360.0,56874458.0,71185063.0,33308119.0,25776731.0,17871261.0,0.0,0.0,31602072.0
2024-04-08,372492366.0,380746360.0,56930458.0,71244101.0,0.0,25944731.0,17916261.0,0.0,0.0,31627072.0
2024-04-09,371988902.0,380745360.0,56923458.0,71246101.0,0.0,25949731.0,18043261.0,0.0,0.0,31645072.0
2024-04-10,371745902.0,380744360.0,57101458.0,71350101.0,33408119.0,26121731.0,18044261.0,0.0,0.0,31709072.0
2024-04-11,371252902.0,380807360.0,57067458.0,71308101.0,0.0,26161731.0,18104261.0,0.0,0.0,31685072.0
2024-04-12,370347902.0,380194360.0,57148458.0,71219101.0,33508119.0,26081731.0,18026261.0,0.0,0.0,0.0
2024-04-15,370170786.0,380690360.0,57224458.0,71151101.0,0.0,26093731.0,18166261.0,0.0,0.0,31721072.0
2024-04-16,370256786.0,380685360.0,57229458.0,70977101.0,0.0,26118731.0,18162261.0,0.0,0.0,31727072.0
2024-04-17,369819786.0,380690360.0,57485458.0,70917101.0,0.0,26278731.0,18472261.0,0.0,0.0,31767072.0
2024-04-18,368987786.0,380161360.0,57474458.0,71358101.0,33518119.0,26348731.0,18513261.0,0.0,0.0,31886072.0
2024-04-19,368759170.0,380125360.0,57528458.0,71321101.0,0.0,0.0,18560261.0,0.0,0.0,32211072.0
2024-04-22,368391170.0,380157375.0,57664458.0,71355101.0,0.0,26308731.0,18647261.0,0.0,0.0,32234072.0
2024-04-23,368389170.0,380165375.0,57636458.0,71277101.0,33540828.0,26295731.0,18716261.0,0.0,0.0,32459072.0
2024-04-24,368228398.0,380365528.0,57591458.0,71200101.0,33549828.0,26387731.0,18647261.0,0.0,0.0,32457072.0
2024-04-25,366905398.0,380410528.0,57608458.0,71174101.0,0.0,26776731.0,18601261.0,0.0,0.0,32469072.0
2024-04-26,366631398.0,380437528.0,57604458.0,71095101.0,33579828.0,26735731.0,18479261.0,0.0,0.0,32405072.0
2024-04-29,366951398.0,379849528.0,57646458.0,71025101.0,0.0,26845731.0,18529261.0,0.0,0.0,32465072.0
2024-04-30,366236398.0,379859528.0,57396458.0,70986101.0,0.0,26827731.0,18525261.0,0.0,0.0,32448072.0
2024-05-02,365383398.0,379867528.0,57370458.0,71134101.0,33569828.0,26847731.0,18559261.0,0.0,0.0,32588072.0
2024-05-03,364821398.0,379874528.0,57448458.0,71335118.0,0.0,26763731.0,18528261.0,0.0,0.0,32625072.0
2024-05-06,364749398.0,379870528.0,57452458.0,71364253.0,33556828.0,26778731.0,18750261.0,0.0,0.0,32601072.0
2024-05-07,364437375.0,379859528.0,57472458.0,71353253.0,33553828.0,26858731.0,18684261.0,0.0,0.0,32503072.0
2024-05-08,364341375.0,379404928.0,57582458.0,71344253.0,33556828.0,0.0,18786261.0,0.0,0.0,32496072.0
2024-05-09,363869375.0,379929842.0,57610458.0,71453253.0,33460828.0,26861731.0,18795261.0,0.0,0.0,32506072.0
2024-05-10,363503375.0,380124975.0,57687458.0,71477253.0,0.0,26891731.0,18827261.0,0.0,0.0,32534072.0
2024-05-13,363046375.0,380116975.0,57708458.0,71460253.0,0.0,26903731.0,18903261.0,0.0,0.0,32530072.0
2024-05-14,362412375.0,380134975.0,57640458.0,72538830.0,33050828.0,26875731.0,19125261.0,0.0,0.0,32516072.0
2024-05-16,361581375.0,380588575.0,57751458.0,71887130.0,33066828.0,26826731.0,19665261.0,0.0,27246800.0,32551072.0
2024-05-17,361367375.0,380551575.0,57920458.0,71256253.0,0.0,26871731.0,19889261.0,0.0,0.0,32563072.0
2024-05-20,361756375.0,380545575.0,57953458.0,69580467.0,32966828.0,26927731.0,19667261.0,0.0,0.0,32594072.0
2024-05-21,361263375.0,380554575.0,58039458.0,70137923.0,32916828.0,26944731.0,19910261.0,0.0,0.0,32585072.0
2024-05-22,361334375.0,380545575.0,58199458.0,69984923.0,32826828.0,27311731.0,19936261.0,0.0,0.0,32600072.0
2024-05-23,360606375.0,380525575.0,58715458.0,69318737.0,0.0,27398731.0,20073261.0,0.0,0.0,32603072.0
2024-05-24,360054375.0,0.0,58690458.0,69371737.0,32876828.0,27427731.0,20171261.0,0.0,0.0,32585072.0
2024-05-27,359689375.0,0.0,58971458.0,71287869.0,32935828.0,27152731.0,20355261.0,0.0,27196800.0,32549072.0
2024-05-28,359469453.0,380548575.0,59154458.0,71242869.0,0.0,27237731.0,20141261.0,0.0,0.0,32595072.0
2024-05-29,358979453.0,380540575.0,59253458.0,71140141.0,0.0,27361731.0,20193261.0,0.0,0.0,0.0
2024-05-30,358587453.0,380548575.0,59380458.0,70972141.0,0.0,27401731.0,20028261.0,0.0,0.0,32711072.0
2024-05-31,358463453.0,0.0,59406458.0,70800141.0,32976828.0,27393731.0,20238261.0,0.0,0.0,32795072.0
2024-06-03,358480975.0,380550575.0,59636458.0,70609141.0,0.0,27427731.0,20268261.0,0.0,0.0,32840072.0
2024-06-04,358513975.0,380602575.0,59654458.0,70520141.0,0.0,27447731.0,20262261.0,0.0,27303300.0,32886072.0
2024-06-05,358419975.0,380608575.0,59664458.0,70251141.0,0.0,27427731.0,20373261.0,0.0,0.0,32836072.0
2024-06-06,357445550.0,380615575.0,59763458.0,69978566.0,32996828.0,27433731.0,20370261.0,0.0,0.0,32856072.0
2024-06-07,356954550.0,380613575.0,59622458.0,69871566.0,33006828.0,27458731.0,20365261.0,0.0,0.0,0.0
2024-06-11,356728550.0,380620575.0,59963458.0,70067566.0,33384828.0,27508731.0,20220261.0,0.0,0.0,32866072.0
2024-06-12,356628550.0,380619575.0,59941458.0,70043566.0,33584828.0,0.0,20130261.0,0.0,0.0,32861072.0
2024-06-13,356890550.0,380166975.0,59833458.0,69825566.0,34284828.0,27541731.0,20092261.0,0.0,27306300.0,32881072.0
2024-06-14,356200751.0,380665804.0,59904458.0,69662365.0,34526828.0,27591731.0,20098261.0,0.0,0.0,32920064.0
2024-06-17,356277751.0,380708804.0,60004458.0,69283365.0,34532828.0,0.0,20233261.0,0.0,0.0,32932064.0
2024-06-19,356480751.0,380764804.0,60029458.0,68895365.0,0.0,27636731.0,20290261.0,0.0,0.0,32966064.0
2024-06-20,356448751.0,379887804.0,60019458.0,68941365.0,0.0,27646731.0,20316261.0,0.0,0.0,0.0
2024-06-21,356568751.0,379952804.0,60029458.0,68945365.0,34534828.0,27530231.0,20409861.0,0.0,0.0,32986064.0
2024-06-24,356672751.0,379944804.0,60047458.0,68948365.0,0.0,27565231.0,20402861.0,0.0,0.0,0.0
2024-06-25,354704408.0,379873804.0,60127458.0,70181886.0,34531828.0,27521231.0,20029861.0,0.0,0.0,33023064.0
2024-06-26,354595207.0,379851804.0,60133458.0,69941087.0,0.0,27541231.0,20129861.0,0.0,0.0,33000064.0
2024-06-27,354815207.0,379817804.0,60053458.0,71037759.0,0.0,27533231.0,20088861.0,0.0,0.0,33094064.0
2024-06-28,354808207.0,0.0,59946458.0,71010759.0,0.0,27529231.0,20082861.0,0.0,0.0,0.0
2024-07-02,354315154.0,0.0,60013458.0,71416812.0,34641828.0,27519231.0,20137861.0,0.0,0.0,33114064.0
2024-07-04,354298228.0,379797804.0,0.0,71418470.0,0.0,27426231.0,0.0,0.0,0.0,33313064.0
2024-07-05,353977228.0,380252404.0,60048458.0,71134470.0,34636828.0,27461231.0,20171861.0,0.0,0.0,33342064.0
2024-07-09,355143228.0,380229404.0,60030458.0,70539470.0,0.0,27579231.0,20164861.0,0.0,27346300.0,33332064.0
2024-07-10,354658679.0,380161404.0,60150458.0,70301470.0,0.0,0.0,20189861.0,0.0,0.0,33343064.0
2024-07-11,354476679.0,380104404.0,60216458.0,70159470.0,34694828.0,27581231.0,20131861.0,0.0,0.0,33306064.0
2024-07-12,354417198.0,380070404.0,60252458.0,69443470.0,0.0,27631231.0,20182861.0,0.0,0.0,33315064.0
2024-07-15,354490198.0,380098404.0,60193458.0,69207470.0,0.0,27609231.0,20196861.0,0.0,0.0,33305064.0
2024-07-16,354569198.0,380100404.0,60292458.0,68001579.0,0.0,27459231.0,20159861.0,0.0,0.0,33270064.0
2024-07-17,354603198.0,380094419.0,60336458.0,67932579.0,0.0,27461231.0,20155861.0,0.0,0.0,33279046.0
2024-07-18,354661198.0,380104419.0,60395458.0,67891579.0,0.0,27501231.0,20138861.0,0.0,0.0,0.0
2024-07-19,355004198.0,0.0,0.0,67509579.0,34696828.0,0.0,20188861.0,0.0,27302300.0,0.0
2024-07-22,360569301.0,0.0,60425458.0,67340579.0,0.0,0.0,20213861.0,0.0,0.0,33262046.0
2024-07-23,360574301.0,380103419.0,60445458.0,67265579.0,0.0,27487231.0,20219861.0,0.0,0.0,33248046.0
2024-07-24,360475301.0,380095419.0,60442458.0,67134562.0,34695828.0,27518231.0,20192861.0,0.0,0.0,33303046.0
2024-07-25,360514301.0,0.0,60465458.0,67132579.0,0.0,27565231.0,0.0,0.0,0.0,33323046.0
2024-07-26,360560301.0,0.0,60494458.0,67138579.0,0.0,27637231.0,20335861.0,0.0,0.0,0.0
2024-07-29,360543301.0,0.0,61604458.0,66944579.0,0.0,28037231.0,20329861.0,0.0,27297300.0,33305046.0
2024-07-30,360529301.0,0.0,61574458.0,66776579.0,34745828.0,28100231.0,20315861.0,0.0,0.0,0.0
2024-07-31,360598301.0,0.0,61604458.0,66675579.0,0.0,28140231.0,20265861.0,0.0,0.0,33286046.0
2024-08-01,360678301.0,0.0,61575458.0,66638579.0,0.0,28170231.0,20250861.0,0.0,0.0,0.0
2024-08-02,360904092.0,380646419.0,61649458.0,64862032.0,0.0,28361231.0,20800261.0,0.0,0.0,33186046.0
2024-08-05,360524354.0,380656419.0,61780458.0,64367032.0,0.0,0.0,20976261.0,0.0,0.0,33146046.0
2024-08-06,359967046.0,380658727.0,61879458.0,65538070.0,34845828.0,0.0,20985261.0,0.0,0.0,33141046.0
2024-08-07,359785046.0,380636727.0,61783458.0,65331070.0,0.0,28393231.0,0.0,0.0,0.0,33162046.0
2024-08-08,359739046.0,380646727.0,61782458.0,65357070.0,0.0,28432231.0,20950261.0,0.0,0.0,33142046.0
2024-08-09,359721046.0,380499727.0,61734458.0,65493267.0,0.0,28371231.0,0.0,0.0,0.0,0.0
2024-08-12,392283882.0,380499733.0,61606458.0,64950267.0,0.0,28321231.0,20971261.0,0.0,0.0,33142050.0
2024-08-13,391860882.0,0.0,61593458.0,65771267.0,0.0,28291231.0,20966261.0,0.0,0.0,0.0
2024-08-14,392544882.0,380499739.0,62225458.0,64315967.0,0.0,28301231.0,20949261.0,0.0,0.0,33125028.0
2024-08-15,392333282.0,380500739.0,62205458.0,64206967.0,0.0,28276231.0,20954261.0,0.0,0.0,33135028.0
2024-08-16,392715282.0,380521739.0,62171458.0,63883967.0,34868828.0,28404231.0,21052261.0,0.0,0.0,33161028.0
2024-08-19,392813282.0,380533739.0,63084458.0,63332967.0,34858828.0,28420231.0,21080261.0,0.0,0.0,33063028.0
2024-08-20,392820282.0,0.0,64242458.0,63117967.0,35258828.0,28461231.0,20357262.0,0.0,0.0,33111028.0
2024-08-21,392803832.0,0.0,64187458.0,63011967.0,35590828.0,28501231.0,20250262.0,0.0,0.0,33124028.0
2024-08-22,392335882.0,380161739.0,64537458.0,64072916.0,35638828.0,28392231.0,20520262.0,0.0,0.0,0.0
2024-08-23,394379886.0,0.0,64984458.0,62959337.0,33368828.0,28347231.0,19585837.0,0.0,0.0,33081028.0
2024-08-26,395170886.0,380160739.0,65174458.0,62024638.0,0.0,28383231.0,19700837.0,0.0,0.0,33086028.0
2024-08-27,394969924.0,381356739.0,65264458.0,60315167.0,0.0,28404231.0,19659236.0,0.0,0.0,33058028.0
2024-08-28,395505266.0,381359739.0,65113458.0,58537461.0,0.0,28601231.0,19802236.0,0.0,0.0,32997028.0
2024-08-29,396264266.0,381359756.0,65288458.0,58306461.0,33380828.0,28517231.0,19946236.0,0.0,0.0,32916010.0
2024-08-30,396516766.0,381361773.0,65552458.0,59478921.0,33550828.0,28452231.0,20186236.0,0.0,0.0,32282967.0
2024-09-02,397369766.0,380823782.0,65369458.0,59379421.0,0.0,28508231.0,20265236.0,0.0,27017300.0,32265946.0
2024-09-03,397781374.0,380822782.0,65367458.0,60826552.0,0.0,28522231.0,20249236.0,0.0,0.0,31946946.0
2024-09-04,397892374.0,380823782.0,66123458.0,60328994.0,33580828.0,28507231.0,20213236.0,0.0,0.0,31893946.0
2024-09-05,398161923.0,380823791.0,66832458.0,58847534.0,0.0,28495231.0,20165236.0,0.0,0.0,31886925.0
2024-09-09,396887094.0,380877791.0,66819458.0,58727534.0,0.0,28325231.0,21838836.0,0.0,0.0,31896925.0
