date,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,SOFI SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,IFAST SECURITIES (HK) LTD
2024-03-06,96.02713178294574,0.0,0.0,0.0,0.0,3.9728682170542635,0.0,0.0,0.0
2024-03-14,91.67565901032835,0.0,0.0,4.532141205487899,0.0,3.7921997841837523,0.0,0.0,0.0
2024-04-30,91.69107445660552,0.0,0.0,4.516725759210729,0.0,3.7921997841837523,0.0,0.0,0.0
2024-05-02,91.7064899028827,0.0,0.0,4.50131031293356,0.0,3.7921997841837523,0.0,0.0,0.0
2024-05-03,91.73732079543703,0.0,0.0,4.4704794203792195,0.0,3.7921997841837523,0.0,0.0,0.0
2024-05-06,91.33629266799326,0.0,0.0,4.3930812796571255,0.0,3.7654982397061074,0.0,0.0,0.5051278126435023
2024-05-07,90.39975772259237,0.0,0.0,4.270139309509388,0.0,3.725015142337977,0.0,1.1053906723198061,0.4996971532404603
2024-05-08,89.6644697423607,0.0,0.0,4.224086279209107,0.0,3.6848412222887954,0.8388256440982624,1.0934691431995207,0.49430796884361894
2024-05-13,89.70940683043739,0.0,0.0,4.179149191132415,0.0,3.6848412222887954,0.8388256440982624,1.0934691431995207,0.49430796884361894
2024-05-17,89.82923906530857,0.0,0.0,4.059316956261235,0.0,3.6848412222887954,0.8388256440982624,1.0934691431995207,0.49430796884361894
2024-05-20,89.91911324146196,0.0,0.0,3.9694427801078493,0.0,3.6848412222887954,0.8388256440982624,1.0934691431995207,0.49430796884361894
2024-05-22,90.96764529658478,0.0,0.0,3.9694427801078493,0.0,2.636309167165968,0.8388256440982624,1.0934691431995207,0.49430796884361894
