date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,DBS BANK LTD,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-01,40.86389784743079,19.72781044483957,33.1365098297959,0.0,0.0,0.0,6.271781877933743,0.0,0.0,0.0
2024-03-04,38.36170039536683,18.519827858005115,31.107479442729662,0.0,0.0,0.0,5.888458926703525,4.420233432929657,1.702299944265201,0.0
2024-03-05,38.36170039536683,18.519827858005115,31.107479442729662,0.0,0.0,0.0,5.88560391631482,4.420233432929657,1.7051549546539055,0.0
2024-03-06,38.28336267007754,18.490265513931096,31.120533980504,0.0,0.0,0.0,5.877634225714936,4.413177618878163,1.8150259908942705,0.0
2024-03-07,38.28780527498609,18.48501376774151,31.12009044871756,0.0,0.0,0.0,5.878975663527738,4.413114721996174,1.8150001230309272,0.0
2024-03-08,38.28153098123212,18.48198459420722,31.114990741703192,0.0,0.0,0.0,5.87658729219775,4.430203695069556,1.8147026955901635,0.0
2024-03-11,38.26616511527482,18.485104375155725,31.10944947729165,0.0,0.0,0.0,5.878390169371223,4.429414720704269,1.8314761422023045,0.0
2024-03-12,35.03081045413779,16.922212760027776,28.477881586282894,8.456174644011318,0.0,0.0,5.381379899929159,4.0549134473321145,1.6766272082789464,0.0
2024-03-13,35.057982940393714,16.935023618367268,28.48769336019421,8.455397474849972,0.0,0.0,5.390022209384527,4.009689013600418,1.6641913832098973,0.0
2024-03-14,35.05523759336598,16.941528333324925,28.485462524369275,8.454735343193246,0.0,0.0,5.389600123451144,4.009375019842297,1.664061062453132,0.0
2024-03-15,33.84842860222192,16.358300544269877,27.50482411905973,8.163673255745293,0.0,0.0,5.201537721995786,3.871348574865934,1.6067742206043918,3.4451129612370637
2024-03-18,32.32362615971403,15.621392579699151,26.26578807722884,7.795916481376758,4.5108125889657975,0.0,4.9672190918312085,3.6909350189120476,1.534392330002372,3.289917672269792
2024-03-19,32.29202336950702,15.629104174054826,26.276948282832315,7.799764982413294,4.513039378717294,0.0,4.9696711893965535,3.6927570711723554,1.5351497920001467,3.291541759906197
2024-03-20,32.29338425685947,15.605681037733229,26.297321112729,7.800093689022823,4.513229572380333,0.0,4.969278582061931,3.6941167853555035,1.535214488037064,3.2916804758206455
2024-03-21,32.289496311561514,15.60380219983475,26.29415506035258,7.799154600776741,4.512686204439861,0.0,4.965670446264845,3.708721344435077,1.535029656682671,3.291284175651963
2024-03-22,32.29396752941038,15.605962902443201,26.288765249779182,7.800234571765466,4.508494642687998,0.0,4.966358056691365,3.709234901565597,1.5352422165793407,3.291739929077469
2024-03-25,32.30573024136712,15.610192095251474,26.28986727691036,7.802348423769343,4.4844232430996,0.0,4.96951058914361,3.70963787979697,1.5356582649437962,3.2926319857177275
2024-03-26,32.31078936528527,15.615648240011511,26.295791247724935,7.803570282778054,4.485125510242882,0.0,4.9455939789974215,3.7102188144356583,1.540114943891902,3.293147616632372
2024-03-27,32.305146598245074,15.624965278942254,26.288187901725834,7.802207464659014,4.490364306902589,0.0,4.944128070766479,3.712581900821405,1.5398459777040059,3.292572500233341
2024-03-28,32.293672567636136,15.619415657635665,26.27885095376553,7.799436303506889,4.494789376361083,0.0,4.944780009030996,3.738353015863407,1.539299060517684,3.2914030556826117
2024-04-02,32.27404949051434,15.602103434726983,26.269500662720713,7.794697017822681,4.49205814167745,0.0,4.967043731023776,3.766162843626279,1.5449816256382096,3.289403052249576
2024-04-03,32.27455249489945,15.600601712422025,26.266972189861242,7.793946768318117,4.49162577536641,0.0,4.980401767127638,3.7658003456611784,1.537012503323,3.28908644302094
2024-04-05,33.354503405452895,15.362019192909038,25.927180341647972,7.696119974027793,4.43524851698661,0.0,4.881654364507595,3.718533384940978,1.3769377971439043,3.2478030223832164
2024-04-08,33.309575668024536,15.349254328448323,25.887237186688594,7.689724986031213,4.431563106529952,0.0,4.823587138119456,3.7154435193409316,1.5485097629326519,3.245104303884352
2024-04-09,33.3099710748119,15.349436534292163,25.887544485388275,7.689816268174305,4.430428645707557,0.0,4.8236443973026075,3.7154876241233,1.5485281447720565,3.245142825427834
2024-04-10,33.32045277631744,15.354266565866473,25.89569056012962,7.692236034873426,4.431822775726511,0.0,4.810912981674851,3.716656782515426,1.5317975432211668,3.2461639796750887
2024-04-11,33.37000411972238,15.385598714909815,25.986609316774146,7.707932928299583,4.440866420445526,0.0,4.8219200666770705,3.724241048670581,1.310039233414301,3.252788151086599
2024-04-12,33.37139387833628,15.3862394780415,25.98769157957562,7.708253940132366,4.438076587404862,0.0,4.825690622754989,3.724396151920166,1.3053341420693432,3.252923619764875
2024-04-15,33.37655608094677,15.388345218448437,25.990653182976743,7.709308881582606,4.438683976703106,0.0,4.812070154782226,3.724905867856912,1.3061078261094334,3.253368810593771
2024-04-16,33.363656198978106,15.384591909238141,25.987288370601004,7.707428535150321,4.454258348019298,0.0,4.820414743773005,3.7239973410918275,1.3057892586180113,3.2525752945302857
2024-04-18,33.33391156894125,15.414336539274998,25.987288370601004,7.707428535150321,4.454258348019298,0.0,4.820414743773005,3.7239973410918275,1.3057892586180113,3.2525752945302857
2024-04-19,33.329351270515865,15.412227756616742,25.983138327351245,7.706374108215158,4.471493312635648,0.0,4.815591600811201,3.7234878737532706,1.3062054292714178,3.252130320829452
2024-04-22,33.32835997765416,15.412044411479343,25.982829229786514,7.706282432550743,4.471440119380998,0.0,4.8173187265536015,3.72344357883325,1.3061898905434879,3.2520916332179053
2024-04-23,33.32459387244091,15.410302850213084,25.979893169665853,7.70541162251198,4.470934846575625,0.0,4.8167743694600595,3.7230228296489845,1.3173422926724325,3.251724146811072
2024-04-24,33.18071366083829,15.45470302687835,26.03967204212457,7.723141519075292,4.502086008244531,0.0,4.830838134500322,3.731589381691406,1.2780499704304897,3.2592062562167454
