date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BNP PARIBAS
2024-03-08,96.13701369066307,0.0,0.0,0.0,0.0,3.8629863093369368,0.0
2024-03-13,95.86800391828548,0.0,0.0,0.0,0.0,4.131996081714513,0.0
2024-03-19,96.02190699954261,0.0,0.0,0.0,0.0,3.978093000457389,0.0
2024-03-20,96.04463276920482,0.0,0.0,0.0,0.0,3.955367230795178,0.0
2024-03-26,96.15928092857835,0.0,0.0,0.0,0.0,3.8407190714216353,0.0
2024-04-03,91.71050859412858,0.0,0.0,0.0,4.60982420185476,3.6796672040166567,0.0
2024-04-10,88.79465593632888,0.0,0.0,0.0,4.60982420185476,3.6796672040166567,2.915852657799698
2024-04-12,90.04557262843097,0.0,0.0,0.0,4.741495656247277,3.784770373078587,1.4281613422431558
2024-04-16,89.25319015605002,0.0,0.0,0.0,4.633629262206194,3.6986689481242876,2.4145116336194925
2024-04-17,88.25546749176442,0.0,0.0,0.0,4.581831932332415,3.6573231336970276,3.5053774422061243
2024-04-22,88.25546749176442,0.0,0.0,0.0,4.581831932332415,3.5883196407402145,3.574380935162938
2024-05-06,90.24824972022337,0.0,0.0,0.0,4.685288335748891,3.669342831861654,1.397119112166085
2024-05-07,89.58696566159485,0.0,0.0,0.0,5.003006324583597,3.9181676941415096,1.4918603196800486
2024-05-08,89.50988335419827,0.0,0.0,0.0,4.582464344424645,3.5888149222706387,2.318837379106447
2024-06-18,89.51000690131124,0.0,0.0,0.0,4.582470669427191,3.5886818495514143,2.318840579710145
2024-06-26,82.87539936102236,0.0,0.0,7.424920127795527,4.242811501597444,3.3226837060702876,2.134185303514377
2024-07-03,82.87539936102236,0.0,0.0,7.412140575079872,4.242811501597444,3.3226837060702876,2.146964856230032
2024-07-25,82.03668564199873,0.0,0.0,7.3371283997469945,4.1998734977862116,3.289057558507274,3.1372549019607843
2024-07-26,81.91234053303019,0.0,0.0,7.326007326007327,4.193507641783504,3.284072249589491,3.284072249589491
2024-07-29,80.23011258196215,0.0,0.0,7.1755536310775705,4.107385871582333,3.2166274897933937,5.27032042558456
2024-07-30,82.24476854787571,0.0,0.0,7.3557387444514895,4.2105263157894735,3.2974001268230815,2.891566265060241
2024-08-02,82.19264892268696,0.0,0.0,7.3510773130545,4.2078580481622305,3.523447401774398,2.7249683143219268
2024-08-06,81.36762860727728,0.0,0.0,7.277289836888332,4.165621079046424,3.4880803011292345,3.7013801756587204
2024-08-09,81.36762860727728,0.0,0.0,7.277289836888332,4.165621079046424,3.262233375156838,3.9272271016311167
2024-08-13,81.14364364364364,0.0,0.0,7.257257257257257,4.1541541541541545,3.2532532532532534,4.191691691691692
2024-08-28,80.8933933933934,0.0,0.0,7.257257257257257,4.1541541541541545,3.2532532532532534,4.441941941941942
2024-09-26,81.91839837810441,0.0,0.0,7.349214394323365,4.206791687785099,3.294475418144957,3.231120121642169
2024-10-03,81.3727959697733,0.0,0.0,7.304785894206549,4.181360201511335,3.27455919395466,3.866498740554156
2024-10-04,75.83333333333333,0.0,8.075117370892018,6.807511737089202,3.896713615023474,3.051643192488263,2.335680751173709
2024-10-07,71.32516053706946,0.0,8.056042031523642,6.771745475773497,3.876240513718622,3.0356100408639812,6.935201401050787
2024-10-08,70.77013521457965,0.0,8.112874779541446,6.819517930629042,3.9035861258083484,3.0570252792475014,7.336860670194004
2024-10-09,69.4060773480663,0.0,8.287292817679557,6.675874769797422,3.8213627992633517,2.992633517495396,8.816758747697975
2024-10-10,62.512958739373836,15.115073605639642,6.634874559402862,6.012855069458843,3.4418411776902342,2.6954177897574128,3.586979058677172
2024-10-14,62.538892345986305,15.225057042107446,6.782825140012445,6.015349512549264,3.443269031321303,2.6965359883841526,3.298070939639079
2024-10-15,63.453646216984104,15.447753341050193,6.882037251394296,6.103335788698306,3.4936335893928234,2.7359781121751023,1.883615700305167
2024-10-17,62.9896584142902,15.334795779797346,6.831714196176747,6.058706779483965,3.4680873289459937,2.7159720045962605,2.6010654967094955
2024-10-21,62.84523189161021,15.299635226680564,7.0453361125586245,6.044815007816571,3.460135487232934,2.709744658676394,2.5951016154247006
2024-10-22,63.24069218668065,15.395909805977976,7.0896696381751445,6.082852648138437,3.4819087572102783,2.7267960146827477,1.9821709491347668
2024-10-25,64.03993203058623,15.590484282073067,7.179269328802039,6.159728122344945,3.525913338997451,2.76125743415463,0.7434154630416313
2024-10-30,63.715131022823336,15.511411665257818,7.142857142857142,6.128486897717667,3.508030431107354,2.7472527472527473,1.246830092983939
2024-11-25,63.715131022823336,14.771766694843619,7.142857142857142,6.128486897717667,3.508030431107354,2.7472527472527473,1.9864750633981403
2024-11-29,63.67290807151169,14.788955887019995,7.151168941076907,6.135618322225748,3.512112556860256,2.7504495927218873,1.9887866285835185
2024-12-09,63.699862419303635,14.79521642501852,7.111863689279289,6.138215684199387,3.513599322679649,2.751613927399725,1.9896285321198008
2024-12-12,63.699862419303635,14.79521642501852,7.217694994179278,6.138215684199387,3.513599322679649,2.751613927399725,1.8837972272198116
2024-12-17,63.760593220338976,14.809322033898306,7.118644067796611,6.1440677966101696,3.516949152542373,2.754237288135593,1.896186440677966
2024-12-23,63.74708748146579,14.80618513026901,7.117136199957636,6.142766363058675,3.516204194026689,2.753653886888371,1.9169667443338276
2025-01-24,63.81467345207803,14.821882951653945,7.124681933842239,6.149279050042409,3.5199321458863446,2.75657336726039,1.8129770992366412
2025-02-06,64.3399251737039,14.943880277926242,7.18332442544094,6.199893105291288,3.5489043292357025,2.779262426509888,1.0048102618920363
2025-02-07,63.73358746293943,14.80304955527319,7.105040237187632,6.141465480728505,3.515459551037696,2.7530707327403645,1.9483269800931808
2025-04-23,63.66818712209611,14.829744351331284,7.117852975495915,6.152540574944309,3.5217990877267424,2.758035430147449,1.9518404582581943
