date,YUANTA SECURITIES (HONG KONG) CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,NANYANG COMMERCIAL BANK LTD,CHINA CONSTRUCTION BANK (ASIA),PHILLIP SECURITIES (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,CHIEF SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),VALUABLE CAPITAL LTD,DOO FINANCIAL HK LTD
2024-06-19,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,50.08571428571429,49.91428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,50.171428571428564,49.82857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,50.25714285714285,49.721428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-17,50.34285714285714,49.635714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-19,50.42857142857143,49.55,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-23,50.51428571428571,49.464285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-24,50.68571428571429,49.292857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-25,50.771428571428565,49.207142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-26,50.857142857142854,49.121428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0
2024-07-29,50.94285714285714,49.02142857142857,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.02142857142857143,0.0
2024-07-30,51.028571428571425,48.92142857142857,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-07-31,51.114285714285714,48.83571428571429,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-08-01,51.2,48.75,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-08-02,51.28571428571429,48.66428571428572,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-08-05,51.37142857142857,48.57857142857143,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-08-06,51.457142857142856,48.464285714285715,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.02142857142857143,0.0
2024-08-07,51.542857142857144,48.378571428571426,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.02142857142857143,0.0
2024-08-08,51.628571428571426,48.292857142857144,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.02142857142857143,0.0
2024-08-09,51.714285714285715,48.20714285714286,0.0,0.0,0.0,0.0,0.0,0.05714285714285715,0.02142857142857143,0.0
2024-08-12,51.800000000000004,48.06428571428572,0.0,0.0,0.0,0.0,0.0,0.1142857142857143,0.02142857142857143,0.0
2024-08-14,51.97142857142857,47.97857142857143,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.02142857142857143,0.0
2024-08-16,52.12796343901742,47.82205084261639,0.0,0.0,0.0,0.0,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-19,52.21365324193088,47.73636103970294,0.0,0.0,0.0,0.0,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-20,52.29934304484433,47.5078548986004,0.0,0.0,0.0,0.14281633818908884,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-21,52.385032847757785,47.42216509568695,0.0,0.0,0.0,0.14281633818908884,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-22,52.47072265067124,47.33647529277349,0.0,0.0,0.0,0.14281633818908884,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-23,52.55641245358469,47.25078548986004,0.0,0.0,0.0,0.14281633818908884,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-26,52.64210225649815,47.165095686946586,0.0,0.0,0.0,0.14281633818908884,0.0,0.028563267637817767,0.021422450728363327,0.0
2024-08-27,52.72779205941159,47.150814053127675,0.0,0.0,0.0,0.07140816909454442,0.0,0.028563267637817767,0.021422450728363327,0.0
