date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BOCOM INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA CITIC BANK INTERNATIONAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-03-01,66.36802043196396,0.0,5.002686911880724,3.4592847097563486,3.245138118704337,4.982668275002573,0.0,0.6253072798161465,0.0,0.0,83.68310572712409
2024-03-04,66.1310862555882,8.913662832576806,5.046363522026961,3.44925166645705,3.2478536147540047,4.990915836772962,0.0,0.6269651616148912,0.0,0.0,92.40609888979088
2024-03-05,66.11565080435852,8.912376544974332,5.017636432238369,3.4343878986062357,3.2478536147540047,5.050526234550256,0.0,0.6257646265192486,0.0,0.0,92.40419615600096
2024-03-06,65.77501326305439,8.918750814648815,5.0122054401390335,3.413721544459816,3.246424406306811,5.175170418815243,0.0,0.6271366666285545,0.0,0.0,92.16842255405267
2024-03-07,65.18820159842673,8.889023278947187,4.9753890305393265,3.3981717565543503,3.246424406306811,5.26076702758944,0.0,0.6240495763826163,0.0,0.0,91.58202667474646
2024-03-08,64.74360343467373,8.889024936828987,4.953636477973039,3.3809926710190825,3.246424406306811,5.505470266747465,0.0,0.6229347937938052,0.0,0.0,91.34208698734292
2024-03-11,64.37045425961286,8.903118018316736,4.950120625192944,3.366214655675101,3.246424406306811,5.519084449068727,0.0,0.6273653399801054,0.0,0.0,90.98278175415328
2024-03-12,64.05797784155224,8.911378843141513,4.96907192920273,3.3975429048375845,3.246424406306811,5.611010107362138,0.0,0.604669509838671,0.0,0.0,90.79807554224169
2024-03-13,63.97614136586592,8.919153737094247,4.954636923886075,3.2838064966099174,3.246424406306811,5.595716433610409,1.9548998982403587,0.6046123415007832,0.0,0.8353323195481415,93.37072392266266
2024-03-14,63.994320897314225,8.907377059489372,4.919735653605607,3.2680280353529003,3.244680772001235,5.844515727009753,1.9548998982403587,0.6093858977144099,0.0,0.8353323195481415,93.578276260276
2024-03-15,64.00741244669052,8.912093447365113,4.913990235647889,3.2498485039045977,3.2458241387589895,5.629514240632968,1.9548998982403587,0.6072706692125633,0.0,0.8353323195481415,93.35618590000114
2024-03-18,64.00490790180766,8.915380626793656,4.9148477607162055,3.2359280136289317,3.246967505516744,5.754706040406581,1.9548998982403587,0.6064988966510787,0.0,0.8353323195481415,93.46946896330937
2024-03-19,64.54053046500727,8.89474285681618,4.924537793988177,3.033552097506317,3.2459956437726527,5.583692845954197,1.9548998982403587,0.6072992533815073,0.0,0.8353323195481415,93.62058317421479
2024-03-20,64.48296194875431,8.893799579241033,4.933513223036553,2.9782988989378123,3.245538297069551,5.581047552623454,1.9548998982403587,0.6049553515281096,0.0,0.8353323195481415,93.51034706897931
2024-03-21,64.47487262894317,8.893799579241033,4.938086690067573,2.9929625776060185,3.245766970421102,5.5023388710396635,1.9548998982403587,0.6056127874138186,0.0,0.8353323195481415,93.4436723225209
2024-03-22,64.50102714352684,8.893799579241033,4.9269960325173505,2.9794136815266232,3.2455954654074386,5.2416363293353605,1.9548998982403587,0.605984381610089,0.0,0.8353323195481415,93.18468483095323
