date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,DEUTSCHE BANK AG,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,BNP PARIBAS
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,99.1304347826087,0.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0
2024-03-19,83.05022292641586,16.802387707726886,0.0,0.1473893658572534,0.0,0.0,0.0,0.0,0.0
2024-03-25,82.92799587917142,16.924831671511093,0.0,0.14717244931748777,0.0,0.0,0.0,0.0,0.0
2024-03-26,83.17281080482675,16.679582272408574,0.0,0.14760692276467766,0.0,0.0,0.0,0.0,0.0
2024-04-03,82.50857965238569,17.343813424849625,0.0,0.14760692276467766,0.0,0.0,0.0,0.0,0.0
2024-04-05,67.23095889587155,14.433051688366358,18.215713985025708,0.12027543073638632,0.0,0.0,0.0,0.0,0.0
2024-04-08,65.5958063665915,13.881160863326208,17.74094356751691,0.1171405980027528,0.0,0.0,0.0,2.6649486045626265,0.0
2024-04-10,65.03259219573177,14.108402535940709,18.031371848676965,0.11905824924844481,0.0,0.0,0.0,2.7085751704021193,0.0
2024-04-16,44.50442009206827,9.023505927404571,12.33959343300607,0.08147635148898033,32.1974171996578,0.0,0.0,1.8535869963743024,0.0
2024-04-19,44.4229437405793,9.104982278893551,12.33959343300607,0.08147635148898033,32.1974171996578,0.0,0.0,1.8535869963743024,0.0
2024-04-22,44.37762465853957,9.11240673543442,12.349655481714029,0.08154278957883149,32.22367187181474,0.0,0.0,1.8550984629184166,0.0
2024-04-23,44.48645113826787,8.889524665876488,12.37994032778845,0.08174275554828954,32.30269342379531,0.0,0.0,1.8596476887235869,0.0
2024-04-26,44.38427269383251,8.991703110311848,12.37994032778845,0.08174275554828954,32.30269342379531,0.0,0.0,1.8596476887235869,0.0
2024-05-03,44.44785527177472,9.004584151931892,12.397675180091683,0.08185985592665357,32.34896856581532,0.0,0.0,1.719056974459725,0.0
2024-05-08,44.38427269383251,9.134752932521355,12.37994032778845,0.08174275554828954,32.30269342379531,0.0,0.0,1.7165978665140802,0.0
2024-05-10,44.33896782622897,9.227502858076106,12.367303609341826,0.08165931732810713,32.26972072513474,0.0,0.0,1.71484566389025,0.0
2024-05-20,44.27569617156603,8.949321156276756,12.757369429608186,0.08154278957883149,32.22367187181474,0.0,0.0,1.7123985811554614,0.0
2024-05-23,44.27569617156603,8.786235577119093,12.757369429608186,0.08154278957883149,32.3867574509724,0.0,0.0,1.7123985811554614,0.0
2024-05-31,44.71322106476716,7.884876682999136,12.883435582822086,0.08234858154568288,32.70679787540659,0.0,0.0,1.7293202124593405,0.0
2024-06-03,44.84246603625552,7.412148490729653,12.920675558491968,0.0825866127100797,33.007804434901104,0.0,0.0,1.7343188669116736,0.0
2024-06-04,44.935242272520384,7.220590060826747,12.947407621963835,0.08275747920718335,33.076095502131004,0.0,0.0,1.7379070633508502,0.0
2024-06-07,44.4933830458475,8.13291268898267,12.820092596386282,0.08194370467488835,32.750850165936,0.0,0.0,1.7208177981726553,0.0
2024-06-11,44.31182927326886,8.099726608724039,12.767780634104541,0.08160933610805075,33.025258089525444,0.0,0.0,1.7137960582690661,0.0
2024-06-14,44.262328460316816,7.635297471189477,13.352608217616158,0.0814431730260211,32.95801604430509,0.0,0.0,1.710306633546443,0.0
2024-06-21,44.27134245682633,7.636852394916911,13.355327468230694,0.08145975887911372,32.94436298468557,0.0,0.0,1.7106549364613879,0.0
2024-06-25,44.280360125473585,7.618038864219661,13.358047826618325,0.08147635148898033,32.95107345093087,0.0,0.0,1.7110033812685868,0.0
2024-06-27,44.22630915083208,7.730805224396793,13.341742279366889,0.08137689709891362,32.91085160922814,0.0,0.0,1.7089148390771862,0.0
2024-07-03,43.611451040182956,7.623327381788273,13.156258149938813,0.08024555138724497,32.48941761791081,0.0,0.0,1.6851565791321446,1.3541436796597588
2024-07-08,43.5939599334229,7.660376601760683,13.150981611085488,0.08021336755770349,32.4763871899252,0.0,0.0,1.6844807187117734,1.3536005775362463
2024-07-09,43.56774956410205,7.655770888029341,13.14307473395194,0.08016514018878891,32.45686113393591,0.0,0.0,1.6834679439645668,1.4129105958274044
2024-07-12,43.70790357279289,7.358706797756199,13.185354967127088,0.0804230251120896,32.56127229225727,0.0,0.0,1.6888835273538814,1.417455817600579
2024-07-15,43.70790357279289,7.559764360536421,12.984297404346865,0.0804230251120896,32.56127229225727,0.0,0.0,1.6888835273538814,1.417455817600579
2024-07-16,43.56774956410205,7.856183738501313,12.94266188347997,0.08016514018878891,32.45686113393591,0.0,0.0,1.6834679439645668,1.4129105958274044
2024-07-22,46.20895180239555,7.488490266872983,12.336905648843295,0.07641316598849981,30.937780579593866,0.0,0.0,1.6046764857584963,1.3467820505473092
