date,MORGAN STANLEY HONG KONG SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,CITIBANK N.A.,FOSUN INTERNATIONAL SECURITIES LTD,DBS BANK LTD,THE CORE SECURITIES COMPANY LTD,DONGHAI INTERNATIONAL SECURITIES
2024-03-01,50.79667853538529,42.990581372244904,0.0,0.0,6.212740092369808,0.0,0.0,0.0,0.0
2024-03-04,47.590276288765864,40.278233474348205,0.0,5.146488304061158,5.722440765301318,0.0,0.0,0.0,1.2625611675234527
2024-03-05,47.60116159360394,40.288317937481274,0.0,5.147677471546317,5.72376301458895,0.0,0.0,0.0,1.239079982779521
2024-03-06,47.598570645631284,40.286125030161635,0.0,5.147397281650477,5.723451468154323,0.0,0.0,0.0,1.2444555744022807
2024-03-07,41.278322185184635,34.93684003597852,13.260602762925869,4.463913947941492,4.96347832527669,0.0,0.00019266515768360973,0.0,1.0966500775351062
2024-03-08,41.274505148844085,34.933609401083935,13.263229492222814,4.463501166586574,4.96504214593095,0.0,0.00019264734179697706,0.0,1.0999199979898404
2024-03-11,41.27816312790848,34.93670541426137,13.2644049543061,4.463896747194079,4.965193179301306,0.0,0.00019266441528921065,0.0,1.0914439126133784
2024-03-12,41.27784501703349,34.93643617393946,13.264302731940896,4.464825660749513,4.9651549149545655,0.0,0.00019266293051757642,0.0,1.091242838451553
2024-03-13,41.26893530605087,34.92930281718726,13.2669878738267,4.466899693828075,4.962985383064962,0.0,0.00019262359240622862,0.0,1.1046963024497212
2024-03-14,41.261691892256344,34.92341662746362,13.264752157640341,4.466146944218041,4.962149034463523,0.0,0.00019259113200997946,0.0,1.1216507528261204
2024-03-15,41.270338728069824,34.93081672955319,13.267562894092805,4.4676711948522225,4.963585753586566,0.0,0.00019263194113394415,0.0,1.099832067904254
2024-03-18,41.262032665277246,34.92378655810092,13.26489266617854,4.466772031951584,4.962586782988885,0.0,0.00019259317205551577,0.0,1.1197367023307685
2024-03-19,41.26199293138673,34.923752927719136,13.264879892552065,4.466767730606755,4.9625820041918365,0.0,0.0001925929865950447,0.0,1.1198319205568876
2024-03-20,41.26195319757273,34.92371929740212,13.264867118950189,4.466763429270208,4.962577225403991,0.0,0.00019259280113493088,0.0,1.1199271385996232
2024-03-21,41.26265159013736,34.92439191604883,13.265122595662,4.466849457575137,4.962672802909614,0.0,0.00019259651040507369,0.0,1.118119041156655
2024-03-22,41.2628334396027,34.924627338696176,13.265212014836033,4.46687956826474,4.962706255906361,0.0,0.0001925978086833789,0.0,1.117548784885306
2024-03-25,41.263707642566416,34.92536725910834,13.265493054374305,4.4669742045034955,4.962811396832354,0.0,0.00019260188910057572,0.0,1.1154538407259842
2024-03-26,41.26378711739992,34.925434526155016,13.265518604013735,4.46698280799677,4.962820955319266,0.0,0.00019260226005616703,0.0,1.1152633868552353
2024-03-27,41.26307185491927,34.92482913206295,13.265288660801861,4.4669053777503605,4.96273493026254,0.0,0.00019259892150728602,0.0,1.1169774452815053
2024-03-28,41.261403005558336,34.92341662746362,13.267641024620492,4.467109899878091,4.962534216727542,0.0,0.00019259113200997946,0.0,1.1177026346199157
2024-04-02,41.26136327269503,34.92338299779429,13.267628248482774,4.467105598253472,4.962529438031732,0.0,0.0001925909465534374,0.0,1.1177978537961506
2024-04-03,41.259336998129534,34.921667970536426,13.27179123530331,4.466982517126989,4.962285736748419,0.0,0.0001925814887433799,0.0,1.117742960666577
2024-04-05,40.516802331643994,34.293270889017265,13.032972319613698,4.386601511863208,4.872992010077981,0.0,0.00018911608595726276,1.7885733258164227,1.1085984958814743
2024-04-08,40.516457527520096,34.29297904808846,13.032861407045482,4.386753295696565,4.8728559829397105,0.0,0.00018911447655073062,1.7885581047865502,1.1093455194465858
