date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-03,0.0,80.39029335360831,0.0,0.0,0.0,0.0,19.609706646391686
2024-06-18,5.646515819803089,34.65199164288348,25.528806106703446,0.0,13.395966189182177,12.32401578566454,8.45270445576327
2024-06-19,5.629785317519892,34.633074476941765,25.583109279250998,0.0,13.388653082392763,12.317287876513218,8.448089967381366
2024-06-20,5.629785317519892,34.633074476941765,25.66499706568765,0.0,13.306765295956108,12.317287876513218,8.448089967381366
2024-06-21,5.6524525780365735,34.618374220997936,25.684908156168607,0.0,13.29587759610533,12.307209774856473,8.441177673835076
2024-06-24,4.539928368802094,27.804733792620016,20.62956594122737,19.682150250271082,10.678962990547749,9.884886255353173,6.779772401178519
2024-07-15,4.694171073940272,28.749391286621893,21.330449258785293,16.953375386462213,11.041777556313065,10.220722302125685,7.010113135751577
2024-08-06,4.539928368802094,27.804733792620016,20.62956594122737,19.682150250271082,10.678962990547749,9.884886255353173,6.779772401178519
2024-08-20,4.530005136555885,27.96253592856909,20.584474486617633,19.63912962699861,10.655621250040983,9.863280182730243,6.764953388487557
2024-11-18,4.529262642598016,27.97434328423445,20.581100572577473,19.635910660430962,10.653874732287251,9.861663534245379,6.76384457362647
2024-11-29,39.37242819770871,17.764778538765256,13.069786484029672,12.469554718238026,6.7656181693278095,6.2625337413521525,4.295300150578374
