date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,ABN AMRO CLEARING HONG KONG LTD,HGNH INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),TAI FUNG KUENTAI SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,95.48466680053932,0.0,3.606911653614083,0.0,0.0,0.0,0.0,0.5139753483079453,0.0,0.3944461975386557
2024-03-04,95.44880805530853,0.0,3.6427703988448705,0.0,0.0,0.0,0.0,0.5139753483079453,0.0,0.3944461975386557
2024-03-05,95.44880805530853,0.0,3.654723313921799,0.0,0.0,0.0,0.0,0.5139753483079453,0.0,0.38249328246172676
2024-03-06,95.25730064429754,0.0,3.834227858995661,0.0,0.0,0.0,0.0,0.5140036099788422,0.0,0.39446788672794864
2024-03-07,94.78192459442386,0.0,3.2870442110783973,0.0,1.0251153254741157,0.0,0.0,0.5125576627370578,0.0,0.3933582062865793
2024-03-08,94.70044325818597,0.0,3.3692388351365525,0.0,1.0247366665077928,0.0,0.0,0.5123683332538964,0.0,0.3932129069157809
2024-03-11,94.4368960273078,0.0,3.632298326158364,0.0,1.0249955901352517,0.0,0.0,0.5124977950676258,0.0,0.3933122613309687
2024-03-12,94.4007132606405,0.0,3.0723606734019575,0.0,1.6210469102369112,0.0,0.0,0.5125368907366704,0.0,0.3933422649839564
2024-03-13,94.37639171669298,0.0,3.096465337611993,0.0,1.6211860406345515,0.0,0.0,0.5125808804947478,0.0,0.3933760245657367
2024-03-14,94.28164132245985,0.0,3.1914868257006708,0.0,1.6210121313687302,0.0,0.0,0.5125258944768779,0.0,0.39333382599388306
2024-03-15,93.95807997710853,0.0,3.5143190976941603,0.0,1.6214798388058278,0.0,0.0,0.5126737725636074,0.0,0.39344731382788467
2024-03-18,93.79165146648927,0.0,3.680946488222545,0.0,1.6213522554678912,0.0,0.0,0.5126334337141126,0.0,0.39341635610617953
2024-03-19,54.62587198357246,41.6801548278818,2.1101273050862295,0.0,0.9447501760986542,0.0,0.0,0.29870777626648626,0.0,0.34038793109436805
2024-03-20,54.39694792239764,41.67986529067538,2.3393519058813066,0.0,0.9447436132553086,0.0,0.0,0.29870570124984025,0.0,0.3403855665405156
2024-03-21,53.97522561640695,41.68432460973051,2.7494980512578246,0.0,0.9517920785888466,0.0,0.0,0.29873765970306865,0.0,0.3404219843127992
2024-03-22,53.8901271141693,41.68588849302734,2.832972981986138,0.0,0.9518277872574575,0.0,0.0,0.2987488675333626,0.0,0.34043475602638995
2024-03-25,53.71424918778157,41.687857994480524,3.006806237615232,0.0,0.9518727575406387,0.0,0.0,0.2987629822937771,0.0,0.3404508402882576
2024-03-26,53.5604042189765,41.694984510313255,3.0490152339575074,0.0,1.167459566288771,0.0,0.0,0.298814055657245,0.0,0.2293224148067229
2024-03-27,53.48221781165391,41.69654919358874,3.125573327551412,0.0,1.1675033774204848,0.0,0.0,0.2988252692207193,0.0,0.22933102056473803
2024-03-28,53.43948584231683,41.69747646872411,3.167340312564284,0.0,1.167529341124275,0.0,0.0,0.2988319146925228,0.0,0.2293361205779826
2024-04-02,53.29439206865969,41.70292504316252,3.299813448915307,0.0,1.1746323887157446,0.0,0.0,0.29887096280933145,0.0,0.2293660877373939
2024-04-03,42.209777945510346,41.62481060711174,14.132733196063956,0.0,1.1724321654336474,0.19424911616652143,0.13874936869037244,0.29831114268430076,0.0,0.22893645833911455
