date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,81.25938301203738,0.0,0.0,0.0,0.0,0.0,18.740616987962625,0.0,0.0
2024-03-11,0.0,81.2581690532727,0.0,0.0,0.0,0.0,0.0,18.741830946727305,0.0,0.0
2024-03-12,0.0,64.42553460877193,0.0,0.0,20.712162333669397,0.0,0.0,14.862303057558673,0.0,0.0
2024-03-13,0.0,50.216347712612794,22.04815667496638,0.0,16.14648458033554,0.0,0.0,11.589011032085288,0.0,0.0
2024-03-15,0.0,50.215749483370175,22.048421618405897,0.0,16.146678605859936,0.0,0.0,11.589150292363994,0.0,0.0
2024-03-20,0.0,50.21715750652,22.046235897231632,0.0,16.147131350218107,0.0,0.0,11.589475246030252,0.0,0.0
2024-03-28,0.0,50.22661342154001,22.050387214102322,0.0,16.14977122352674,0.0,0.0,11.573228140830926,0.0,0.0
2024-04-02,0.0,50.22882702231342,22.051359024679744,0.0,16.150482980574157,0.0,0.0,11.569330972432681,0.0,0.0
2024-04-05,0.0,50.22902826842262,22.051447375343482,0.0,16.15054768887125,0.0,0.0,11.56897666736265,0.0,0.0
2024-04-16,0.0,50.22419880684207,22.059342656427283,0.0,16.148994832838454,0.0,0.0,11.56746370389219,0.0,0.0
2024-04-18,0.0,50.21459252228154,22.060226433362743,0.0,16.15725390609095,0.0,0.0,11.567927138264759,0.0,0.0
2024-04-19,0.0,50.20882429325664,22.064557964172405,0.0,16.156419239007448,0.0,0.0,11.57019850356351,0.0,0.0
2024-04-22,0.0,41.07026054214138,18.074039968752206,18.164224879597324,13.222419710415334,0.0,0.0,9.46905489909376,0.0,0.0
2024-04-23,0.0,37.28734372455219,16.409268699784576,16.49114682096181,12.004523519071986,0.0,9.210842024504847,8.596875211124596,0.0,0.0
2024-04-24,26.402241043368214,26.107183433537802,11.491900270439883,11.549241960683037,8.403164061087717,0.0,6.450627379498998,6.020648108770239,0.0,3.5749937426141165
2024-04-26,26.419546823944305,26.10141433837833,11.48936082123457,11.54564749446472,8.401307152500376,0.0,6.44920193721468,6.019317682148402,0.0,3.5742037501146138
2024-05-02,24.981282740964186,24.675601490154932,10.861744322587448,10.91495628649975,7.942378317280391,0.0,6.096908576262685,5.690310047568362,5.457858510251174,3.3789597084310743
