date,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA SYSTEM SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-20,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,46.473302570863545,0.0,53.52669742913645,0.0,0.0,0.0,0.0
2024-05-30,0.0,30.916532670662182,33.4746382107879,35.60882911854992,0.0,0.0,0.0,0.0
2024-07-03,0.0,30.835650519537538,33.51382994292405,35.650519537538415,0.0,0.0,0.0,0.0
2024-07-10,0.0,30.936723659213794,33.46485459593745,35.59842174484875,0.0,0.0,0.0,0.0
2024-07-29,0.0,30.945768162549335,33.4746382107879,35.57959362666277,0.0,0.0,0.0,0.0
2024-08-22,0.0,31.04656254561378,33.425777258794334,35.527660195591885,0.0,0.0,0.0,0.0
2024-10-07,0.0,31.05562855891371,33.40633669148781,35.53803474959848,0.0,0.0,0.0,0.0
2024-10-14,0.0,31.01035136317247,33.50342615541624,35.48622248141128,0.0,0.0,0.0,0.0
2024-11-01,30.095801059926618,21.677537708927844,23.420301671422745,24.806359559722786,0.0,0.0,0.0,0.0
2024-11-08,27.800790811523253,20.02447749952928,21.634343814724158,22.914705328563358,7.62568254565995,0.0,0.0,0.0
2024-11-18,27.798173773886848,20.02259248799774,21.632307257836768,22.921961781041137,7.624964699237504,0.0,0.0,0.0
2024-12-09,26.0996807378503,18.86307201135154,20.379567222419297,21.59453706988294,7.18339836821568,0.0,0.0,5.879744590280241
2024-12-12,25.87025316455696,18.697257383966246,20.20042194092827,21.404711673699016,7.99929676511955,0.0,0.0,5.8280590717299585
2024-12-19,25.87935279634189,18.70383397819205,20.207527259936686,21.41224059092508,7.7031304959549765,0.0,0.0,6.093914878649314
2024-12-23,25.856615709014235,18.687401159725884,20.189773326304692,21.217712177121772,7.959936742224564,0.0,0.0,6.088560885608856
2024-12-27,24.584862786226182,20.77434015032337,20.08390141583639,20.58206607236497,7.918196119559518,0.0,0.0,6.056633455689565
2024-12-30,24.499216164431285,21.659989548859084,20.013934854554954,20.510364048075246,7.280961504964292,0.0,0.0,6.035533879115137
2025-01-02,24.477897667942916,21.6411416637661,19.996519317786284,20.492516533240515,7.361642882004873,0.0,0.0,6.03028193525931
2025-01-03,24.414164207602848,21.584794306544,19.94445408783197,20.43915986807846,7.602846727998612,0.0,0.0,6.014580801944107
2025-01-08,24.038625875918644,21.252777303025123,19.63766877456845,21.6629635959665,7.48589984618014,0.0,0.0,5.922064604341138
2025-01-10,23.388042203985933,20.825657343828503,19.243007871378328,21.227600066990455,9.596382515491543,0.0,0.0,5.7193099983252385
2025-01-16,23.348938304631332,20.958033773616453,19.21083430864404,21.192108343086442,9.580337736164521,0.0,0.0,5.709747533857215
2025-01-17,23.290527018012007,20.90560373582388,19.162775183455636,21.05570380253502,9.889926617745164,0.0,0.0,5.695463642428286
2025-01-20,23.193821624314896,21.234014283341637,19.083208769307426,20.968277694735093,9.848862315230027,0.0,0.0,5.671815313070919
2025-01-21,23.174576833720543,21.2163956189844,19.06737470959177,20.950879522071027,9.923664122137405,0.0,0.0,5.667109193494856
2025-01-27,23.155363952909966,21.281711159011774,19.05156690432764,20.93351019731388,9.91543690930194,0.0,0.0,5.662410877134803
2025-02-12,21.403938999157024,19.67200551766419,17.610544869338646,19.35014177331596,9.165453291439956,0.0,7.563797992183309,5.234117556900912
2025-02-14,21.38754881690788,19.733517114633585,17.597059499195957,19.335324297419405,9.15843479592618,0.0,7.558005972892258,5.2301095030247335
2025-02-17,21.333638863428046,19.76015887564925,17.422853651084633,19.28658722884204,9.440879926672777,0.0,7.538955087076077,5.216926367247174
2025-02-21,21.631040892193308,20.03562577447336,17.665737298636927,18.161400247831473,9.572490706319703,0.0,7.644052044609666,5.289653035935564
2025-03-10,21.863382899628252,20.03562577447336,17.433395291201983,18.161400247831473,9.572490706319703,0.0,7.644052044609666,5.289653035935564
2025-03-12,19.929403459230496,18.75750088245676,15.891281327214967,16.519590540063536,8.796328979879986,8.31627250264737,6.967878573949876,4.821743734557007
2025-03-13,19.873284054910243,18.704681450193593,15.84653291094685,16.473072861668427,9.053150299190426,8.292854628651883,6.948257655755016,4.808166138683562
2025-03-14,19.873284054910243,18.423090461105247,15.84653291094685,16.473072861668427,9.334741288278774,8.292854628651883,6.948257655755016,4.808166138683562
2025-03-17,19.8593035525853,18.48047836792121,15.835385156524797,16.461484347520226,9.328174463594795,8.287020752725994,6.943369679915583,4.8047836792120995
2025-03-26,19.86629134412386,18.48698099929627,15.805770584095708,16.467276565798734,9.331456720619283,8.2899366643209,6.945812807881774,4.806474313863476
2025-04-17,19.86629134412386,18.48698099929627,17.705840957072482,14.496833216045038,9.401829697396199,8.2899366643209,6.945812807881774,4.806474313863476
2025-04-24,19.870486379953544,18.49088477511086,17.70957978461322,14.478778067149998,9.403815020764412,8.291687196452454,6.947279510100654,4.80748926585486
