date,THE HONGKONG AND SHANGHAI BANKING,MIRAE ASSET SECURITIES (HK) LTD,ABN AMRO CLEARING HONG KONG LTD,CITIBANK N.A.,DBS BANK LTD,DBS BANK (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-07,0.0,0.0,89.28571428571429,0.0,0.0,0.0,0.0,0.0,10.714285714285714
2024-03-12,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,12.0
2024-03-13,95.32710280373831,0.0,4.133716750539181,0.0,0.0,0.0,0.0,0.0,0.5391804457225018
2024-04-08,97.96823051348356,0.0,1.4776505356483192,0.0,0.0,0.0,0.0,0.0,0.5541189508681197
2024-04-17,98.1529368304396,0.0,1.2929442186922793,0.0,0.0,0.0,0.0,0.0,0.5541189508681197
2024-04-18,53.35784788078188,0.0,46.35184826785368,0.0,0.0,0.0,0.0,0.0,0.2903038513644281
2024-04-19,59.357460808980065,0.0,40.35223533965551,0.0,0.0,0.0,0.0,0.0,0.2903038513644281
2024-05-02,59.3000773395205,0.0,40.40989945862336,0.0,0.0,0.0,0.0,0.0,0.2900232018561485
2024-05-03,59.26069285852525,0.0,40.44900329011031,0.0,0.0,0.0,0.0,0.0,0.2903038513644281
2024-05-14,58.273860500523355,0.0,40.15605671329337,0.0,0.0,0.0,0.0,1.284613188695404,0.28546959748786754
2024-05-22,58.273860500523355,0.0,40.34636977828528,0.0,0.0,0.0,0.0,1.0943001237034922,0.28546959748786754
2024-05-30,81.55546677320548,0.0,16.513517112797977,0.0,0.0,0.0,0.0,1.5314955386869091,0.3995205753096284
2024-06-11,82.87995669238056,0.0,15.157666802002979,0.0,0.0,0.0,0.0,1.5563675734199485,0.40600893219650835
2024-06-24,82.87995669238056,0.0,15.157666802002979,0.0,0.0,0.0,0.0,1.5563675734199485,0.40600893219650835
2024-06-25,96.88651671114499,0.0,1.2708095056551023,0.0,0.0,0.0,0.0,1.4614309315033678,0.3812428516965307
2024-06-27,96.88651671114499,0.0,1.2708095056551023,0.0,0.0,0.0,0.0,1.4614309315033678,0.3812428516965307
2024-07-16,97.75612257981793,0.0,0.38466470060264135,0.0,0.0,0.0,0.0,1.4745480189767919,0.38466470060264135
