date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,34.59471245571,7.8905928954301805,0.0,2.124064141001181,2.165780775869901,1.9055611883346961,0.0,0.0,0.0,0.0,48.68071145634596
2024-03-04,34.5903515944399,7.891437721449987,0.0,2.129878622694649,2.173775688198419,1.8917517943127102,0.0,0.0,0.0,0.0,48.67719542109567
2024-03-05,34.606341419096935,7.895798582720087,3.446897428908876,2.143688016716635,2.2013944762423914,1.767467248114836,0.0,1.2434814209139637,0.0,1.1519941855183065,54.457062778232036
2024-03-06,34.59180521486327,7.912515217588807,3.446897428908876,2.144414826928318,2.2202915417461613,1.7503872081402743,0.0,1.242027800490597,0.0,1.1519941855183065,54.46033342418461
2024-03-07,34.60198055782684,7.923274280003634,3.444716998273826,2.143688016716635,2.1926727537021895,1.74529953665849,0.0,1.2442082311256475,1.3673790315253929,1.1519941855183065,55.815213591350954
2024-03-08,34.5990733169801,7.943624965930772,3.444716998273826,2.1604046515853548,2.197760425183974,1.6966032524756973,0.0,1.2463886617606978,1.3528428272917234,1.1519941855183065,55.79340928500045
2024-03-11,34.595439265921684,7.965676932860907,3.444716998273826,2.162585082220405,2.196306804760607,1.6449997274461707,0.0,1.2478422821840647,1.3542964477150903,1.1519941855183065,55.763857726901065
2024-03-12,34.59616607613337,7.975125465612792,3.444716998273826,2.161858272008722,2.1984872353956573,1.6152005087671482,0.0,1.2471154719723812,1.3550232579267738,1.1519941855183065,55.745687471608974
2024-03-13,34.59616607613337,7.981666757517942,3.444716998273826,2.145150722267648,2.202848096665758,1.5919425819932769,0.0,1.2471154719723812,1.3710130825838103,1.1519941855183065,55.732613972926316
2024-03-14,34.59616607613337,7.980939947306259,3.4461706186971925,2.1945738166621243,2.2079357681475424,1.579586808394658,0.0,1.2478422821840647,1.3710130825838103,1.1519941855183065,55.77622258562733
2024-03-15,34.59689288634505,7.983120377941311,3.4461706186971925,2.2018419187789586,2.213023439629327,1.5570556918324703,0.0,1.2478422821840647,1.3710130825838103,1.1599890978468248,55.77694939583901
2024-03-18,34.597619696556734,7.983120377941311,3.4461706186971925,2.2018419187789586,2.213023439629327,1.535251385481966,0.0,1.2538384664304534,1.3710130825838103,1.1614427182701916,55.76332170436995
2024-03-19,34.59616607613337,7.979599981829745,3.4461706186971925,2.197481057508858,2.2188379213227947,1.524349232306714,0.0,1.5263922958117562,1.3710130825838103,1.1643499591169255,56.02436022531116
2024-03-20,34.59253202507495,7.980418097574271,3.446897428908876,2.197481057508858,2.221018351957845,1.5018181157445263,0.0,1.5263922958117562,1.3724667030071773,1.1701644408103933,56.00918851639866
2024-03-21,34.59180521486327,7.987686199691106,3.446897428908876,2.1982078677205417,2.2231987825928954,1.4763797583356046,0.0,1.5191241936949214,1.3739203234305442,1.1745253020804942,55.991745071318256
2024-03-22,34.595439265921684,7.988413009902789,3.446897428908876,2.1982078677205417,2.2253792132279457,1.4741993277005543,0.0,1.5191241936949214,1.3739203234305442,1.1745253020804942,55.99610593258836
2024-03-25,34.598346506768415,7.974708367402562,3.446897428908876,2.2011151085672753,2.2224719723812116,1.4748213863904787,0.0,1.5191241936949214,1.3739203234305442,1.1745253020804942,55.985930589624786
2024-03-26,34.595439265921684,7.979102207686017,3.446897428908876,2.2032955392023257,2.2202915417461613,1.4748213863904787,0.0,1.5191241936949214,1.3724667030071773,1.1745253020804942,55.98596356863814
2024-03-27,34.598346506768415,7.96733905696375,3.446897428908876,2.204022349414009,2.2224719723812116,1.4740945761787951,0.0,1.5191241936949214,1.3724667030071773,1.1745253020804942,55.97928808939766
