date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,0.2208948733355361,0.0,0.022697885911876853,0.07155389488862997,4.192664598815943,0.7937965430666253,0.0,0.0,0.6153950145850924
2024-03-04,0.25765138988214187,1.9081239690502874,0.023174065336601542,0.029543532022561787,4.197653145170202,0.7859282449533174,0.0,0.0,0.6070051866256574
2024-03-05,0.2575153386179348,1.9082600203144944,0.03156389329603654,0.024625278821476783,0.0,0.0,0.0,0.0,0.6096808614883961
2024-03-06,0.2586751756452999,1.9083507211572992,0.03954556746285037,0.019954185417034597,4.202278888153242,0.0,0.0,0.0,0.6082976736356244
2024-03-07,0.2573600134246317,1.9034982260672475,0.050361642967311174,0.018661698407067582,4.2066098533971665,0.0,0.0,1.5630249488427406,0.6081842975821184
2024-03-08,0.2503760485286696,1.903906379859869,0.06335453869908483,0.014716211745063015,4.20320857179199,0.0,0.0,0.0,0.6071865883112667
2024-03-11,0.24910623672940382,1.9046093113916054,0.07822947691905609,0.01253939151775015,4.196859512795661,0.0,0.0,0.0,0.6072319387326691
2024-03-12,0.24906088630800147,1.9045866361809038,0.08646057840358286,0.012516716307048974,4.193458231190485,0.0,0.0,1.5640453333242936,0.6072092635219679
2024-03-13,0.24912891194010497,1.9051081660270313,0.14006477650116217,0.011972511250220757,0.0,0.0,0.0,0.0,0.6071639131005655
2024-03-14,0.0,1.9046093113916054,0.1519465869085782,0.01194983603951958,0.0,0.0,0.0,0.0,0.6070732122577608
2024-03-15,0.0,1.9046319866023065,0.15906660306874737,0.012108562514427811,0.0,0.0,0.0,0.0,0.6072319387326691
2024-03-18,0.25364127886963894,1.9062872769834922,0.1899048896223463,0.00807237500961854,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.2535732532375354,1.9071942854115391,0.19323814559541913,0.0024942731771293246,0.0,0.0,0.0,0.0,0.6073906652075773
2024-03-20,0.2535279028161331,0.0,0.19534694019062848,0.002335546702221095,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.24899286067589793,1.9087588749499205,0.1965033759363884,0.023219415758003892,4.191870966441402,0.0,0.0,0.0,0.0
2024-03-22,0.24967311699693318,1.909620532956565,0.19650337593638842,0.023196740547302717,4.19105465885616,0.0,0.0,0.0,0.0
2024-03-25,0.0,1.9106635926488191,0.19314744475261442,0.01437608358454538,4.190374402535125,0.0,0.0,0.0,0.0
2024-03-26,0.2518952876456484,1.911162447284245,0.20031281133418594,0.01358245121000423,0.0,0.7759058018233976,0.0,0.0,0.0
2024-03-27,0.2515098090637284,1.911298498548452,0.19795458942126365,0.012630092360554852,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,1.9116613019196709,0.20140122144784237,0.012040536882324284,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,1.9115252506554639,0.19951917895964477,0.011314930139886662,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.25341452676262716,1.9114799002340614,0.1906304963647839,0.01138295577199019,0.0,0.0,0.0,0.0,0.6074133404182785
2024-04-05,0.0,1.9117066523410733,0.18961011188323101,0.011246904507783135,4.181984574575689,0.0,0.0,0.0,0.6073906652075773
2024-04-08,0.0,0.0,0.1908572484717957,0.012675442781957202,4.16828874731218,0.0,0.0,0.0,0.0
2024-04-09,0.0,1.9118880540266825,0.0,0.011813784775312529,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.25386803097665067,1.9119107292373836,0.19498413681940963,0.010974801979369028,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,1.9119560796587862,0.19570974356184725,0.011178878875679608,4.16057917567378,0.0,0.0,1.5642040597992017,0.0
2024-04-12,0.2552965692508248,0.0,0.19627662382937666,0.010748049872357272,4.1581075777073515,0.0,0.0,0.0,0.0
2024-04-15,0.25708791089621763,1.9117973531838777,0.1953922906120308,0.011178878875679608,0.0,0.0,0.0,0.0,0.6074133404182785
2024-04-16,0.2591740302807258,0.0,0.19858949532089656,0.010498622554644338,4.150398006068952,0.0,0.0,0.0,0.6074360156289798
