date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CLSA LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-04,0.0,91487241.0,26428083.0,5384271.0,9988220.0,0.0,192691788.0
2024-03-05,0.0,91485241.0,26459183.0,5375771.0,10093416.0,0.0,192700588.0
2024-03-06,0.0,91479841.0,26830783.0,5559058.0,9882904.0,0.0,192656788.0
2024-03-08,0.0,91477841.0,27130791.0,5641458.0,10132140.0,0.0,192721088.0
2024-03-13,0.0,91587841.0,27469371.0,5717805.0,9338829.0,0.0,192667288.0
2024-03-18,0.0,91598541.0,27950136.0,5709505.0,8825297.0,0.0,192656788.0
2024-03-25,0.0,91587141.0,29602979.0,5711405.0,4139338.0,0.0,192671188.0
2024-03-27,0.0,0.0,29677779.0,5740430.0,3800044.0,38273900.0,192656788.0
2024-03-28,0.0,0.0,20863178.0,5766730.0,3630045.0,48273900.0,192662788.0
2024-04-03,0.0,91544641.0,21504613.0,5738930.0,3528246.0,0.0,192656788.0
2024-04-08,0.0,0.0,22109734.0,6081230.0,3157266.0,48473900.0,192668750.0
2024-04-10,0.0,0.0,22104334.0,6196030.0,2880647.0,48568900.0,192680550.0
2024-04-11,0.0,0.0,23170225.0,6226430.0,2888147.0,47593900.0,192677450.0
2024-04-12,0.0,0.0,23464843.0,6171230.0,2893747.0,47649300.0,192666850.0
2024-04-15,0.0,91541641.0,23395243.0,6130130.0,2853977.0,47795900.0,192667520.0
2024-04-16,0.0,0.0,23624512.0,6220930.0,2639878.0,47945900.0,192875000.0
2024-04-17,0.0,0.0,23708524.0,6257930.0,2639828.0,48046100.0,192659050.0
2024-04-18,0.0,0.0,23685792.0,6307530.0,2741338.0,48146500.0,192745450.0
2024-04-19,0.0,0.0,23739192.0,6295930.0,2754938.0,48228500.0,192852750.0
2024-04-22,0.0,0.0,23772692.0,6307930.0,2244847.0,48448400.0,192981651.0
2024-04-23,0.0,0.0,23654492.0,6358130.0,2652619.0,48748400.0,192959050.0
2024-04-24,0.0,0.0,23495663.0,6279530.0,2131770.0,43375000.0,192980250.0
2024-04-25,0.0,0.0,23463263.0,6287930.0,1850326.0,43632000.0,192969550.0
2024-04-26,0.0,0.0,23373787.0,6290230.0,1816226.0,43732000.0,192986650.0
2024-04-29,0.0,0.0,23251887.0,6285630.0,1805426.0,43820400.0,192998650.0
