date,VICTORY SECURITIES CO LTD,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,IFAST SECURITIES (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOOM SECURITIES (H.K.) LTD,WELL LINK SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-04-30,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,82.35294117647058,17.647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,76.06998438563478,12.423429555190776,0.1201105016615286,0.0,11.386475557512913,0.0,0.0,0.0,0.0,0.0
2024-05-06,82.91162764102124,8.871544157589273,0.08577064928381507,0.0,8.13105755210567,0.0,0.0,0.0,0.0,0.0
2024-05-07,88.98624135806695,4.4561571633924295,0.06845095489082072,0.0,6.489150523649805,0.0,0.0,0.0,0.0,0.0
2024-05-08,88.98624135806695,4.430145800533918,0.06845095489082072,0.0,6.5151618865083165,0.0,0.0,0.0,0.0,0.0
2024-05-09,88.98624135806695,4.430145800533918,0.06867912474045679,0.0,6.51493371665868,0.0,0.0,0.0,0.0,0.0
2024-05-10,88.78166914186242,4.51229347222319,0.06995623667984448,0.0,6.636081149234549,0.0,0.0,0.0,0.0,0.0
2024-05-13,88.78166914186242,4.51229347222319,0.07367484062295912,0.0,6.632362545291434,0.0,0.0,0.0,0.0,0.0
2024-05-14,88.78270085342952,4.511183831322165,0.07460535857055203,0.0,6.6315099566777596,0.0,0.0,0.0,0.0,0.0
2024-05-16,88.7831135447704,4.507253719826524,0.07576778799894018,0.0,6.630611116017682,0.003253831386457554,0.0,0.0,0.0,0.0
2024-05-17,88.7831135447704,4.902129400225909,0.07576778799894018,0.0,6.235735435618298,0.003253831386457554,0.0,0.0,0.0,0.0
2024-05-20,88.7831135447704,5.159879329338867,0.07669745410935662,0.0,5.9770558403949225,0.003253831386457554,0.0,0.0,0.0,0.0
2024-05-22,88.7831135447704,5.197065973755525,0.07669745410935662,0.0,5.939869195978265,0.003253831386457554,0.0,0.0,0.0,0.0
2024-05-23,88.89674945079496,5.307508284618535,0.09308560151915703,0.0,5.6993986670141865,0.0032579960531704958,0.0,0.0,0.0,0.0
2024-05-24,89.01067662094967,5.186153480503865,0.09320489698528761,0.0,5.702042585317432,0.007922416243749448,0.0,0.0,0.0,0.0
2024-05-28,89.19773409735163,4.916849965675218,0.09340076868832631,0.0,5.714025526430082,0.007939065338507736,0.07005057651624473,0.0,0.0,0.0
2024-06-03,89.08098313649121,5.033600926535625,0.0770556341678692,0.0,5.730370660950539,0.007939065338507736,0.07005057651624473,0.0,0.0,0.0
2024-06-05,89.08098313649121,4.924322027170284,0.07939065338507736,0.0,5.730370660950539,0.11488294548664135,0.07005057651624473,0.0,0.0,0.0
2024-06-06,88.91364538954198,5.040925913841162,0.07924151882685262,0.0,5.781601051581568,0.1146671390082691,0.06991898720016407,0.0,0.0,0.0
2024-06-07,88.91364538954198,4.881510623024789,0.07924151882685262,0.0,5.781601051581568,0.27408242982464315,0.06991898720016407,0.0,0.0,0.0
2024-06-13,88.82545507038515,4.848728969438455,0.07916292195001559,0.0,5.902992824113958,0.273810577097701,0.06984963701471965,0.0,0.0,0.0
2024-06-14,89.28397662802584,4.647835771261756,0.07588303300019195,0.0,5.662882930334912,0.2624660200241933,0.06695561735311054,0.0,0.0,0.0
2024-06-17,88.51520247239013,4.981378137431021,0.08132862265193502,0.0,6.069028864484986,0.2813013536431635,0.0717605493987662,0.0,0.0,0.0
2024-06-19,88.51520247239013,4.912727211839534,0.08132862265193502,0.0,6.069028864484986,0.3499522792346498,0.0717605493987662,0.0,0.0,0.0
2024-06-21,88.4931880304476,5.462489328273081,0.0813083955701273,0.0,5.541406300444087,0.3498652432914595,0.07174270197364173,0.0,0.0,0.0
2024-06-24,88.4931880304476,5.464880751672203,0.0813083955701273,0.0,5.539014877044966,0.3498652432914595,0.07174270197364173,0.0,0.0,0.0
2024-06-25,88.48266576749147,5.328569617922284,0.0813083955701273,0.0,5.685848273751019,0.3498652432914595,0.07174270197364173,0.0,0.0,0.0
