date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,KINGSTON SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,57.09774724208945,22.51862397766461,8.676640120552708,0.0,0.0,11.706988659693236,0.0,0.0
2024-03-04,44.387196364378546,26.989217575988032,10.60478853757,4.082092771896141,8.40362991150758,0.0,5.533074838659698,0.0,0.0
2024-03-05,44.350634247421915,27.06043541257731,10.596469757148173,4.078890630400285,8.388321841480453,0.0,5.525248110971859,0.0,0.0
2024-03-06,44.28858674805957,27.136928976713044,10.600950732204376,4.075587024310199,8.376302568780739,0.0,5.52164394993207,0.0,0.0
2024-03-07,44.31142804999519,27.136854538112487,10.60058145463564,4.075445053754394,8.376010785456229,0.0,5.499680118046058,0.0,0.0
2024-03-08,42.8314406342626,26.272302719347216,10.265872796545953,4.003025999674916,8.04607892264617,0.0,5.322064116408849,0.0,3.259214811114298
2024-03-11,42.82264158933379,26.272110239929,10.268577644565017,4.0086238503196565,8.048859533628447,0.0,5.318845992605719,0.0,3.2603411496183696
2024-03-12,42.79912434047237,26.444762881613293,10.27507322968036,4.015376709438446,8.053950993613638,0.0,5.149308304434448,0.0,3.262403540747448
2024-03-13,42.75412301290869,26.456752770049285,10.273138472062133,4.0129736120253465,8.096334476203184,0.0,5.146226578768073,0.0,3.2604510779832867
2024-03-14,42.70849991186259,26.531617790616636,10.257771241195378,4.0134105743158015,8.08371591426386,0.0,5.144863252620838,0.0,3.260121315124901
2024-03-15,42.64097453243764,26.52303539571634,10.294657633075202,4.013004697991246,8.095539661370399,0.0,5.1687827092698315,0.0,3.2640053701393374
2024-03-18,42.55879203845271,26.50178794455077,10.293196098913578,4.0091529633449845,8.08776945601542,0.0,5.3094774976376495,0.0,3.239824001084892
2024-03-19,42.322544582692544,25.683185610222253,10.236057696399435,4.686853583574888,8.034500886764835,0.0,5.815018176432115,0.0,3.2218394639139247
2024-03-20,42.31600140185432,25.71803713438083,10.240320160321117,4.675075475042931,8.028652632586725,0.0,5.823335340769242,0.0,3.1985778550448383
2024-03-21,42.27479586956389,25.692993997636325,10.230348569692238,4.662164649079018,8.020834670247632,0.0,5.817664823128803,0.0,3.3011974206520898
2024-03-22,42.10214007216319,25.596484158863454,10.57878376123906,4.647831909304079,7.990446299639979,0.0,5.795623556604245,0.0,3.288690242185998
2024-03-25,42.08930197784377,25.59555230157102,10.577022313066747,4.6470580098458205,7.989115829394239,0.0,5.813806918097983,0.0,3.2881426501804194
2024-03-26,39.98916539855506,24.4905940792318,10.093461651598295,4.423159028886338,7.597164727534321,0.0,5.33968435379224,4.939294656557883,3.1274761038440624
