date,CHINA SECURITIES (INTERNATIONAL),THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,98.10809333923223,0.0,0.0,0.0,1.8919066607677753,0.0
2024-03-05,0.0,98.10712154804759,0.0,0.0,0.0,1.8928784519524189,0.0
2024-03-06,0.0,74.9109252750122,23.643491490067195,0.0,0.0,1.4455832349206124,0.0
2024-03-08,0.0,74.9106892025671,23.643416980550377,0.0,0.0,1.445893816882522,0.0
2024-03-11,0.0,74.91097248967976,23.6434433642811,0.0,0.0,1.4455841460391392,0.0
2024-03-12,0.0,66.7898592362934,31.2730639211376,0.0,0.0,1.9370768425690126,0.0
2024-03-13,0.0,66.7826215743056,31.273009323417327,0.0,0.0,1.944369102277083,0.0
2024-03-14,0.0,66.78230708607813,31.265606406342055,0.0,0.0,1.9520865075798193,0.0
2024-03-18,0.0,66.78507492077344,31.263001227517456,0.0,0.0,1.9519238517091082,0.0
2024-03-19,0.0,66.77951057749435,31.2603964828051,0.0,0.0,1.9600929397005529,0.0
2024-03-20,0.0,66.78637145470621,31.260682983477007,0.0,0.0,1.9529455618167757,0.0
2024-03-22,0.0,74.89060462359053,23.632974870490074,0.0,0.0,1.4764205059193962,0.0
2024-03-25,0.0,74.89041593543352,23.632915326806383,0.0,0.0,1.4766687377600916,0.0
2024-03-26,0.0,74.88390677621602,23.630861253441797,0.0,0.0,1.485231970342178,0.0
2024-04-03,0.0,74.90960652806183,23.638335030978443,0.0,0.0,1.452058440959739,0.0
2024-05-03,0.0,74.91073922108002,23.63869246146423,0.0,0.0,1.450568317455748,0.0
2024-05-08,0.0,74.9109740813144,23.639064796381337,0.0,0.0,1.4499611223042619,0.0
2024-05-09,0.0,74.91222278554238,23.637888258071225,0.0,0.0,1.4498889563863941,0.0
2024-05-13,0.0,74.91054728048103,23.639466931266448,0.0,0.0,1.4499857882525284,0.0
2024-05-17,0.0,74.91073607168245,23.639526507968597,0.0,0.0,1.449737420348954,0.0
2024-05-20,0.0,73.92989479023035,23.33000313803656,0.0,0.0,1.4304444277503388,1.3096576439827463
2024-05-21,0.0,73.9313198890034,23.330452855420052,0.0,0.0,1.4304720015025358,1.3077552540740114
2024-05-28,85.06826375103185,7.390209055760448,6.749372959806296,0.0,0.0,0.4138277600753145,0.37832647332609304
2024-05-29,85.06654987153082,7.392074875224651,6.749236979460036,0.0,0.0,0.4138194226427202,0.3783188511417585
2024-06-03,85.06425019858494,7.391875039277029,6.749054521869945,0.0,0.0,0.41651161652626006,0.37830862374182045
2024-06-05,85.06374525670553,7.392244882677988,6.749014459443408,0.0,0.0,0.41668902307342237,0.3783063780996497
2024-06-07,85.06930943507837,7.391583958399258,6.749455925078148,0.0,0.0,0.41131955761817424,0.37833112382605727
2024-06-11,85.06915640355298,7.39157066164893,6.74944378345454,0.0,0.0,0.4114987080988866,0.37833044324466586
2024-06-18,85.06923291924686,7.3914873647346475,6.749449854260884,0.0,0.0,0.4114990782225661,0.3783307835350555
2024-06-19,85.06946246715432,7.391237473092738,6.749468066745439,0.0,0.0,0.4115001885975994,0.3783318044098973
2024-06-20,85.06972262294705,7.391260076659144,6.749488707680087,0.0,0.0,0.41119563130566594,0.37833296140804484
2024-06-21,85.07457405480892,7.391681592017719,6.749873623529795,0.0,0.0,0.4055161923266425,0.37835453731692026
2024-06-26,85.07533931540443,7.391748081479697,6.749934339817432,0.0,0.0,0.4046203226166141,0.3783579406818123
2024-07-08,85.0757984783701,7.39178797573105,6.749970770114324,0.0,0.0,0.40408279305439154,0.378359982730137
2024-07-22,85.07579843245355,7.391788025712938,6.749970766471273,0.0,0.0,0.4040827928363027,0.37835998252593106
2024-07-31,85.07555354492202,7.392054595017584,6.749951336930684,0.0,0.0,0.4040816296989653,0.3783588934307494
2024-08-12,85.07555352961658,7.392054611678119,6.74995133571634,0.0,0.0,0.4040816296262693,0.37835889336268114
2024-08-15,85.07555414183366,7.392054664872506,6.7499513842900525,0.0,0.0,0.40408091291836823,0.37835889608541123
2024-08-16,84.98058328704872,7.383982529277058,6.742416333132417,0.0,0.0,0.5150813210003363,0.3779365295414706
2024-08-23,84.9799006665533,7.384798363316512,6.742290292900963,0.0,0.0,0.5150771835250105,0.3779334937042117
2024-09-02,84.98005337712127,7.384811633945727,6.742302408930422,0.0,0.0,0.5148984071443772,0.37793417285820013
2024-09-03,84.98008391930072,7.384778347667466,6.74230483214154,0.0,0.0,0.5148985922009749,0.37793430868929073
2024-09-16,84.98023663052732,7.384611915917259,6.742316948223256,0.0,0.0,0.5148995174859587,0.3779349878462083
2024-09-26,84.98089329505586,7.384668978746153,6.742135432981962,0.0,0.0,0.5143643849672567,0.37793790824876844
2024-09-30,84.98096965205502,7.384675614016049,6.742051638961795,0.0,0.0,0.5143648471337436,0.37793824783339064
2024-10-02,84.98151942649964,7.384076450006314,6.7420952558763885,0.0,0.0,0.5143681747569671,0.377940692860685
2024-10-03,84.98150415489124,7.3840751230504695,6.742094044287808,0.0,0.0,0.5143860528276495,0.37794062494283304
