date,CHINA SECURITIES (INTERNATIONAL),CHINA MERCHANTS BANK CO LTD,CHIYU BANKING CORPORATION LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL
2024-03-01,99.13486631617505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8651336838249488
2024-03-05,99.13471958561382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652804143861798
2024-03-06,99.13472221588931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652777841106849
2024-03-07,99.08954180845893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9104581915410793
2024-03-13,97.78581687450713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157066226098846,0.8984765028829808
2024-03-19,84.7967539921814,0.0,0.0,0.0,0.0,13.283306746958818,0.0,0.0,1.1409389865456043,0.7790002743141821
2024-03-20,84.79648256558463,0.0,0.0,0.0,0.0,13.28320313261752,0.0,0.0,1.1409300868308119,0.779384214967037
2024-03-21,84.7965023309993,0.0,0.0,0.0,0.0,13.283185863717794,0.0,0.0,1.1409286035585116,0.7793832017243935
2024-03-22,84.7963213824197,0.0,0.0,0.0,0.0,13.283376798292256,0.0,0.0,1.140922670507877,0.7793791487801645
2024-03-25,84.7964711526086,0.0,0.0,0.0,0.0,13.283359529279007,0.0,0.0,1.14092118725486,0.779248130857524
2024-03-27,84.79636091335978,0.0,0.0,0.0,0.0,13.283602269358974,0.0,0.0,1.1409197040056993,0.779117113275542
2024-03-28,84.79818220342838,0.0,0.0,0.0,0.0,13.282238136030564,0.0,0.0,1.1408025395075674,0.7787771210334817
2024-04-03,84.80491025247827,0.0,0.0,0.0,0.0,13.278630577056033,0.0,0.0,1.1378935713431717,0.778565599122538
2024-04-08,84.80422606593805,0.0,0.0,0.0,0.0,13.278319969850944,0.0,0.0,1.1391664825668284,0.7782874816441632
2024-04-09,84.8058171687561,0.0,0.0,0.0,0.0,13.277043181770932,0.0,0.0,1.1390569450508325,0.7780827044221293
2024-04-10,84.80583691210197,0.0,0.0,0.0,0.0,13.27702592955944,0.0,0.0,1.1390554649583866,0.7780816933801984
2024-04-11,84.80591588497236,0.0,0.0,0.0,0.0,13.276956921161814,0.0,0.0,1.1390495446270672,0.7780776492387496
2024-04-12,84.80580568874335,0.0,0.0,0.0,0.0,13.276939669174496,0.0,0.0,1.1390480645538534,0.7782065775282944
2024-04-15,84.80594389011392,0.0,0.0,0.0,0.0,13.276818906518606,0.0,0.0,1.1390377041490545,0.7781994992184221
2024-04-16,84.80607382825038,0.0,0.0,0.0,0.0,13.276818906518606,0.0,0.0,1.1390377041490545,0.7780695610819689
2024-04-17,84.80636351115719,0.0,0.0,0.0,0.0,13.276631351362589,0.0,0.0,1.1389770255626672,0.7780281119175508
2024-04-22,84.80657240639154,0.0,0.0,0.0,0.0,13.276562349767815,0.0,0.0,1.1389711060467074,0.7778941377939353
2024-04-23,57.315218422134095,0.0,0.0,32.416201558828384,0.0,8.972746846691793,0.0,0.0,0.7697549358800988,0.5260782364656253
2024-04-25,57.315205574961844,0.0,0.0,32.41614462867249,0.0,8.972731088526052,0.0,0.0,0.769753584016944,0.5261651238226704
2024-04-26,57.314790097785774,0.0,0.0,32.415859980892435,0.0,8.972652298527594,0.0,0.0,0.7697468247723952,0.5269507980218051
2024-04-29,57.31447317353302,0.0,0.0,32.415233773372506,0.0,8.972478965401576,0.0,0.0,0.7697319548522266,0.5280821328406674
2024-04-30,17.204886920765457,0.0,0.0,9.733169908798565,0.0,2.6936580736991935,0.0,1.1435763614318097,0.23290632083926405,0.1670093310137593
2024-05-02,55.18117390852242,0.0,0.0,31.222138715276166,0.0,8.640179089992214,0.0,3.6677772432957494,0.7595092947739776,0.5292217481394812
2024-05-03,55.18121179842248,0.0,0.0,31.222112320035166,0.0,8.64017178557238,0.0,3.6677741425515906,0.7595086526837268,0.5292213007346539
2024-05-06,55.15697641049188,0.0,0.0,31.175069465311232,0.0,8.62804744235983,0.0,3.675415525792478,0.7642028285802067,0.6002883274643727
2024-05-07,55.160506123964915,0.0,0.0,31.177016772320187,0.0,8.628586381247414,0.0,3.67564510547063,0.7642505634385366,0.5939950535583148
2024-05-08,55.15957491706831,0.0,0.0,31.176490449139454,0.0,8.630128892302757,0.0,3.6755830540807457,0.7642376615374227,0.5939850258713103
2024-05-09,55.16426911450256,0.0,0.0,31.17065433294136,0.0,8.630850127172549,0.0,3.675890228944354,0.7643015302069625,0.5940346662322061
2024-05-10,55.16380344430834,0.0,0.0,31.170391205288446,0.0,8.631705836719087,0.0,3.6758591988492526,0.7642950783415118,0.5939452364933595
2024-05-14,55.16338434785545,0.0,0.0,31.170154394199034,0.0,8.632399989870256,0.0,3.6758312722115765,0.7642892717557381,0.5939407241079493
2024-05-16,55.16342219644768,0.0,0.0,31.17012808207788,0.0,8.63239270287541,0.0,3.675828169278028,0.7642886265849872,0.593940222736025
2024-05-17,55.162909976178454,0.0,0.0,31.169838651677047,0.0,8.633494338373957,0.0,3.6757940373547453,0.7642815297786166,0.5936814666371781
2024-05-20,55.1624443296428,0.0,0.0,31.169575537795062,0.0,8.633421460479534,0.0,3.6757630088836217,0.7642750782508281,0.5945205849481536
2024-05-21,55.17534564643799,0.0,0.0,31.1768654353562,0.0,8.635440633245382,0.0,3.676622691292876,0.7619208443271768,0.5738047493403694
2024-05-22,42.316077377727694,0.0,23.241106804598047,23.916555342323097,0.0,6.625180010298777,0.0,2.845644064748805,0.6018299223523813,0.4536064779511977
2024-05-23,42.315439652794595,0.0,23.240685420568287,23.91676924672997,0.0,6.625448410284301,0.0,2.8455924704347586,0.6018190105864296,0.45424578860165743
2024-05-24,42.31302852617881,0.0,23.239361170232094,23.91540647325137,0.0,6.625070893351132,0.0,2.853847804144443,0.5998422247894298,0.45344290805271775
2024-05-27,42.31306587835812,0.0,23.23934612280001,23.915390988081533,0.0,6.625066603633201,0.0,2.8538459562846548,0.5998418363929902,0.4534426144494938
