date,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,MORTON SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING
2024-11-22,0.0,0.0,0.0,28.914340078067273,728.9412318120276,160.95156116264909,0.0,0.0
2024-11-25,0.0,0.0,0.0,0.0,0.0,160.9678099444982,0.0,13.515592127952658
2024-11-26,0.0,0.0,0.0,0.0,728.933107421103,0.0,0.0,0.0
2024-12-06,0.0,0.0,0.0,0.0,728.9493562029522,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,28.816847386972462,729.0306001121978,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,161.1059245902159,0.0,0.0
2024-12-13,0.0,5.136998760624165,0.0,0.0,0.0,161.122173372065,0.0,0.0
2024-12-19,0.0,0.0,2.2245394790559296,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,161.13029776298958,0.0,0.0
2025-01-02,0.0,5.130499247884511,0.0,28.72747908680221,0.0,161.22779045408438,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.0,159.29418541403723,0.0,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.515267152315674
2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.401525679371726
2025-01-14,0.0,0.0,0.0,28.729185208896368,729.046848894047,0.0,0.0,13.396651044816984
2025-01-27,0.0,0.0,0.0,28.728210281985422,729.17683914884,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0,28.73146003835525,0.0,159.37542932328293,0.0,0.0
2025-02-10,0.0,0.0,0.0,28.735684721636023,0.0,0.0,0.0,13.392426361536208
2025-02-11,0.0,5.128874369699597,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-19,0.0,0.0,0.0,0.0,729.2093367125383,159.39980249605662,0.0,0.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,159.44042445067944,0.0,0.0
2025-02-26,0.0,0.0,0.0,28.573196903144666,0.0,0.0,0.0,0.0
2025-02-27,0.0,0.0,0.0,28.443206648351584,0.0,159.57041470547256,0.0,0.0
2025-02-28,0.0,0.0,0.0,0.0,729.2174611034629,0.0,0.0,0.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,159.29418541403723,0.0,0.0
2025-03-26,0.0,0.0,0.0,0.0,729.2012123216138,159.3104341958864,0.0,13.385926848796553
2025-03-31,0.0,0.0,0.0,0.0,0.0,159.29418541403723,0.0,0.0
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.390801483351295
2025-04-03,0.0,0.0,0.0,0.0,0.0,159.3023098049618,0.0,0.0
2025-04-07,0.0,0.0,0.0,0.0,727.8119414735127,159.29418541403723,0.0,0.0
2025-04-09,0.0,0.0,0.0,0.0,0.0,159.61916105101997,0.0,0.0
2025-04-11,0.0,0.0,0.0,0.0,0.0,159.94413668800266,0.0,0.0
2025-05-02,1.5931930603077602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
