date,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,VALUABLE CAPITAL LTD,PRUDENTIAL BROKERAGE LTD,HAFOO SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,86.71120802453436,0.0,0.0,6.46414550173727,6.824646473728367,0.0,0.0,0.0,0.0
2024-03-04,0.0,86.99966530934392,0.0,0.0,6.477107456325591,6.523227234330474,0.0,0.0,0.0,0.0
2024-03-05,0.0,87.36119956645959,0.0,0.0,6.482678506516851,6.156121927023564,0.0,0.0,0.0,0.0
2024-03-06,0.0,70.52962438514014,0.0,0.0,5.278725723874681,4.802704240924768,0.0,10.761027089305184,0.0,8.627918560755234
2024-03-07,0.0,70.0043482756383,0.0,0.0,5.3082678503902185,5.042048085448364,0.0,11.00733416169596,0.0,8.638001626827146
2024-03-08,0.0,64.20017829890254,0.0,6.879881955198893,5.052730333233807,5.198505495831142,0.0,10.518306512734195,0.0,8.150397404099419
2024-03-11,0.0,63.55237829548882,0.0,6.8981375155853355,5.1324743516557,5.433422074399374,0.0,10.811563523753987,0.0,8.172024239116785
2024-03-12,29.034706732053667,41.60250861487328,0.0,4.563831569605006,3.421279755840227,4.038706931293839,0.0,7.0848355589366,4.985930927055457,5.268199910341923
2024-03-13,27.477373147611534,41.08519928479931,3.1559061737054557,4.798995935300083,3.2377726891179073,3.8769348806379007,0.0,6.718539457483493,4.718500718303251,4.930777713041065
2024-03-14,26.89473179994668,40.16032324704699,3.115831478132454,4.723812054854553,3.1825398543119934,5.391969593328894,0.0,6.750565536365712,4.618447718232946,5.161778717779779
2024-03-15,26.51394480629838,41.073719568280566,3.0717162175640205,4.656930324844841,3.163944450683781,5.328859977329983,0.0,6.5623629746648575,4.553057781087291,5.075463899246279
2024-03-18,26.517453641156575,41.18502661093642,3.072122726101976,4.6443126970717135,3.16436316463446,5.303097349890514,0.0,6.483827898795565,4.553660329216977,5.076135582195809
2024-03-19,26.640850673026794,40.791675883498804,3.073123119205341,4.719106688287375,3.2854523405158425,5.487320990561687,0.0,6.513999917900254,4.574850454648117,4.913619932355792
2024-03-20,26.57019783125377,40.96195950619511,3.064973046065594,4.706591386045349,3.2899994049465024,5.472768346336385,0.0,6.496724470837489,4.5627177270083505,4.874068281311458
2024-03-21,26.60194517937739,40.891418020730946,3.0686352230241902,4.7122150474180415,3.2939304542032177,5.479307472728839,0.0,6.5044870691722405,4.568169481225204,4.879892052119934
2024-03-22,26.60547734624206,40.81718041164992,3.06904267186229,4.712840728349923,3.3209235210672206,5.51986856254474,0.0,6.505350725327553,4.56877603600024,4.880539996956053
