date,ASTRUM CAPITAL MANAGEMENT LTD,CMB WING LUNG BANK LTD,YICKO SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,THE HONGKONG AND SHANGHAI BANKING,CMBC SECURITIES CO LTD,CITIBANK N.A.
2024-03-07,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,53.328232593726085,0.0,0.0,46.671767406273915,0.0
2024-03-11,0.0,0.0,0.0,0.0,53.421521241414396,0.0,0.0,46.578478758585604,0.0
2024-03-12,0.0,0.0,0.0,0.0,53.40793489318413,0.0,0.0,46.59206510681587,0.0
2024-03-13,0.0,0.0,0.0,0.0,53.4316217590239,0.0,0.0,46.5683782409761,0.0
2024-03-14,0.0,0.0,0.0,0.0,53.3418043202033,0.0,0.0,46.6581956797967,0.0
2024-03-15,0.0,0.0,0.0,0.0,53.316391359593396,0.0,0.0,46.68360864040661,0.0
2024-03-18,0.0,81.34653652989671,0.0,0.0,9.949777314507722,0.0,0.0,8.703686155595564,0.0
2024-03-19,0.0,81.30801288122751,0.0,0.0,9.968744080318242,0.0,0.0,8.723243038454251,0.0
2024-03-20,0.0,81.30416252308567,0.0,0.0,9.963536487190416,0.0,0.0,8.73230098972392,0.0
2024-03-22,0.0,81.2349183818311,0.0,0.0,10.09699550508635,0.0,0.0,8.668086113082564,0.0
2024-03-25,49.995267840242285,40.62322544009086,0.0,0.0,5.030285822449366,0.0,0.0,4.35122089721749,0.0
2024-03-26,49.95502958579882,40.6414201183432,0.0,0.0,5.050887573964498,0.0,0.0,4.352662721893491,0.0
2024-03-27,49.951482734953736,40.63853454192602,0.0,0.0,5.057629044091544,0.0,0.0,4.352353679028708,0.0
2024-04-02,49.94202692790043,40.63084167435697,0.0,0.0,5.075601618513523,0.0,0.0,4.351529779229076,0.0
2024-04-03,49.92784992784993,40.619307832422585,0.0,0.0,5.0930854209542735,0.0,0.0,4.359756818773213,0.0
2024-04-10,49.9266688744855,40.618346974499694,0.0,0.0,5.0953304631688505,0.0,0.0,4.359653687845958,0.0
2024-04-11,49.92430693537705,40.61642539502318,0.0,0.0,5.09982022897152,0.0,0.0,4.359447440628252,0.0
2024-04-12,49.91958372753075,40.61258278145695,0.0,0.0,5.10879848628193,0.0,0.0,4.3590350047303685,0.0
2024-04-15,49.91722245872948,40.61066174731564,0.0,0.0,5.103826687479305,0.0,0.0,4.368289106475569,0.0
2024-04-17,49.94202692790043,40.63084167435697,0.0,0.0,5.0992640969215115,0.0,0.0,4.327867300821088,0.0
2024-04-18,49.93021220221902,40.621229684653784,0.0,0.0,5.105154834283551,0.0,0.0,4.343403278843652,0.0
2024-04-19,49.92430693537705,40.61642539502318,0.0,0.0,5.097454820702054,0.0,0.0,4.36181284889772,0.0
2024-04-22,49.9266688744855,40.618346974499694,0.0,0.0,5.092964942990964,0.0,0.0,4.3620192080238445,0.0
2024-04-26,49.92548787699586,40.61975162625665,0.0,0.0,5.09284447072738,0.0,0.0,4.361916026020107,0.0
2024-05-02,49.92548787699586,40.61975162625665,0.0,0.0,5.06682436428149,0.0,0.0,4.387936132465996,0.0
2024-05-03,49.92430693537705,40.61879080329265,0.0,0.0,5.066704513198978,0.0,0.0,4.390197748131327,0.0
2024-05-09,49.920764445705906,40.615908607109915,0.0,0.0,5.066344993968637,0.0,0.0,4.396981953215544,0.0
2024-05-22,49.9266688744855,40.620712494677576,0.0,0.0,5.0527510999668825,0.0,0.0,4.399867530870038,0.0
