date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,TELECOM KING SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,45.74162679425837,0.0,0.0,0.0,0.0,54.25837320574163
2024-03-04,0.0,70.23864092943766,23.493992948859425,4.490433424443577,0.8256512118794177,0.0,0.0,0.0,0.0,0.9512814853799184
2024-03-05,49.95891276036059,35.14320767939142,11.764896487909837,2.2467438480798188,0.41027496356240173,0.0,0.0,0.0,0.0,0.4759642606959264
2024-03-06,49.9591956728131,35.134912338184186,11.764963111371697,2.2467565711711974,0.410277286909523,0.0,0.0,0.0,0.0,0.4838950195502931
2024-03-07,49.95622525186229,35.13282332377335,11.765679244106808,2.246622985898246,0.4102528930770711,0.0,0.0,0.0,0.0,0.48839630128222744
2024-03-11,49.95679248710503,35.13202757410037,11.7654127544107,2.245156491059699,0.4122254540962071,0.0,0.0,0.0,0.0,0.4883852392279926
2024-03-12,49.95127699036217,35.128148810592776,11.764113789995758,2.244908613790219,0.41048139848623183,0.0,0.0,0.0,0.0,0.5010703967728485
2024-03-15,49.95155980672252,35.12834770070714,11.76418039657812,2.2449213241135935,0.4099175381231379,0.0,0.0,0.0,0.0,0.5010732337554932
2024-03-18,49.945904087926095,35.12153972458778,11.76284840821878,2.2446671449892897,0.41609844932336143,0.0,0.0,0.0,0.0,0.5089421849546965
2024-03-21,49.945197213126384,35.12104265617322,11.764097211699216,2.2446353766457685,0.41609256036182596,0.0,0.0,0.0,0.0,0.5089349819935803
2024-03-22,49.94392488890711,35.120147968482094,11.76634496888893,2.2445781958934137,0.41608196065111197,0.0,0.0,0.0,0.0,0.5089220171773465
2024-03-25,49.93671627592993,35.11507893245881,11.772287902395986,2.2442542266509644,0.4228141002038513,0.0,0.0,0.0,0.0,0.5088485623604583
2024-03-27,49.93600966117114,35.11458204690285,11.77212132211204,2.244222469994194,0.42422313777065523,0.0,0.0,0.0,0.0,0.5088413620491249
2024-03-28,49.93487911915091,35.11378705926174,11.77185480346323,2.246435642712001,0.4242135334373003,0.0,0.0,0.0,0.0,0.5088298419748272
2024-04-03,49.9330428554646,35.10926798930743,11.771288491401661,2.248308461287742,0.4292868389897425,0.0,0.0,0.0,0.0,0.5088053635488181
2024-04-05,49.92682631692922,35.10489697354466,11.769822995522917,2.2494432967379185,0.43489237070266423,0.0,0.0,0.0,0.0,0.5141180465626161
2024-04-08,49.926543783773894,35.10469831686966,11.769756390744005,2.2499964617447494,0.4348899096707343,0.0,0.0,0.0,0.0,0.5141151371969579
2024-04-10,49.92513116596107,35.103705067219316,11.76942337815651,2.249932800516878,0.4365752403417433,0.0,0.0,0.0,0.0,0.5152323478044812
2024-04-11,49.922160524226975,35.1036057453456,11.769390077934204,2.249926434592225,0.43827163571219274,0.0,0.0,0.0,0.0,0.5166455821888082
2024-04-12,49.893019681559444,35.09480475058469,11.769190280557499,2.2498882398007845,0.43996179739565144,0.0,0.0,0.0,0.0,0.5531352501019282
2024-04-15,49.890046700761864,35.09549982939047,11.76942337815651,2.249932800516878,0.44195108581581527,0.0,0.0,0.0,0.0,0.5531462053584628
2024-04-17,49.47121612381976,34.80284430979205,11.671280119594805,2.2339767846771124,0.43826572942296527,0.0,0.83107752275981,0.0,0.0,0.5513394099334998
