date,MORTON SECURITIES LTD,BNP PARIBAS,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,NANYANG COMMERCIAL BANK LTD,UPBEST SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,57.84498059926078,0.0,42.15501940073922,0.0,0.0
2024-03-08,0.0,0.0,0.0,57.861492123006045,0.0,42.138507876993955,0.0,0.0
2024-03-12,0.0,0.0,0.0,37.67249183428885,34.89194548560551,27.43556268010564,0.0,0.0
2024-03-14,0.0,0.0,0.0,38.09371833471305,35.28020466929444,26.62607699599251,0.0,0.0
2024-03-15,0.0,0.0,0.0,38.04725755784234,35.30668252700128,26.64605991515638,0.0,0.0
2024-03-22,0.0,0.0,0.0,38.078340240759005,35.346832804991806,26.574826954249186,0.0,0.0
2024-04-02,0.0,0.0,0.0,38.0706092804357,35.339656416518935,26.589734303045375,0.0,0.0
2024-04-03,0.0,0.0,0.0,38.110070032430926,35.272635009971985,26.617294957597093,0.0,0.0
2024-04-05,0.0,0.0,0.0,38.09748907713069,35.27980521431079,26.62270570855852,0.0,0.0
2024-05-06,0.0,0.0,0.0,38.09623070027539,35.28052239507905,26.623246904645555,0.0,0.0
2024-05-07,0.0,0.0,0.0,38.11132784670427,35.27191814983339,26.616754003462333,0.0,0.0
2024-05-10,0.0,0.0,0.0,38.10881216702935,35.273351899249846,26.6178359337208,0.0,0.0
2024-05-13,0.0,0.0,0.0,38.083644117268335,35.28769580679019,26.628660075941475,0.0,0.0
2024-05-16,0.0,0.0,0.0,38.0671816232787,35.291283606657345,26.641534770063945,0.0,0.0
2024-05-17,0.0,0.0,0.0,38.062899445513295,35.293723727322515,26.64337682716419,0.0,0.0
2024-05-21,0.0,0.0,0.0,39.20999177394324,34.66283602888633,26.127172197170434,0.0,0.0
2024-05-22,0.0,0.0,0.0,39.217824537939244,34.66976043263555,26.11241502942521,0.0,0.0
2024-05-27,0.0,0.0,0.0,39.22174209358555,34.67322367205128,26.105034234363178,0.0,0.0
2024-05-28,0.0,0.0,0.0,39.20999177394324,34.66283602888633,26.127172197170434,0.0,0.0
2024-06-05,0.0,0.0,0.0,31.803935517165677,28.11565501621428,21.192223262767758,18.88818620385229,0.0
2024-06-06,95.41434872903207,0.0,0.0,1.4584675886936125,1.290644942721547,0.9694793739741959,0.8670593655785757,0.0
2024-06-07,95.41436292019493,0.0,0.0,1.4584678056143516,1.290630261485952,0.9694795181667609,0.8670594945380121,0.0
2024-06-14,95.41435582461297,0.0,0.0,1.458467697153974,1.2906301655069765,0.9694794460704729,0.8670668666556078,0.0
2024-06-17,95.41243217742033,0.0,0.0,1.4581199348843155,1.2904935059279987,0.9719793252957285,0.86697505647163,0.0
2024-06-18,95.4110132611087,0.0,0.0,1.458098250601537,1.2904743144846635,0.9734520104651222,0.8669621633399769,0.0
2024-06-19,95.4110132611087,0.0,0.0,1.458098250601537,1.2897307445539712,0.9741955803958144,0.8669621633399769,0.0
2024-06-24,95.41072948291067,0.0,0.0,1.4580939138223752,1.2896525517734676,0.9745644667338287,0.8669595847596636,0.0
2024-06-25,95.4114118681129,0.0,0.0,1.4578771077512234,1.2894607914895448,0.9744195573482852,0.8668306752980457,0.0
2024-07-02,95.41155373691787,0.0,0.0,1.457879275492786,1.289314017157619,0.9744210062288271,0.8668319642029011,0.0
2024-07-04,95.41134093386863,0.0,0.0,1.457727332562012,1.289311141510556,0.9747905612117487,0.8668300308470553,0.0
2024-07-08,95.4127630558191,0.0,0.0,1.4568863940947565,1.289224878063061,0.9743536378414075,0.8667720341816691,0.0
2024-07-11,86.49518841959441,0.0,9.346986044386284,1.3200473187520874,1.1687298970480045,0.8832875057093302,0.78576081450988,0.0
2024-08-02,86.50101794581651,0.0,9.347616004286241,1.3130595889846208,1.1688086660721073,0.8836840223180965,0.7858137725224142,0.0
2024-08-08,86.50226463982693,0.0,9.346986044386284,1.3129710985195724,1.1687298970480045,0.8832875057093302,0.78576081450988,0.0
2024-08-13,86.50255612132112,0.0,9.347017540364682,1.3126385587558944,1.1687338352470575,0.8832904820702734,0.7857634622409796,0.0
2024-08-16,86.50226463982693,0.0,9.346986044386284,1.3126341356513576,1.1687298970480045,0.8836244685775454,0.78576081450988,0.0
2024-08-19,86.50238123218887,0.0,9.346998642752173,1.3126359048895953,1.1687314723244409,0.8836256595736921,0.785627088271222,0.0
2024-08-21,86.50208975187331,0.0,9.346967146901132,1.3126314818029434,1.1687275341413121,0.8839596442762976,0.7856244410050041,0.0
2024-08-22,86.5015067971352,0.0,9.34690415583582,1.312622635719064,1.168719657854675,0.8846276069291413,0.7856191465260894,0.0
2024-08-27,86.49538624673579,0.0,9.346242800905916,1.3125297590363931,1.165941474662185,0.8943361598541181,0.7855635588056079,0.0
2024-08-30,86.49480338234638,0.0,9.346179819603217,1.3125209143235155,1.1659336177602713,0.8950040008193691,0.7855582651472534,0.0
2024-09-09,86.49521138659412,0.0,9.34622390642598,1.3125271056100134,1.1647935372449258,0.8956820934243406,0.7855619707006104,0.0
2024-09-17,86.49579425648241,0.0,9.34628688832286,1.3125359504063339,1.164127511174504,0.8956881292049736,0.7855672644089066,0.0
2024-09-20,86.49684344207778,0.0,9.346400257876347,1.312282317939826,1.1635351367776623,0.8953620520647514,0.785576793263634,0.0
2024-09-24,86.49765381070327,0.0,9.34630578305745,1.3122690531928742,1.1628494989005769,0.8953530016105249,0.785568852535308,0.0
2024-09-25,86.49789052055175,0.0,9.34625854636422,1.3122624209199594,1.1626751534807052,0.8953484764520239,0.7855648822313442,0.0
2024-09-26,86.4967247639137,0.0,9.346132584183227,1.3122447351865982,1.1626594837774336,0.8966841379887359,0.785554294950307,0.0
2024-09-30,56.33102797003914,0.0,6.086672731809204,0.8545999294550424,0.7565241907615913,0.5839659177292581,0.5115925612398632,0.0
2024-10-04,86.49666647690664,0.0,9.346126286163301,1.3187129428848183,1.1596263134413067,0.893314215010191,0.7855537655937461,0.0
2024-10-07,86.50315086882497,0.0,9.346535675114225,1.3201184930786984,1.1596771086248283,0.8849296791030793,0.7855881752541918,0.0
2024-10-08,86.50629885347985,0.0,9.346875810133422,1.3197352268662017,1.1595440924595797,0.8819292530270972,0.7856167640338595,0.0
2024-10-09,86.51312027297008,0.0,9.347612854275516,1.3271181801016392,1.149525963894353,0.8729001896500279,0.7897225391083763,0.0
2024-10-10,86.50728993310561,0.0,9.346982894800119,1.3283765932407752,1.149448494407281,0.8782327667542734,0.7896693176919356,0.0
2024-10-15,86.50146037903113,0.0,9.346353020228156,1.335025877534746,1.1493710353612379,0.8781735843962579,0.7896161034484656,0.0
2024-10-17,86.48863812526534,0.0,9.344967594945333,1.3351648745550626,1.149874442406454,0.891855905473273,0.7894990573545427,0.0
2024-10-18,86.48881294861556,0.0,9.344986484346046,1.3349654389135752,1.149876766699063,0.8918577082214799,0.7895006532042774,0.0
2024-10-23,86.48898777267254,0.0,9.345005373823124,1.3347660024658299,1.1498790910010683,0.891859510976975,0.7895022490604636,0.0
2024-10-24,86.4864820287221,0.0,9.34473463194852,1.3347273318567494,1.1498457769035142,0.8947308548308555,0.7894793757382594,0.0
2024-10-28,86.49464079807203,0.0,9.345616174736595,1.33822237923289,1.1499542484965506,0.8820125475745424,0.789553851887388,0.0
2024-10-29,86.49475736307218,0.0,9.345628769409982,1.338089417120829,1.1499557982390074,0.8820137362238248,0.7895549159341776,0.0
2024-10-31,56.33278338740414,0.0,6.086672731809204,0.8714782674195617,0.7489495648315964,0.5768564774009894,0.5142256872873702,0.0
2024-11-01,86.49126054973021,0.0,9.345250943974474,1.3380353207909568,1.150246208099337,0.8856839816270199,0.7895229957779921,0.0
2024-11-05,86.49126054973021,0.0,9.345250943974474,1.3390460217422528,1.150246208099337,0.8846732806757238,0.7895229957779921,0.0
2024-11-07,86.48863812526534,0.0,9.344967594945333,1.339005421720647,1.1502113325086982,0.8876784682054442,0.7894990573545427,0.0
2024-11-11,86.49592303035368,0.0,9.345754718010959,1.3259783849815434,1.1503082143716863,0.8924700957223132,0.7895655565598122,0.0
2024-11-12,86.49738015863898,0.0,9.34591215853613,1.3260007226888337,1.1503275927027943,0.8908005096880788,0.7895788577451774,0.0
2024-11-14,86.49411625945933,0.0,9.345559499126429,1.3260180695578196,1.1502841861478295,0.8944729219962687,0.7895490637123254,0.0
2024-11-18,86.49120227190328,0.0,9.345244647142705,1.3259733959971094,1.1536144339641863,0.894442787195468,0.7895224637972554,0.0
2024-11-19,86.49130717204831,0.0,9.345255981446,1.3259750041930636,1.153494548936455,0.8944438720130639,0.7895234213630978,0.0
2024-11-21,86.48518842239525,0.0,9.344594859725634,1.3258811992852393,1.1601504793027289,0.8947174720516338,0.7894675672395043,0.0
2024-11-26,86.47790532531016,0.0,9.34380793201205,1.3257695440796042,1.1654423533590903,0.897673760700761,0.7894010845383317,0.0
2024-11-27,86.47266225490417,0.0,9.343241426120592,1.325689163975165,1.1653716937346486,0.9036822373389973,0.7893532239264306,0.0
2024-11-28,86.46567248324976,0.0,9.34248619177973,1.3242348030765687,1.171339905867722,0.906977197222079,0.7892894188041405,0.0
2024-11-29,86.46450763116665,0.0,9.342360331259721,1.3242169631913916,1.1713241257588052,0.908312163003497,0.7892787856199269,0.0
2024-12-02,86.46072207864259,0.0,9.341951307988767,1.3241589868840633,1.1716096247048584,0.9123137720299468,0.7892442297497677,0.0
2024-12-05,86.45810150568228,0.0,9.341668159011917,1.326476250507413,1.1722476562276678,0.9122861203432059,0.7892203082275105,0.0
2024-12-06,86.45984853667147,0.0,9.341856923089315,1.3265030541854457,1.1726081214193935,0.9099471088864846,0.7892362557478905,0.0
2024-12-10,86.45373423707728,0.0,9.341196282191138,1.326409246051113,1.1728619506287172,0.9166178418057263,0.7891804422460177,0.0
2024-12-11,86.4560633920925,0.0,9.341447943896219,1.3264449809187266,1.1728935487698335,0.9139484307211247,0.7892017036015991,0.0
2024-12-12,85.84847801949923,0.0,9.275464859362975,1.3213365493186229,1.1646508306089378,0.9075254954633356,0.7836554481705673,0.6988887975763366
2024-12-19,85.84161175021516,0.0,9.274722996013402,1.3272227741255975,1.1652264199869902,0.9087903896660149,0.78359277042185,0.6988328995709848
2024-12-20,85.84936221761023,0.0,9.275560392198228,1.327342606414707,1.1663348259433297,0.8988404425925758,0.7836635194454803,0.6988959957954417
2024-12-27,85.84813353165912,0.0,9.275427639310516,1.3270560931649673,1.168016860902132,0.898827578284728,0.7836523035630104,0.6988859931155248
2024-12-30,85.84440175725872,0.0,9.275024441221133,1.3269984067162044,1.1703067525395476,0.9007947907663745,0.7836182385986956,0.6988556128993151
2025-01-08,85.84422952934972,0.0,9.27500583292481,1.326861992383733,1.1703044045764799,0.9011273635249408,0.7836166664410716,0.6988542107992544
2025-01-14,85.84424101118881,0.0,9.275007073475576,1.3265277898043135,1.1706255659549536,0.901127484052546,0.7836167712513836,0.6988543042724167
2025-01-16,85.84825984354615,0.0,9.275441286628402,1.3219083518751293,1.1706803692573926,0.9011696706948686,0.783653456582851,0.6988870214152091
2025-01-21,85.85113066847428,0.0,9.275751463772512,1.3219525574007414,1.1707195176151235,0.8978557375647521,0.783679662494098,0.6989103926784903
2025-01-22,85.85141776152739,0.0,9.275782482627905,1.321956978115912,1.1707234325949034,0.8975243320614772,0.7836822831816208,0.6989127298907892
2025-01-23,85.85159001828092,0.0,9.275801094040723,1.3219596305592065,1.1707257815953398,0.897526132901017,0.7834832103971243,0.698914132225672
2025-01-24,85.85647091356655,0.0,9.276328448441738,1.3220347875426384,1.165107069833424,0.8975771596912007,0.7835277535384589,0.6989538673859912
2025-02-10,85.86106520436712,0.0,9.276824836774502,1.315416619665914,1.1651694162196156,0.8989629725395026,0.7835696811219219,0.6989912693114231
2025-02-11,75.43470609231348,12.143291126468968,8.150312989552393,1.155681750013925,1.0236795018914886,0.7897992816648716,0.6884185335645425,0.6141107245303362
2025-02-13,75.43647934976761,12.14357658103787,8.150504580452804,1.1557089168365189,1.0237035657130558,0.7874671293033897,0.6884347163451147,0.6141251605436298
2025-02-17,75.4368783441841,12.14364081016539,8.150547689646752,1.155715029547622,1.0234739071537071,0.7874712943305815,0.6881445162317,0.6141284087401547
2025-02-19,75.43694041036156,12.14365080142407,8.15055439556235,1.1556337047756218,1.023474749223455,0.7874719422276601,0.6881450824070323,0.6141289140182579
2025-02-21,75.43702907650652,12.143665074679275,8.150563975460921,1.1555175262977686,1.0234759521826418,0.7874728677967646,0.6881458912305517,0.6141296358455619
2025-02-24,75.43701701789855,12.143663133514595,8.150562672593393,1.1555173415883093,1.0234757885800263,0.7874887269177313,0.6881457812304413,0.6141295376769488
2025-02-25,75.44012330084944,12.144163175208236,8.15089828970646,1.1526386070128836,1.023517932417606,0.7863297518844712,0.6881741171269609,0.6141548257939493
2025-02-26,75.44034498530844,12.14419886142037,8.15092224151617,1.1526419940973,1.0235209400746619,0.7860382077054239,0.6881761393599607,0.6141566305176738
2025-02-27,75.4381281993454,12.143842008736657,8.150682729753408,1.152608124148887,1.0264293264227569,0.7860151102704164,0.6881559175647644,0.6141385837577087
2025-02-28,56.33278338740414,9.068311180273385,6.086453304638579,0.8607003558819064,0.7664335217870423,0.5869501272497659,0.5138746038143692,0.45860278660745396
2025-03-03,75.42731215271424,12.142100868485924,8.149514114272284,1.167426875522242,1.026223399873075,0.785314806096516,0.6880572522522553,0.6140505307834572
2025-03-04,75.4106951751787,12.13942590882466,8.147718739505537,1.1892001377599979,1.0259973182231334,0.7851417976978498,0.6879056701319658,0.6139152526781595
2025-03-05,75.38855059092747,12.135861128800089,8.145326136657054,1.2182162352432226,1.0256960309322238,0.7849112383766833,0.6877036645008846,0.6137349745623768
2025-03-07,75.38611548062921,12.135469130808598,8.145063036127828,1.220232391175962,1.0268374745831337,0.7848858851178024,0.6876814511241525,0.6137151504333115
