date,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,VALUABLE CAPITAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,DBS BANK (HONG KONG) LTD
2024-03-01,0.0,63.89561474307237,27.454936776970673,0.0,0.0,7.741458165186979,0.0,0.0,0.0,0.9079903147699757
2024-03-04,0.0,59.652206667085196,25.626216334986502,0.0,0.0,7.225814552074832,0.0,0.0,6.648251616548434,0.8475108293050411
2024-03-06,0.0,59.652206667085196,25.626216334986502,0.0,0.0,7.2383702680645365,0.0,0.0,6.635695900558729,0.8475108293050411
2024-03-07,0.0,59.652206667085196,25.626216334986502,0.0,0.0,7.27603741603365,0.0,0.0,6.610584468579321,0.8349551133153369
2024-03-12,0.0,59.752652395002826,25.626216334986502,0.0,0.0,7.27603741603365,0.0,0.0,6.5478058886307995,0.7972879653462238
2024-03-13,0.0,43.236038315561174,18.443882161576,0.0,27.77878185432857,5.318091451292246,0.0,0.0,4.748780046990783,0.47442617025121997
2024-03-14,0.0,37.58636934673367,16.025439698492463,13.092807788944723,24.136306532663315,4.620760050251256,0.0,0.0,4.126099246231156,0.41221733668341703
2024-03-15,0.0,38.049660691170125,15.99654807201977,13.01926018907151,23.637861373710432,4.797395363433099,0.0,0.0,4.122700349115443,0.37657396147962185
2024-03-18,73.06475491289622,9.793344014277313,4.118923523089092,3.377679531120079,6.0090450019266255,1.236082662394289,0.0,1.2299985803808635,1.0728264617007037,0.09734531221480866
2024-03-20,72.25079966709784,9.684244302058579,4.073037932797882,3.3400515396725123,5.942103099399372,1.2223124667849872,1.1140189914668752,1.2162961626006477,1.0608749711718757,0.09626086694943296
2024-03-22,72.26166837154261,9.670658082114848,4.073650640832781,3.330525302364763,5.93296828930742,1.242553703592274,1.1141865736004974,1.2164791303126943,1.0610345588382775,0.09627534749383236
2024-03-25,72.24935075352698,9.666001544153774,4.072956252318737,3.3299575859060875,5.931956964233788,1.2623958448225727,1.1139966509911663,1.2162717710641626,1.0608536964434327,0.0962589365392907
2024-03-26,72.26384250483898,9.667940347604578,4.073773204561181,3.3105675401911525,5.93314679423534,1.2626490557711787,1.1142200960776645,1.2165157304610323,1.0610664821333655,0.09627824412552276
2024-03-27,72.26094368951512,9.667552524695381,4.073609787895502,3.3104347390061677,5.932908790051647,1.2666098380384094,1.1141753998896857,1.216466930752645,1.0610239181667753,0.09627438198866771
