date,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BNP PARIBAS,CMB INTERNATIONAL SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,43.10160202693636,0.0,56.89839797306364,0.0
2024-03-04,0.0,74.5715649619982,0.0,0.0,0.0,0.0,10.967672177595231,0.0,14.460762860406565,0.0
2024-03-05,0.0,74.56499456412419,0.0,0.0,0.0,0.0,10.978109360743277,0.0,14.45689607513254,0.0
2024-03-06,0.0,74.5690516345287,0.0,0.0,0.0,0.0,10.9755984254858,0.0,14.4553499399855,0.0
2024-03-07,0.0,74.57245091428594,0.0,0.0,0.0,0.0,10.974131349660897,0.0,14.453417736053165,0.0
2024-03-08,0.0,73.45341270435217,0.0,0.0,0.0,0.0,10.814291443446372,0.0,14.234232704364016,1.4980631478374413
2024-03-11,0.0,73.45559061032839,0.0,0.0,0.0,0.0,10.81418426423356,0.0,14.232359156669872,1.4978659687681783
2024-03-12,0.0,73.45811724842373,0.0,0.0,0.0,0.0,10.813934796068027,0.0,14.230298823772955,1.4976491317352838
2024-03-13,0.0,65.06602293371483,0.0,0.0,0.0,11.625321781493065,9.380014655899583,0.0,12.602325422158382,1.3263152067341384
2024-03-14,0.0,65.07009394123465,0.0,0.0,0.0,11.623967032438786,9.378921562200926,0.0,12.600856818641995,1.3261606454836392
2024-03-15,0.0,65.08891861949691,0.0,0.0,0.0,11.61692742415662,9.374406216835126,0.0,12.593225594656642,1.3265221448547042
2024-03-18,0.0,55.323298528401,0.0,0.0,15.265468140505464,9.648693817510175,7.944496632312662,0.0,10.69270334492344,1.1253395363472558
2024-03-19,0.0,55.3268954685861,0.0,0.0,15.263732339653519,9.647596686993479,7.945076425645786,0.0,10.691487502513311,1.1252115766078006
2024-03-20,0.0,55.332406244193024,0.0,0.0,15.262525058818058,9.646833612908498,7.942470643619054,0.0,10.690641862162895,1.1251225782984715
2024-03-21,0.0,51.42628888074169,0.0,7.076147644895539,14.18280669764449,8.964386682344685,7.411832849485736,0.0,9.89760303537518,1.040934209512678
