date,CNI SECURITIES GROUP LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,ADVENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,37.98806424721315,62.01193575278684,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,37.938865637760244,62.061134362239756,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,38.95311660732984,61.04688339267016,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,31.453899991653557,48.52338181532275,0.0,0.0,20.0227181930237,0.0,0.0
2024-03-13,0.0,31.702580941906998,48.37726870442287,0.0,0.0,19.920150353670138,0.0,0.0
2024-03-14,0.0,31.907483869401226,48.223591508802194,0.0,0.0,19.86892462179658,0.0,0.0
2024-03-15,0.0,31.85625813752767,48.223591508802194,0.0,0.0,19.920150353670138,0.0,0.0
2024-03-18,0.0,31.926000945989696,48.17423629856532,0.0,0.0,19.89976275544498,0.0,0.0
2024-03-19,0.0,32.011965973450856,48.149596559107486,0.0,0.0,19.838437467441654,0.0,0.0
2024-03-20,0.0,32.183632486093636,47.99820289146853,0.0,0.0,19.818164622437827,0.0,0.0
2024-03-21,0.0,32.183632486093636,47.947108028183315,0.0,0.0,19.86925948572305,0.0,0.0
2024-03-22,0.0,32.850824157645356,47.45178348824583,0.0,0.0,19.697392354108807,0.0,0.0
2024-03-25,0.0,32.92563787714883,47.41325851623846,0.0,0.0,19.661103606612713,0.0,0.0
2024-03-26,0.0,33.0615023041722,47.317219210045415,0.0,0.0,19.621278485782383,0.0,0.0
2024-03-27,0.0,33.14628032460391,47.272105298720064,0.0,0.0,19.581614376676033,0.0,0.0
2024-03-28,0.0,33.19681743554585,47.22156818777812,0.0,0.0,19.581614376676033,0.0,0.0
2024-04-02,0.0,33.29794530968406,47.15008331803116,0.0,0.0,19.551971372284786,0.0,0.0
2024-04-03,0.0,33.616386510846944,46.91025312353012,0.0,0.0,19.473360365622934,0.0,0.0
2024-04-05,0.0,33.81741740733569,46.70922222704138,0.0,0.0,19.473360365622934,0.0,0.0
2024-04-08,0.0,33.98527080334476,46.531577042172195,0.0,0.0,19.483152154483037,0.0,0.0
2024-04-09,0.0,34.08583679376716,46.4310110517498,0.0,0.0,19.483152154483037,0.0,0.0
2024-04-10,0.0,34.18640278418955,46.3304450613274,0.0,0.0,19.483152154483037,0.0,0.0
2024-04-11,0.0,34.15205742938607,46.38436415653465,0.0,0.0,19.46357841407928,0.0,0.0
2024-04-12,0.0,34.252522386229586,46.28389919969113,0.0,0.0,19.46357841407928,0.0,0.0
2024-04-15,0.0,34.235325133919076,46.31086858104599,0.0,0.0,19.45380628503494,0.0,0.0
2024-04-16,0.0,34.43615416620581,46.11003954875926,0.0,0.0,19.45380628503494,0.0,0.0
2024-04-17,0.0,34.53475907358333,46.0406922412446,0.0,0.0,19.424548685172066,0.0,0.0
2024-04-18,0.0,34.97606246616721,45.71554446982498,0.0,0.0,19.30839306400782,0.0,0.0
2024-04-19,0.0,35.00844903575601,45.69277486037935,0.0,0.0,19.29877610386464,0.0,0.0
2024-04-22,0.0,35.35407965181444,45.37593773130432,0.0,0.0,19.269982616881247,0.0,0.0
2024-04-23,0.0,35.45038671501376,45.30833836417828,0.0,0.0,19.241274920807953,0.0,0.0
2024-04-24,0.0,35.546407255775016,45.24094011143408,0.0,0.0,19.212652632790906,0.0,0.0
2024-04-25,0.0,35.673991147517505,45.151387070870285,0.0,0.0,19.17462178161221,0.0,0.0
2024-04-26,0.0,35.88212705465879,44.99057852278365,0.0,0.0,19.12729442255756,0.0,0.0
2024-04-29,0.0,35.980856217807194,44.891849359635245,0.0,0.0,19.12729442255756,0.0,0.0
2024-04-30,0.0,36.079585380955606,44.79312019648683,0.0,0.0,19.12729442255756,0.0,0.0
2024-05-03,0.0,36.26835055343343,44.660840374616114,0.0,0.0,19.070809071950457,0.0,0.0
2024-05-06,0.0,36.465225759998596,44.463965168050954,0.0,0.0,19.070809071950457,0.0,0.0
2024-05-07,0.0,36.50975437252816,44.4475543089231,0.0,0.0,19.042691318548737,0.0,0.0
2024-05-08,0.0,24.425612310251513,29.591498472915546,33.27688808661632,0.0,12.706001130216624,0.0,0.0
2024-05-09,0.0,24.52398896751698,29.49312181565008,33.27688808661632,0.0,12.706001130216624,0.0,0.0
2024-05-10,0.0,24.589573405693958,29.4275373774731,33.27688808661632,0.0,12.706001130216624,0.0,0.0
2024-05-13,0.0,22.91345217978743,27.31822249076046,30.926120558354864,0.0,11.808415550903408,0.0,7.033789220193838
