date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-05-22,100.0,0.0,0.0,0.0,0.0
2024-07-08,90.17506252232941,0.0,0.0,0.0,9.824937477670597
2024-10-03,90.01426533523538,0.0,0.0,0.0,9.985734664764621
2024-10-09,71.7453098351336,0.0,11.625923820352472,8.754974417282547,7.873791927231381
2024-10-22,71.54195011337869,0.0,11.819727891156463,8.928571428571429,7.709750566893423
2024-11-01,71.48116680826962,0.0,12.036250354007363,9.317473803455112,7.165109034267912
2024-11-04,60.86327465637811,16.01157463226429,10.248372317337836,8.07812876778394,4.798649626235833
2024-11-18,60.78998073217726,16.11271676300578,10.236030828516379,8.068400770712909,4.792870905587669
2024-11-20,60.68766530415965,16.085597499398894,10.218802596778072,8.223130560230825,4.784804039432556
2024-11-21,60.6293538313716,16.07014172471775,10.208983905837137,8.311313956281529,4.780206581791977
2024-12-06,60.55662188099809,16.050863723608444,10.196737044145873,8.421305182341651,4.77447216890595
2024-12-10,60.123868508813715,16.579323487374943,10.123868508813722,8.480228680323963,4.692710814673654
2024-12-11,59.92402659069326,16.73789173789174,10.090218423551757,8.570750237416904,4.677113010446344
2024-12-12,59.7396449704142,16.68639053254438,10.29585798816568,8.615384615384615,4.662721893491124
2024-12-13,59.45818610129564,16.607773851590103,10.459363957597173,8.8339222614841,4.64075382803298
2024-12-17,59.34634375734775,16.55302139666118,10.463202445332707,9.005407947331296,4.632024453327063
2024-12-20,58.86194029850746,16.394589552238806,10.377798507462686,9.025186567164178,5.340485074626866
2024-12-23,58.46652768126014,16.284456798702802,10.308084317813297,8.96455872133426,5.9763724808895065
2024-12-27,57.88990825688073,16.123853211009173,10.206422018348624,8.876146788990825,6.903669724770642
2024-12-30,58.06896551724138,16.160919540229884,10.229885057471265,8.89655172413793,6.64367816091954
2025-01-02,58.20276497695852,16.19815668202765,10.253456221198157,8.709677419354838,6.63594470046083
2025-01-10,58.04227941176471,16.153492647058822,10.363051470588236,8.823529411764707,6.61764705882353
2025-03-04,57.9696830500689,16.146072576940746,10.358291226458428,8.91134588883785,6.614607257694074
2025-03-24,58.103130755064456,16.183241252302025,10.151933701657459,8.931860036832411,6.629834254143646
