date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,ROCTEC SECURITIES CO LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,ORIENTAL PATRON SECURITIES LTD,CHONG HING SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73767086645782,45.26232913354218
2024-03-08,75.60977547148626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.356504152780913,11.033720375732823
2024-03-18,56.339020979521024,0.0,0.0,0.0,0.0,14.228394974167383,11.250952864718917,0.0,9.960088400196536,8.221542781396133
2024-03-19,56.359033845429295,0.0,0.0,0.0,0.0,14.221873110317873,11.245795769846714,0.0,9.95552299836498,8.217774276041133
2024-03-25,56.35140398486852,0.0,0.0,0.0,0.0,14.22435955638693,11.247761900782384,0.0,9.957263547646546,8.219211010315625
2024-03-27,56.34921472357506,0.0,0.0,0.0,0.0,14.223806937683598,11.247324923386506,0.0,9.960761722735937,8.2188916926189
2024-04-02,56.34702563238132,0.0,0.0,0.0,0.0,14.223254361917254,11.246887979942596,0.0,9.960374760541747,8.222457265217086
2024-04-03,56.34702563238132,0.0,0.0,0.0,0.0,14.223254361917254,11.24300311445781,0.0,9.960374760541747,8.226342130701871
2024-04-05,56.3416303979164,0.0,0.0,0.0,0.0,14.222480827968981,11.242391661947137,0.0,9.959833063977886,8.2336640481896
2024-04-08,56.3416303979164,0.0,0.0,0.0,0.0,14.222480827968981,11.240837800264833,0.0,9.959833063977886,8.235217909871904
2024-04-09,56.337691053843486,0.0,0.0,0.0,0.0,14.221486407943221,11.240051853400137,0.0,9.959136683538224,8.241634001274932
2024-04-10,56.338199851253194,0.0,0.0,0.0,0.0,14.22132068479158,11.239920872941111,0.0,9.959020629599031,8.24153796141509
2024-04-11,56.33798101553042,0.0,0.0,0.0,0.0,14.21582739346013,11.239877213466464,0.0,9.958981945553688,8.247332431989305
2024-04-12,56.33688686241691,0.0,0.0,0.0,0.0,14.215551304549537,11.239658921180748,0.0,9.958788529834726,8.249114382018082
2024-04-15,56.33688686241691,0.0,0.0,0.0,0.0,14.215551304549537,11.235774674376794,0.0,9.958788529834726,8.252998628822036
2024-04-16,56.34345241866634,0.0,0.0,0.0,0.0,14.217207998891462,11.225430004183433,0.0,9.959949136852796,8.25396044140597
2024-04-17,56.34126372988838,0.0,0.0,0.0,0.0,14.216655724540756,11.224993946902183,0.0,9.959562237790545,8.257524360878136
2024-04-18,56.34126372988838,0.0,0.0,0.0,0.0,14.216655724540756,11.224993946902183,0.0,9.967331334940267,8.249755263728412
2024-04-19,49.64880431285552,0.0,0.0,0.0,11.888702647684202,12.527939760721434,9.891640531078274,0.0,8.786791658335778,7.256121089324795
2024-04-22,49.648634359370824,0.0,0.0,0.0,11.888661951307492,12.527896876163632,9.89160667087155,0.0,8.786761580151978,7.25643856213452
2024-04-24,49.64353629582065,0.0,0.0,0.0,11.887441189549666,12.526610475938355,9.890590972452609,0.0,8.785859330381893,7.2659617358568225
2024-04-25,49.6418371739554,0.0,0.0,0.0,11.887034324673508,12.526181734568475,9.890252452664628,0.0,8.785558621632935,7.2691356925050545
2024-04-29,49.64013816839598,0.0,0.0,0.0,11.886627487647473,12.525753022546176,9.88991395604851,0.0,8.785257933467658,7.272309431894206
2024-04-30,15.843075296716696,0.0,0.0,0.0,3.793718979426978,3.997701368418416,3.1564507526589116,0.0,2.803890320950397,2.3221121762665944
2024-05-02,49.63504184943326,0.0,0.0,0.0,11.88540714364153,12.524467062534653,9.888898605207567,0.0,8.784355992452774,7.2818293467302135
2024-05-06,49.62974887992458,0.0,0.0,0.0,11.88504108930016,12.524081326018758,9.888594040608133,0.0,8.784085446260429,7.288449217887946
2024-05-08,49.63144730318469,0.0,0.0,0.0,11.885447817738024,12.524509923614268,9.888932446876701,0.0,8.784386054169545,7.285276454416767
2024-05-10,49.62799965418478,0.0,0.0,0.0,11.886261358133536,12.525367206815801,9.889609328903983,0.0,8.78498733171621,7.28577512024569
2024-05-13,49.587618244029734,0.0,0.0,0.0,11.891104227162723,12.5304704694059,9.893638693671143,0.0,8.797126177120543,7.300042188609954
2024-05-14,49.57403729033476,0.0,0.0,0.0,11.892692244629037,12.538992419695377,9.894959956251203,0.0,8.798301004096723,7.301017084992903
2024-05-16,49.55721589475798,0.0,0.0,0.0,11.893490161116333,12.54019476938392,9.89590877268105,0.0,8.79914466314985,7.314045738910874
