date,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-03-08,0.0,0.0,0.0,0.0,0.5187369104601036,0.0,0.0,0.5187369104601036
2024-03-21,3.9507262526306173,0.0,0.0,0.0,0.5187369104601036,0.0,0.0,4.469463163090721
2024-03-25,3.9507262526306173,0.0,0.0,0.0,0.5187369104601036,1.0012744301842438,0.0,5.470737593274965
2024-04-11,3.9507262526306173,0.0,0.0,0.0,0.5223069229095939,1.0012744301842438,0.0,5.474307605724455
2024-04-18,3.9507262526306173,0.0,0.0,0.0,0.5151668980106134,1.0012744301842438,0.0,5.467167580825475
2024-04-22,3.950606478712937,0.0,0.0,0.0,0.5151668980106134,1.0012744301842438,0.0,5.467047806907794
2024-04-24,3.849435181904344,0.0,0.0,0.0,0.5151668980106134,1.0012744301842438,0.0,5.365876510099201
2024-04-26,3.849435181904344,0.0,0.0,0.0,0.5258769353590841,1.0012744301842438,0.0,5.376586547447672
2024-04-29,3.849435181904344,0.0,0.0,0.0,0.5259112074785991,1.0012744301842438,0.0,5.376620819567187
2024-05-03,3.849435181904344,0.0,0.0,0.0,0.5152011701301284,1.0012744301842438,0.0,5.365910782218716
2024-05-08,3.849435181904344,0.0,0.0,0.0,0.5330512323775796,1.0012744301842438,0.0,5.383760844466167
2024-05-10,3.849435181904344,0.0,0.0,0.0,0.5152011701301284,1.0012744301842438,0.0,5.365910782218716
2024-05-13,3.856575206803324,0.0,0.0,0.0,0.5152011701301284,1.0012744301842438,0.0,5.373050807117696
2024-05-14,3.8564980945344147,0.0,0.0,0.0,0.5152011701301284,1.0012744301842438,0.0,5.372973694848788
2024-05-16,3.850072072125333,0.0,0.0,0.0,0.5152011701301284,1.0012744301842438,0.0,5.366547672439705
