date,CMB INTERNATIONAL SECURITIES LTD,QUAM SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,USMART SECURITIES LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,FUTU SECURITIES INTERNATIONAL,FULBRIGHT SECURITIES LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,HUAAN SECURITIES (HONG KONG) BROKERAGE,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,0.0,0.0,0.0,1.9730813747869982,0.0,0.0,0.0,2.3307639134488634,4.303845288235862
2024-03-08,0.0,0.0,0.0,0.0,0.0,1.9895588849950165,0.0,0.0,0.0,2.3388017233064335,4.32836060830145
2024-03-11,0.0,0.0,8.846882401483244,0.0,0.0,1.995587242388194,0.0,0.0,0.0,2.34241873774234,13.184888381613776
2024-03-12,0.0,0.0,8.846882401483244,0.0,0.0,1.9994052020705397,0.0,0.0,0.0,2.3474423689033213,13.193729972457104
2024-03-14,0.0,9.566467328982199,8.846882401483244,0.0,0.0,1.9992042568241004,0.0,0.0,0.0,2.357690576471723,22.770244563761267
2024-03-15,0.0,9.566467328982199,8.846681456236805,0.0,0.0,1.9992042568241004,0.0,0.0,0.0,2.3743690319261805,22.786722073969283
2024-03-18,0.0,9.566467328982199,8.846681456236805,0.0,0.0,1.9801144584123718,0.0,0.0,0.0,2.404711764138508,22.79797500776988
2024-03-26,0.0,9.566467328982199,8.846681456236805,0.0,0.0,1.061593736938559,0.0,0.0,0.0,2.404711764138508,21.87945428629607
2024-04-11,0.0,9.566467328982199,8.846681456236805,0.0,0.0,1.0613927916921198,0.0,0.0,0.0,2.404711764138508,21.879253341049633
2024-04-12,26.26012764042054,9.645438810832824,8.846681456236805,5.027449120663602,4.979892079006312,4.978619425778864,4.670168472494614,0.9993007105423914,2.8138362858888213,2.742299778156448,70.96381378002123
2024-04-16,26.520753625052247,9.613086626156104,8.846681456236805,5.067437224705013,4.979892079006312,4.248571949115306,4.631586985178279,1.016582001736167,3.510312510047262,2.8705028453846895,71.30540730261818
2024-04-17,26.265553162074397,9.613086626156104,8.846681456236805,5.062212648297592,4.979892079006312,3.71928216999432,4.638620068803653,1.0993714432691382,3.5772272771115325,2.7499356975211393,70.551862628471
