date,SILVERBRICKS SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,CMB WING LUNG BANK LTD,ELSTONE SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA CITIC BANK INTERNATIONAL LTD,YUANTA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,97.75429322263538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.245706777364616
2024-03-04,95.21589075921173,0.0,0.0,0.0,0.0,0.0,2.6092421086004616,0.0,0.0,2.1748671321878086
2024-03-05,93.1092209527321,0.0,0.0,2.211855002826732,0.0,0.0,2.5516525934603553,0.0,0.0,2.1272714509808086
2024-03-06,90.24947454412928,0.0,0.0,2.1439203306647228,0.0,3.084627786974385,2.460042669470835,0.0,0.0,2.0619346687607747
2024-03-07,90.24819443029607,0.0,0.0,2.1438899209356195,0.0,3.084584034091386,2.4600077758089336,0.0,0.0,2.0633238388679964
2024-03-08,87.90715437759658,0.0,0.0,2.0772749249839033,0.0,2.9905722279231917,2.3835703587445414,0.0,2.626181905078665,2.015246205673119
2024-03-11,87.90654495685713,0.0,0.0,2.07737960956025,0.0,2.9920973513668825,2.3836904791244664,0.0,2.626314251903265,2.0139733511879983
2024-03-12,87.91321067046626,0.0,0.0,2.077493822950514,0.0,2.992261855524393,2.376490927056351,0.0,2.626458645471599,2.0140840785308884
2024-03-13,87.91125217294102,0.0,0.0,2.0774367146855752,0.0,2.992179601184609,2.3787163511484444,0.0,2.626386446702813,2.0140287133375505
2024-03-14,87.88480275226492,0.0,0.0,2.0997670242897457,0.0,2.9913573064384282,2.384933010966911,0.0,2.625664677269017,2.013475228770989
2024-03-15,87.86977333021,0.0,0.0,2.0992766491348327,0.0,2.9906587111725833,2.3999452312441445,0.0,2.625051485087231,2.0152945931512076
2024-03-18,87.8283486548965,0.0,0.0,2.1033216987354075,0.0,3.0029798636469094,2.4043062374237487,0.0,2.623813950252103,2.0372295950453276
2024-03-19,87.80624467508184,0.0,0.0,2.105080282302504,0.0,3.002224096206141,2.424292525788772,0.0,2.623153608443541,2.039004812177193
2024-03-21,87.79981651535535,0.0,0.0,2.1049261726222435,0.0,3.010240259473468,2.4231999413545346,0.0,2.622961571414231,2.038855539780175
2024-03-25,87.79873392791207,0.0,0.0,2.1049550664685066,0.0,3.010281580361774,2.4241483223524365,0.0,2.622997576215437,2.0388835266897805
2024-03-26,87.79686958847753,0.0,0.0,2.1051188132485583,0.0,3.0114309429590387,2.424336899528489,0.0,2.6232016220946246,2.0390421336917606
2024-03-27,87.79480312596627,0.0,0.0,2.105475291378565,0.0,3.0146869281607267,2.4242897614190633,0.0,2.623645831705498,2.0370990613698794
2024-03-28,87.9989268074944,0.0,0.0,2.0666203998078956,0.0,2.9590532504857423,2.3782037206727678,0.0,2.575228510102066,2.0219673114371224
2024-04-02,87.98158832878701,0.0,0.0,2.0664347404656853,0.0,2.967771135174503,2.3874229731273626,0.0,2.5749971588431357,2.0217856636023064
2024-04-03,87.98153434353581,0.0,0.0,2.0664440226405345,0.0,2.96778446604339,2.387433697142518,0.0,2.5750087254188405,2.021794745218904
2024-04-05,87.94860311874861,0.0,0.0,2.062720802535476,0.0,2.974335239611079,2.417826426280042,0.0,2.5748468028143097,2.0216676100104904
2024-04-08,87.93951837547685,0.0,0.0,2.062507731625105,0.0,2.9740280025305825,2.4189240141391903,0.0,2.5745808313112026,2.0304410449170587
2024-04-09,87.9177923698918,0.0,0.0,2.0622298791904163,0.0,2.9736273538888023,2.4194962523033627,0.0,2.574233994525423,2.052620150200199
2024-04-10,87.89141545267324,0.0,0.0,2.0613690121938233,0.0,2.9723860288188084,2.4256680911713744,0.0,2.573159394108778,2.076002021033976
2024-04-11,87.85085378997114,0.0,0.0,2.0608558289549963,0.0,2.970999107271299,2.4702991671150363,0.0,2.571958752545312,2.0750333541422163
2024-04-12,87.85026262107056,0.0,0.0,2.0172870791423674,0.0,2.9711632525990668,2.4921170035387097,0.0,2.571324250713636,2.0978457929356633
2024-04-15,87.88462636178011,0.0,0.0,1.9782006319988443,0.0,2.972416519907527,2.492719469819794,0.0,2.572408861806632,2.0996281546870956
2024-04-16,87.81249792040468,0.0,0.0,1.9950208945512828,0.0,2.97140315813907,2.548390902987327,0.0,2.571531871392961,2.101155252524668
2024-04-17,87.80783752822849,0.0,0.0,1.995343121119308,0.0,2.971883085464383,2.5514944304100164,0.0,2.5719472133534134,2.1014946214243917
2024-04-18,87.79090080629906,0.0,0.0,1.9949582514704536,0.0,2.9713098569367014,2.5702906824044836,0.0,2.5714511260336947,2.101089276855602
2024-04-19,87.79297937273374,0.0,0.0,1.9945365246776,0.0,2.9713498424488174,2.568530977938093,0.0,2.571485730566748,2.1011175516350034
2024-04-22,87.79416083634773,0.0,0.0,1.9945633659164723,0.0,2.971389829037134,2.569462702404092,0.0,2.571520336031174,2.098902930263398
2024-04-23,87.79312260521074,0.0,0.0,1.994366546939412,0.0,2.9710966190461194,2.571451829255948,0.0,2.5712665842523754,2.098695815295409
2024-04-24,89.96264850774108,0.0,0.0,1.6396671806772272,0.0,2.4426851846001156,2.1155925277854566,0.0,2.1139651772843027,1.7254414219118268
