date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,5.381027559423286,0.0,0.0,0.0,0.0,1.4913249538758089,0.0,6.872352513299094
2024-03-04,7.3301086694014,5.381027559423286,0.0,3.659721612432206,0.0,0.0,1.505380657829446,0.0,17.876238499086337
2024-03-05,7.333356836281443,5.382208711016029,0.0,3.7187791920693374,5.352687923499504,0.0,1.5083335368113024,0.0,23.295366199677616
2024-03-06,7.339262594245157,5.382208711016029,0.0,3.7187791920693374,5.352687923499504,0.0,1.5177236919736063,0.0,23.31066211280363
2024-03-07,7.339262594245157,5.400221272805354,0.0,3.723917201497767,5.352687923499504,0.0,1.4870728081419353,1.813543698951791,25.116705499141506
2024-03-08,7.339262594245157,5.400221272805354,0.0,3.723917201497767,5.352687923499504,2.6155844312538488,1.4884311324735893,1.813543698951791,27.73364825472701
2024-03-11,7.339262594245157,5.400221272805354,0.0,3.723917201497767,5.352687923499504,2.6159978343113086,1.4933329115834713,1.813543698951791,27.738963436894355
2024-03-12,7.339262594245157,5.40482776401705,0.0,3.6943884116792023,5.352687923499504,2.6159978343113086,1.5057350033072687,1.813543698951791,27.726443230011284
2024-03-13,7.339262594245157,5.406008915609792,0.0,3.6943884116792023,5.352687923499504,2.6159978343113086,1.5057350033072687,1.813543698951791,27.72762438160402
2024-03-14,7.338672018448785,5.406304203507979,0.0,3.6656273703959195,5.351447714327125,2.6149938554574774,1.5264051561802645,1.813543698951791,27.716994017269343
2024-03-15,7.338672018448785,5.40689477930435,0.0,3.6656273703959195,5.351447714327125,2.615289143355663,1.532488086882889,1.813543698951791,27.72396281166652
2024-03-19,7.338672018448785,5.407780642998906,0.0,3.652752818035025,5.351447714327125,2.615289143355663,1.5411695510895473,1.813543698951791,27.720655587206842
2024-03-20,7.338672018448785,5.418883467970687,0.0,3.652752818035025,5.351447714327125,2.615289143355663,1.5281768835693785,1.813543698951791,27.71876574465845
2024-03-21,7.347530655394355,5.433765978039244,0.0,3.652752818035025,5.351447714327125,2.6149938554574774,1.5262279834413532,1.813543698951791,27.74026270364637
2024-03-22,7.347530655394355,5.438549641989852,0.0,3.6498589966328057,5.351447714327125,2.6155844312538488,1.5261098682820788,1.813543698951791,27.742625006831855
