date,THE HONGKONG AND SHANGHAI BANKING,CHIYU BANKING CORPORATION LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING
2024-03-01,16.56529175592639,0.0,49.881610272545025,0.0,0.0,0.0,14.136569099534599,0.0,19.41652887199399
2024-03-04,16.563068157089702,0.0,49.81068851660794,0.0,0.0,0.0,14.147645171574194,0.0,19.47859815472816
2024-03-05,16.56669601933233,0.0,49.79514553482381,0.0,0.0,0.0,14.122813021141534,0.0,19.515345424702325
2024-03-06,14.558143591725178,0.0,43.71386757804496,0.0,12.150358476861763,0.0,12.389618258401473,0.0,17.188012094966624
2024-03-07,12.386188546944565,0.0,37.18683904572331,0.0,10.32177316396618,0.0,10.524369752986475,14.955054464973871,14.625775025405598
2024-03-08,12.373540091395594,0.0,37.17219452177884,0.0,10.313966925041814,0.0,10.51139922435757,14.982550078613983,14.646349158812203
2024-03-11,12.376655243992596,0.0,37.16397652550958,0.0,10.31168672225041,0.0,10.513151669651949,14.979237749540223,14.65529208905524
2024-03-12,12.389671815923444,0.0,37.15367857837224,0.0,10.312023001135588,0.0,10.48817269969281,14.979726243955046,14.676727660920871
2024-03-13,12.38900636585397,0.0,37.151970784395196,0.0,10.31146914171748,0.0,10.489095997113306,14.978921681895791,14.67953602902426
2024-03-14,10.445343381955976,0.0,31.366687608238585,0.0,8.70577319376274,15.584371314922127,8.883150356852445,12.646412752392713,12.368261391875416
2024-03-15,10.451269703339209,0.0,31.366611410285405,0.0,8.705752045144614,15.584333456375807,8.885760479596497,12.646382030922254,12.359890874336214
2024-03-18,10.406897555243322,0.0,31.34808090715436,0.0,8.708782623327153,15.575126674803794,8.895927735549249,12.639194154263572,12.425990349658553
2024-03-19,10.243260552991648,0.0,31.34611822503746,0.0,8.72466329514169,15.589041946345178,8.92189809835461,12.650486378230225,12.524531503899183
2024-03-20,8.359503465140508,0.0,25.556038323905454,18.47576702740381,7.1130922155368665,12.709521177507488,7.283701560260199,10.31375918310246,10.188617047143214
2024-03-21,8.358728459469225,0.0,25.55144868222068,18.47680667035404,7.108513455856665,12.707238658305938,7.261397137258051,10.311906921868792,10.223960014666613
2024-03-22,8.34557005538586,0.0,25.553903013770768,18.476910366979656,7.109213616447346,12.70730997462121,7.258895866879085,10.31196479496183,10.236232310954241
2024-03-25,8.346804543878674,0.0,25.55768298314466,18.46782299206048,7.110265221352012,12.709189657834488,7.260365831056792,10.31349015533784,10.234378615335055
2024-03-26,8.343019577384778,0.0,25.554692049327404,18.47131009420857,7.1090657594544835,12.707045688760413,7.259933350474928,10.311750327344543,10.243183153044878
2024-03-27,8.442332528816351,0.0,25.526605872141555,18.451056660812363,7.101270806679935,12.693112659527115,7.2332753530761185,10.307038973894175,10.245307145052392
2024-03-28,8.411383281858363,0.0,25.521336265986882,18.447247701555224,7.101783025730491,12.690492346238006,7.2369913421430025,10.304911231714687,10.285854804773347
2024-04-02,8.443282181269025,0.0,25.492090716298797,18.432790142657716,7.093681567291397,12.676015489377951,7.270855653343782,10.293221623890917,10.298062625870415
2024-04-03,8.437596644720923,0.0,25.489460297802996,18.429090187559314,7.093092672325008,12.671433585044278,7.292785893235804,10.275674575518547,10.310866143793133
2024-04-05,8.430609346335077,0.0,25.514848781751116,18.442611023386394,7.100932187042454,12.680730211814971,7.346169072320374,10.217325040313565,10.266774337036045
