date,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,USMART SECURITIES LTD,LONG BRIDGE HK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD
2024-03-01,91.38527172852243,0.0,0.0,0.0,5.858405599085408,2.756322672392159,0.0,0.0,0.0,0.0
2024-03-04,90.36104716083761,0.0,0.0,0.0,5.791367402362867,2.722673320558596,1.1249121162409188,0.0,0.0,0.0
2024-03-05,90.34370562364717,0.0,0.0,0.0,5.782195690237548,2.7325493223774004,1.1415493637378848,0.0,0.0,0.0
2024-03-06,90.34094825803427,0.0,0.0,0.0,5.782195690237548,2.735306687990294,1.1415493637378848,0.0,0.0,0.0
2024-03-07,90.34343935696461,0.0,0.0,0.0,5.77684024761826,2.7367608332988653,1.1429595621182667,0.0,0.0,0.0
2024-03-08,90.33956957522783,0.0,0.0,0.0,5.7766809590117605,2.736685370796741,1.1470640949636717,0.0,0.0,0.0
2024-03-11,90.3355667686878,0.0,0.0,0.0,5.776601318002592,2.7366476411062397,1.1511842722033805,0.0,0.0,0.0
2024-03-12,90.31724366133102,0.0,0.0,0.0,5.782355130909543,2.7367608332988653,1.1636403744605754,0.0,0.0,0.0
2024-03-13,90.32222482661629,0.0,0.0,0.0,5.773022460600879,2.7369117707888098,1.167840941994016,0.0,0.0,0.0
2024-03-14,90.31172877803974,0.0,0.0,0.0,5.772704085149798,2.74779059988143,1.1677765369290372,0.0,0.0,0.0
2024-03-15,90.31172877803974,0.0,0.0,0.0,5.760295597744413,2.7519267623498918,1.1760488618659608,0.0,0.0,0.0
2024-03-18,90.31048364859649,0.0,0.0,0.0,5.760216180444493,2.7532675233000607,1.1760326476589642,0.0,0.0,0.0
2024-03-19,90.30803596050963,0.0,0.0,0.0,5.760851580166566,2.7549500854889417,1.1761623738348685,0.0,0.0,0.0
2024-03-20,90.30158445605858,0.0,0.0,0.0,5.761407669925673,2.755216018312947,1.1817918557028007,0.0,0.0,0.0
2024-03-21,90.29660374236428,0.0,0.0,0.0,5.761089891203927,2.755064050412984,1.1872423160188084,0.0,0.0,0.0
2024-03-22,90.29260086594412,0.0,0.0,0.0,5.761010452000772,2.759162736824688,1.1872259452304128,0.0,0.0,0.0
2024-03-25,90.28748707342295,0.0,0.0,0.0,5.760772147535333,2.7645639434677696,1.18717683557394,0.0,0.0,0.0
2024-03-26,90.28361851448426,0.0,0.0,0.0,5.760613288844155,2.7644877080259764,1.1912804886456079,0.0,0.0,0.0
2024-03-27,90.27948212389869,0.0,0.0,0.0,5.760613288844155,2.7644877080259764,1.1954168792311828,0.0,0.0,0.0
2024-03-28,90.27810332703683,0.0,0.0,0.0,5.760613288844155,2.765866504887835,1.1954168792311828,0.0,0.0,0.0
2024-04-02,90.27299048669516,0.0,0.0,0.0,5.760375017234248,2.7712670619054185,1.195367434165173,0.0,0.0,0.0
2024-04-03,90.27036715335511,0.0,0.0,0.0,5.7575381560987715,2.7726075746922008,1.1994871158539109,0.0,0.0,0.0
2024-04-05,90.25785990071704,0.0,0.0,0.0,5.758411472697187,2.7730281301709874,1.2107004964147823,0.0,0.0,0.0
2024-04-08,90.25661532521615,0.0,0.0,0.0,5.7569531583955,2.7729898925828382,1.2134416238055183,0.0,0.0,0.0
2024-04-09,90.25537078403795,0.0,0.0,0.0,5.7568737762334194,2.772951656049199,1.2148037836794352,0.0,0.0,0.0
2024-04-10,90.25150295074734,0.0,0.0,0.0,5.756715018476642,2.772875186145276,1.218906844630743,0.0,0.0,0.0
2024-04-11,86.98350677139402,0.0,0.0,0.0,5.548688914583416,2.672673869994551,1.1775181744481213,1.9430378905678933,1.6745743790120011,0.0
2024-04-12,86.97819066225429,0.0,0.0,0.0,5.548688914583416,2.672673869994551,1.182834283587842,1.9430378905678933,1.6745743790120011,0.0
2024-04-15,86.95322880680308,0.0,0.0,0.0,5.547435556736646,2.6720701567897955,1.1931969173531758,1.9598724422003722,1.674196120116928,0.0
2024-04-16,86.94924262556471,0.0,0.0,0.0,5.547435556736646,2.6720701567897955,1.1931969173531758,1.9638586234387456,1.674196120116928,0.0
2024-04-17,86.93595535477013,0.0,0.0,0.0,5.547435556736646,2.6694127026308796,1.202498006909381,1.970502258836035,1.674196120116928,0.0
2024-04-18,86.93196917353175,0.0,0.0,0.0,5.547435556736646,2.6694127026308796,1.202498006909381,1.9744884400744087,1.674196120116928,0.0
2024-04-19,86.93196917353175,0.0,0.0,0.0,5.547435556736646,2.664097794313048,1.202498006909381,1.9798033483922401,1.674196120116928,0.0
2024-04-22,86.92284184371721,0.0,0.0,0.0,5.547361847437584,2.664062396194576,1.202482029205033,1.9890780085303146,1.6741738749152948,0.0
2024-04-23,86.92284184371721,0.0,0.0,0.0,5.546033138013048,2.664062396194576,1.202482029205033,1.9904067179548506,1.6741738749152948,0.0
2024-04-24,86.92168690707129,0.0,0.0,0.0,5.544630756557094,2.664026999016768,1.2024660519252746,1.9930376551247642,1.6741516303048019,0.0
2024-04-25,86.92168690707129,0.0,0.0,0.0,5.54330206478701,2.664026999016768,1.2024660519252746,1.9943663468948474,1.6741516303048019,0.0
2024-04-26,86.92168690707129,0.0,0.0,0.0,5.541973373016928,2.664026999016768,1.2024660519252746,1.9956950386649304,1.6741516303048019,0.0
2024-04-29,86.92168690707129,0.0,0.0,0.0,5.539315989476761,2.6626983072466848,1.2024660519252746,1.99968111397518,1.6741516303048019,0.0
