date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,36.99887423126764,12.054282365780503,8.514735508046122,17.794864005914903,10.291420160939685,4.618763474497328,5.014593865161275,1.4052494064936183,1.3342608234164306,1.9729561584824922
2024-03-04,37.333480269756116,12.088528092969963,8.298376898367005,17.58076697352913,10.337312571455955,4.601850647181145,4.97094040341794,1.4144693123076126,1.4147867385135524,1.9594880925015836
2024-03-05,37.60209807447264,12.042694645277193,8.07397825106512,17.515455810421578,10.41141416085243,4.605168688482853,4.960752300905026,1.4052121796562673,1.4190848298213092,1.9641410590455792
2024-03-06,39.19144715547799,12.098217793844853,7.845115338540943,17.663010060252525,8.901245440662658,4.576368990699349,4.983939535342217,1.3752713378985095,1.4005530774260302,1.9648312698549264
2024-03-07,39.59022375257252,12.050714427553274,7.740138524951526,18.055842691907944,8.166821665690994,4.606501312167626,5.008075607524778,1.3868187541010784,1.4137681617041997,1.9810951018260587
2024-03-08,39.894065543756454,12.006282653016811,7.2340192277585675,18.188844062004797,8.202380377376665,4.622598342255134,5.022730063294137,1.4055565628062257,1.4365150511049254,1.9870081166262816
2024-03-11,39.88571149230058,11.9516031245602,7.276203736031088,18.11064310281581,8.328184768779344,4.611832843106977,5.021399037154259,1.407702334491057,1.4235142711765199,1.9832052895841605
2024-03-12,40.05636007773156,11.927298287329286,7.281722645051253,17.891423834673493,8.363296872480491,4.620657591579704,5.040866506345053,1.4102965296614303,1.4385228917288015,1.969554763418925
2024-03-13,40.15595949397164,11.946382361073924,7.463578310182176,18.183332690445468,7.659742400364662,4.655548335224536,5.131334423852294,1.4054958365372394,1.4256925471537611,1.972933601194296
2024-03-14,40.066589932436614,11.996280469529918,7.511143556338743,18.33975947971456,7.433774208733604,4.6696177072000244,5.125605033728804,1.4312458209578887,1.4292651114575827,1.9967186799022631
2024-03-15,39.85816974376457,11.965513867672591,7.455268947234514,18.605333958934803,7.505298125507351,4.682192356297883,5.128814005551608,1.4338676026413353,1.371081429740173,1.99445996265517
2024-03-18,39.691324534298175,11.988110766963361,7.534501562198323,18.69430694064656,7.521175412316803,4.71257683491537,5.075153703109716,1.4717124406961717,1.2756732738930152,2.0354645309625092
2024-03-19,39.879286097425464,11.914865427856142,7.522640313248437,18.202022954815966,8.021529100531154,4.663580449866867,5.057717421200449,1.4602904210140382,1.2638021631820948,2.0142656508593864
2024-03-20,39.77280480526575,11.961024959502081,7.44614411355974,18.325204425302523,8.03322126089246,4.666521469457342,5.046132189454728,1.463569367550622,1.2664257925462217,2.0189516164685357
2024-03-21,39.812424910049124,11.98522960829731,7.4657099416112525,18.24766332320184,8.058888218742991,4.666085535338213,5.022297423055099,1.4639988180775432,1.2640421737726402,2.01366004785399
2024-03-22,39.7144975525963,12.00112522367494,7.459098077893992,18.648766085127576,7.773874788936058,4.66326740249312,4.994036919164454,1.466127287434895,1.2613531461884193,2.0178535164902436
2024-03-25,39.899287543546954,12.018864220005968,7.44778948030998,18.47262281489189,7.60609716303516,4.674571688708446,5.14499675817674,1.4737652918304753,1.239320174939689,2.022684864554698
2024-03-26,40.138711051726084,12.027451687218008,7.533994912657242,18.428378920731866,7.216530169556358,4.679381888205334,5.159651988142089,1.484996487428083,1.3061341693708195,2.0247687249641175
2024-03-27,39.902311902769725,12.028612774727232,7.551183779523253,18.640798347429936,7.225216660952337,4.68329581751166,5.183452835540983,1.4971365868730508,1.2540752765720353,2.0339160180997866
