date,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,18.082581869957284,50.18984337921215,31.727574750830566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,18.247483718176436,50.08880994671403,31.66370633510953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,12.386961938828826,34.00184880028937,21.49431292954463,19.002451669948957,0.0,0.0,13.114424661388208,0.0,0.0,0.0
2024-03-14,12.384658589424697,34.100938778785206,21.45550830458156,18.968145711305464,0.0,0.0,13.090748615903072,0.0,0.0,0.0
2024-03-15,11.721343110768043,32.89463527595523,20.640679274411426,18.247780779621767,0.0,0.0,12.593593207255886,0.0,0.0,3.9019683519876494
2024-03-18,11.806252412196065,32.89463527595523,20.640679274411426,18.247780779621767,0.0,0.0,12.508683905827866,0.0,0.0,3.9019683519876494
2024-03-21,11.547664994210729,32.93708992666924,20.640679274411426,18.247780779621767,0.0,0.0,12.72481667309919,0.0,0.0,3.9019683519876494
2024-03-25,11.57155534977042,32.92819384959679,20.63510437164795,18.242852181965503,0.0,0.0,12.72137978932747,0.0,0.0,3.900914457691863
2024-03-27,11.39134728605614,33.97272761803472,20.31374634405743,17.958749572682038,0.0,0.0,12.523265089072055,0.0,0.0,3.8401640900976184
2024-04-03,11.360960230941618,34.13225965738596,20.31374634405743,17.958749572682038,0.0,0.0,12.523265089072055,0.0,0.0,3.7110191058609034
2024-04-08,11.293572053065724,34.158208841753144,20.329189949443112,17.972402782529365,0.0,0.0,12.532785950507469,0.0,0.0,3.713840422701182
2024-04-09,11.294001368509084,33.977039458678625,20.329962746141565,17.97308598798753,0.0,0.0,12.71192883752756,0.0,0.0,3.7139816011556297
2024-04-10,11.206568843609823,33.996046529308906,20.329962746141565,18.04151144225652,0.0,0.0,12.71192883752756,0.0,0.0,3.7139816011556297
2024-04-11,10.907987559736023,34.71516346810286,20.283698702874915,17.704619585830237,0.0,0.0,12.68300083440795,0.0,0.0,3.705529849048016
2024-04-12,10.82333282697858,34.75998784748595,20.30988910830928,17.69709858727024,0.0,0.0,12.69937718365487,0.0,0.0,3.7103144463010787
2024-04-15,10.82333282697858,34.78277381133222,20.30988910830928,17.674312623423972,0.0,0.0,12.69937718365487,0.0,0.0,3.7103144463010787
2024-04-16,10.82333282697858,34.820750417742666,20.271912501898832,17.674312623423972,0.0,0.0,12.69937718365487,0.0,0.0,3.7103144463010787
2024-04-17,10.82333282697858,34.83594106030685,20.271912501898832,17.65912198085979,0.0,0.0,12.69937718365487,0.0,0.0,3.7103144463010787
2024-04-19,10.982834573902476,34.83594106030685,20.271912501898832,17.499620233935893,0.0,0.0,12.69937718365487,0.0,0.0,3.7103144463010787
