date,EMPEROR SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,VALUABLE CAPITAL LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,67.30809890156745,0.0,32.691901098432545,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,67.1306204329312,0.0,32.869379567068805,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,56.823403375017065,0.0,27.822624039235937,0.0,8.707714313216899,0.0,0.0,6.646258272530094
2024-03-07,0.0,56.823403375017065,0.0,27.81022430365286,0.0,8.707714313216899,0.0,0.0,6.658658008113171
2024-03-14,0.0,56.80931496533255,0.0,27.803329225038464,0.0,8.705555381520206,0.0,0.0,6.6818004281087795
2024-03-15,0.0,56.802273379904214,0.0,27.799882967711653,0.0,8.704476317075272,0.0,0.0,6.69336733530886
2024-03-18,0.0,56.80931496533255,0.0,27.79093256376182,0.0,8.705555381520206,0.0,0.0,6.694197089385419
2024-03-19,0.0,56.8416774652477,0.0,27.758594419009814,0.0,8.716301808729474,0.0,0.0,6.683426307013014
2024-03-21,0.0,56.82902885842945,0.0,27.75788959318272,0.0,8.723859899901248,0.0,0.0,6.689221648486581
2024-03-22,0.0,56.79523353988611,0.0,27.784043976120483,0.0,8.728184697088489,0.0,0.0,6.692537786904912
2024-03-25,0.0,56.80931496533255,0.0,27.766139241208542,0.0,8.730348704073485,0.0,0.0,6.694197089385419
2024-03-26,0.0,56.72050559733265,0.0,27.746147236829966,0.0,8.834998218301202,0.0,0.0,6.698348947536187
2024-03-28,0.0,38.68866657709499,31.931088785526274,18.892600329746394,0.0,5.928716615041102,0.0,0.0,4.558927692591236
2024-04-05,0.0,38.69193312756565,31.9253416106134,18.89419546439328,0.0,5.929217186752734,0.0,0.0,4.559312610674939
2024-04-08,0.0,38.68866657709499,31.92264632683629,18.892600329746394,0.0,5.937159073731086,0.0,0.0,4.558927692591236
