date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,23.154581115336754,9.5951696763022,46.03980265675685,7.134725305761894,0.0,8.958869002626816,1.8360479436231623,1.2324363286378226,2.0483679709545104,0.0
2024-03-04,22.80465994406361,9.422430491140913,45.575952372078724,7.086840956959055,0.0,8.746566470601886,1.6711863603486632,1.226185210072366,2.181589171837418,1.2845890228973602
2024-03-05,22.670977343683855,9.371819428465027,46.57735194743084,7.048953730601518,0.0,7.991666444764324,1.6282188867727907,1.1936417418103518,2.242593206940276,1.2747772695310127
2024-03-06,19.503629263224553,8.066428560365994,40.05058453982752,5.990830111661752,14.509847367281276,6.642781718092667,1.3554343808446307,0.9830754189588065,1.8376617858838682,1.0597268538589386
2024-03-07,20.40490646479694,7.778843899231116,39.94341287673538,5.945945199658058,14.395901554220588,6.4924784729414595,1.3356870843262318,0.971714100119986,1.6797055277570492,1.0514048202131894
2024-03-08,20.461364422348456,7.807859395725838,40.31046824858521,6.000869961240255,14.534073456891553,5.793591765475497,1.3301261259376806,1.0027913306437624,1.7224796317335433,1.0363756614182098
2024-03-11,20.563896427002376,7.950377083190683,40.360666868199516,5.976504486347623,14.470628006192293,5.566048995064251,1.3133393499156305,1.0148844392264413,1.7579029803854043,1.0257513644757852
2024-03-12,20.451965033635723,8.329542679640797,40.57622245249634,5.804586611479292,14.177373522665562,5.812316736013665,1.317503324449607,0.9695144423935568,1.554218217315663,1.0067569799097924
2024-03-13,20.782749589704387,10.054044508414753,40.25005165314298,5.759430318018203,14.085210079039426,4.597316022145122,1.2697494912299387,0.7262960510819264,1.464252042316124,1.0109002449071358
2024-03-14,20.16128944769002,11.303317724922673,39.780468657959695,5.673578093922592,13.873105273768141,4.675837392702344,1.3857250463407422,0.6978140079331541,1.4564035217785545,0.9924608329820852
2024-03-15,20.338588702988314,11.88053961658626,39.82935325278327,5.6667986817971885,13.860814488197553,3.858389671006236,1.4011503333690514,0.70070167075622,1.4735427996711934,0.9901207828447086
2024-03-18,20.22286516322596,12.055782235294336,39.95166029232112,5.686342117628309,13.90861712840556,3.5967189031891382,1.4136048509133474,0.678199216398074,1.4923814547788488,0.9938286378453058
2024-03-19,20.274496654882228,11.847500341231278,39.73872211133305,5.68034572838857,13.853951938271628,3.9727009487505636,1.427029760769702,0.6718835255804843,1.5434464085202817,0.9899225822722176
