date,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,45.712158028984234,30.82252486951795,0.0,0.0,1.9189643615892829,21.546352739908535,0.0,0.0
2024-03-04,0.0,0.0,33.12360844464566,22.32391691670068,0.0047837731214567985,27.010067721144328,1.3905004874754587,15.611417018083323,0.0,0.5357056388290897
2024-03-05,0.0,0.0,33.1237358895015,22.322207284195482,0.004783791527279849,27.008119615287946,1.3937121320898158,15.610194566009891,0.0,0.5372467213880775
2024-03-06,0.0,0.0,33.123056194936,22.319953747405076,0.004783693364526879,27.006795917427308,1.398813499380554,15.60859175541709,0.0,0.5380051920694439
2024-03-07,0.0,0.0,33.12543204815295,22.338830792000966,0.004784110584051761,26.96939066535527,1.4421592334337268,15.607003102663736,0.0,0.5124000478092973
2024-03-08,27.269016135001838,0.0,24.070285423204922,16.215030229455767,0.0034763426772453855,19.586413453718304,1.142346707640662,11.339794770149068,0.0,0.37363693815219173
2024-03-11,27.26345050881676,0.0,24.06527947978974,16.198982394621005,0.003475633153156324,19.55583555181693,1.2028672486352543,11.336548504587963,0.0,0.3735606785791878
2024-03-12,27.262205758714348,0.0,24.064180746557597,16.173644275505286,0.003475474468373489,19.52950558464861,1.2583453805732967,11.335099156376744,0.0,0.37354362315574574
2024-03-13,27.259894381478173,0.0,24.062140508138256,16.126527357596498,0.0034751798065019513,19.509216138647815,1.3320280346798496,11.333206446723512,0.0,0.37351195292939204
2024-03-14,27.244991016218993,0.0,24.05113934577248,15.824499558134997,0.003473671661391165,19.416655086674638,1.7585346375884552,11.327356826294434,0.0,0.3733498576546161
2024-03-15,27.23319336697848,0.0,24.04520565267319,15.554469977900132,0.0034725591920942273,19.35542024847105,2.1122097305692713,11.322798174641905,0.0,0.3732302895738808
2024-03-18,27.21885201057324,0.0,24.032543132363678,15.430711839101846,0.0034707304969301667,19.34522296424,2.2802606315756213,11.315904950034925,0.0,0.3730337416137544
2024-03-19,27.09642602935501,0.0,23.924356021078356,15.823318012708809,0.0034551197141364743,19.20430030609656,2.312707075143307,11.264081539550657,0.0,0.3713558963531669
2024-03-20,27.082693603618196,0.0,23.92185940408452,14.834286257143594,0.0034547859089919435,19.00858792348446,3.5158235474376727,11.262067080916676,0.0,0.3712273974058904
