date,ASTRUM CAPITAL MANAGEMENT LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-14,0.0,0.0,0.0,40.01635705105737,59.98364294894263,0.0
2024-04-22,0.0,0.0,0.0,40.29538318409117,59.70461681590883,0.0
2024-04-25,0.0,0.0,0.0,40.57182544275958,59.42817455724042,0.0
2024-05-09,48.648871539709155,0.0,19.592049921653793,9.717678753058252,14.129807295818786,7.911592489760014
2024-05-10,48.63550169016407,0.0,19.58666556737296,9.769972792480832,14.09844175117487,7.909418198807266
2024-05-21,48.55543666145362,0.0,19.55442148873707,9.918511811671744,14.075232529426291,7.89639750871128
2024-05-30,48.52880686648203,0.0,19.543697041160502,9.91307209257685,14.122357199659966,7.8920668001206575
2024-08-12,48.55543666145362,0.0,19.55442148873707,9.863637610777293,14.13010673032074,7.89639750871128
2024-08-16,48.51550291964799,0.0,19.538339227458398,9.910354469939962,14.14590015626285,7.889903226690792
2024-09-03,48.290446694135944,0.0,19.447703768384862,10.328266979561764,14.080279422599396,7.853303135318034
2024-10-03,48.21891633683636,0.0,19.454073972976662,10.331650061416678,14.139484099904461,7.855875528865838
2024-10-04,47.89209705842483,0.0,19.32221770367358,10.207401382675885,13.989426596177307,8.588857259048394
2024-10-08,47.9180794791808,0.0,18.980062389800622,10.51132510511325,13.997016139970162,8.59351688593517
2024-10-09,48.009240385922006,0.0,16.026634053539883,12.161978529691535,14.404130996059248,9.398016034787334
2024-11-18,41.143589146384066,14.300687085128683,13.73471526726447,10.422732036799813,12.344241294980785,8.05403516944218
2025-01-17,41.12443254568735,14.294028634617623,13.728320335234548,10.464439529740426,12.33849377255267,8.050285182167384
2025-01-20,41.10146815886828,14.272086367761,13.720654273017056,10.458596058540218,12.401405337490402,8.045789804323041
2025-02-04,41.082350752343075,14.265448033675202,13.714272424940116,10.453731482127491,12.442149817437615,8.042047489476499
2025-02-12,41.06325112159743,14.258815872056532,13.707896510844044,10.448871428903509,12.482856412282944,8.038308654315534
2025-02-17,40.656862068171876,15.084351768740362,13.572234113558423,10.345462496259984,12.382333310317845,7.958756242951506
2025-02-18,40.61946699165306,15.070477592034766,13.559750741566834,10.335947021085792,12.462921658350387,7.951435995309159
2025-02-19,40.57281977078022,14.134454167527963,13.54417878224121,11.380601299983923,12.425641378993546,7.94230460047314
2025-02-20,40.57281977078022,14.134454167527963,13.54417878224121,11.816991662647283,11.989251016330186,7.94230460047314
2025-02-24,40.554190867558944,14.127964370164605,13.537960008264651,11.811565922082693,12.02966091967217,7.9386579122569385
2025-02-28,40.507693366048294,14.226421151597146,13.522438028847256,11.798023343805179,12.015868284069803,7.929555825632324
2025-03-04,40.53062441239194,14.226421151597146,13.522438028847256,11.752161251117888,12.038799330413447,7.929555825632324
2025-03-05,40.557739948635195,14.100320461828678,13.402577331302984,12.148003363712812,11.932089365667402,7.859269528852929
2025-03-07,40.539312569572225,14.093913991685408,13.396487880233535,12.142483927394988,11.972102955541924,7.8556986755719125
2025-03-10,40.539312569572225,14.093913991685408,13.396487880233535,12.142483927394988,12.04025534428315,7.787546286830686
2025-03-11,40.48504923090884,14.075048777167748,13.378556195834657,12.126230772721085,12.157992649394256,7.777122373973411
2025-03-12,40.45751337625828,14.065475650675616,13.369456787884285,12.18599800489707,12.149723406184819,7.771832774099936
2025-03-13,40.43917693981145,14.059100797679477,13.363397389412619,12.271120377084845,12.09889412617839,7.768310369833213
2025-03-14,40.43917693981145,14.059100797679477,13.363397389412619,12.42974981870921,12.09889412617839,7.609680928208847
2025-03-17,40.43917693981145,14.036439448875997,13.363397389412619,12.452411167512691,12.09889412617839,7.609680928208847
2025-03-18,40.30218167035548,13.988888387009348,13.31812638330548,12.726410406974118,12.080491440444465,7.583901711911108
2025-03-24,40.32950641836919,13.998372807810522,13.327156029651057,12.712438980292895,12.04348219128548,7.589043572590852
2025-03-26,40.30218167035548,13.988888387009348,13.31812638330548,12.771579565472695,12.035322281945888,7.583901711911108
2025-03-31,40.30946464874633,13.973345380618929,13.32053309238762,12.819064829455613,11.992319855432573,7.585272193358934
2025-04-01,40.31401784705749,13.963628148650177,13.322037727324071,12.82051282051282,11.993674460634814,7.586128995820626
2025-04-03,40.30491247882552,13.960474308300395,13.319028797289667,12.862789384528513,11.968379446640316,7.584415584415584
2025-04-11,40.29581122276166,13.957321892288585,13.316021226148807,12.859884836852206,11.988257875127019,7.5827029468217235
2025-04-23,40.60757765388554,14.065308908863352,13.41904653544203,12.959381044487428,11.307315963135737,7.641369894185915
2025-04-24,40.59833921055625,14.062108975088158,13.415993629848707,13.047434876578318,11.236491866681833,7.6396314412467285
2025-04-28,40.58910496986239,14.058910496986238,13.412942113044469,13.067212555441829,11.233936085522576,7.6378937791425
