date,CITIBANK N.A.,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,FUBON SECURITIES (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,VALUABLE CAPITAL LTD,HANG SENG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-08,0.0,68.2039745031871,0.0,0.0,0.0,31.796025496812895,0.0,0.0,0.0,0.0
2024-03-12,0.0,68.08430560782838,0.0,0.0,0.0,31.915694392171623,0.0,0.0,0.0,0.0
2024-03-14,0.0,67.90310370931113,0.0,0.0,0.0,32.09689629068887,0.0,0.0,0.0,0.0
2024-03-15,0.0,48.355663824604136,0.0,0.0,0.0,51.64433617539586,0.0,0.0,0.0,0.0
2024-03-18,0.0,48.292682926829265,0.0,0.0,0.0,51.707317073170735,0.0,0.0,0.0,0.0
2024-03-20,0.0,48.16625916870416,0.0,0.0,0.0,51.83374083129584,0.0,0.0,0.0,0.0
2024-03-21,0.0,48.10281517747858,0.0,0.0,0.0,51.897184822521425,0.0,0.0,0.0,0.0
2024-03-22,0.0,38.73456790123457,0.0,0.0,0.0,43.62139917695473,17.644032921810698,0.0,0.0,0.0
2024-03-25,0.0,38.89173935351462,0.0,0.0,0.0,43.50949204720369,17.598768599281684,0.0,0.0,0.0
2024-03-26,0.0,38.38592860838075,0.0,0.0,0.0,43.869632695292296,17.744438696326952,0.0,0.0,0.0
2024-04-03,0.0,29.39469320066335,10.364842454394694,0.0,0.0,35.1575456053068,14.344941956882257,10.737976782752902,0.0,0.0
2024-04-05,0.0,27.321724709784412,12.437810945273633,0.0,0.0,35.1575456053068,14.344941956882257,10.737976782752902,0.0,0.0
2024-04-08,0.0,25.24875621890547,14.510779436152571,0.0,0.0,35.1575456053068,14.344941956882257,10.737976782752902,0.0,0.0
2024-04-09,0.0,20.642605633802816,15.404929577464788,0.0,0.0,37.32394366197183,15.228873239436618,11.399647887323944,0.0,0.0
2024-04-12,0.0,6.944444444444445,16.835016835016837,0.0,0.0,35.69023569023569,14.73063973063973,12.878787878787879,12.920875420875422,0.0
2024-04-15,0.0,6.7340067340067336,16.835016835016837,0.0,0.0,35.69023569023569,14.941077441077441,12.878787878787879,12.920875420875422,0.0
2024-04-17,0.0,6.523569023569023,16.835016835016837,0.0,0.0,35.69023569023569,15.151515151515152,12.878787878787879,12.920875420875422,0.0
2024-04-19,0.0,7.591131153701617,15.03194287861706,0.0,0.0,31.86771890266817,13.528748590755354,9.733183013904547,11.537016159338595,10.710259301014656
2024-04-22,0.0,7.5009283327144445,15.558856294095804,0.0,0.0,31.48904567396955,13.850724099517267,9.617526921648718,11.399925733382844,10.58299294467137
2024-04-23,0.0,17.523440025864858,13.546718396378921,0.0,0.0,29.25961849337213,12.156482379566762,8.373747171031361,9.925638538635628,9.21435499515034
2024-04-24,0.0,9.201575366988902,15.001790189760115,0.0,0.0,32.40243465807375,13.462226996061583,9.273182957393484,10.991765127103474,9.66702470461869
2024-04-25,0.0,4.352720450281426,15.722326454033771,0.0,0.0,33.95872420262664,14.221388367729832,10.093808630393998,11.519699812382738,10.131332082551594
2024-04-26,0.0,4.2568807339449535,15.376146788990825,0.0,0.0,33.211009174311926,14.38532110091743,11.596330275229358,11.266055045871559,9.908256880733946
2024-04-29,0.0,26.649674313225713,11.328235627301048,0.0,0.0,25.63013310676862,11.101670914755028,8.949306145567828,8.694420843953555,7.646559048428207
2024-04-30,0.0,29.140580535002847,11.383039271485487,0.0,0.0,25.754126351735913,11.155378486055776,8.992601024473535,5.890722822993739,7.6835515082527035
2024-05-02,0.0,32.179341657207715,11.350737797956867,0.0,0.0,25.68104426787741,11.12372304199773,8.967082860385926,3.036322360953462,7.661748013620885
2024-05-06,0.0,31.353987378083765,11.474469305794607,0.0,0.0,25.960986804360296,11.331038439472174,9.06483075157774,3.0694205393000575,7.74526678141136
2024-05-07,0.0,31.267928858290304,11.474469305794607,0.0,0.0,25.960986804360296,11.417096959265633,9.06483075157774,3.0694205393000575,7.74526678141136
2024-05-08,0.0,28.313253012048197,11.474469305794607,0.0,0.0,25.960986804360296,11.503155479059094,11.933448078026391,3.0694205393000575,7.74526678141136
2024-05-09,0.0,26.878944348823868,11.474469305794607,0.0,0.0,27.395295467584624,11.503155479059094,11.933448078026391,3.0694205393000575,7.74526678141136
2024-05-10,0.0,26.764199655765918,11.474469305794607,0.0,0.0,27.395295467584624,11.61790017211704,11.933448078026391,3.0694205393000575,7.74526678141136
