date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,BNP PARIBAS,EFG BANK AG,DBS BANK LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,73.84455296781523,0.0,0.0,21.427332653666554,3.933909159131172,0.0,0.7942052193870357,0.0,0.0,0.0
2024-03-04,24.817161589607437,0.0,66.354355165723,7.266689690561039,1.283981579431891,0.0,0.27781197467662144,0.0,0.0,0.0
2024-03-05,24.659902703293763,0.0,66.01473795551331,7.1508261342395745,1.2759433975031111,0.0,0.2219408565509633,0.0,0.6766489528992783,0.0
2024-03-06,24.666875957369648,0.0,66.00862782880742,7.150164275159539,1.2758252999983761,0.0,0.22192031436906973,0.0,0.6765863242959443,0.0
2024-03-07,24.68293807470518,0.0,65.99455382963617,7.14863975617781,1.2755532754948309,0.0,0.2218729977314839,0.0,0.676442066254524,0.0
2024-03-08,24.66981167818262,0.0,66.00605548224652,7.149885634304728,1.2757755812732534,0.0,0.22191166616691438,0.0,0.6765599578259585,0.0
2024-03-11,24.653585644972303,0.0,66.00130431370638,7.149370979831847,1.297332110200978,0.0,0.2218956927881194,0.0,0.676511258500364,0.0
2024-03-12,24.617612805776,0.0,65.90499968925889,7.2848523169126915,1.2954391312219151,0.0,0.22157191765090536,0.0,0.6755241391795894,0.0
2024-03-13,24.59707231716834,0.0,65.86157639059533,7.274651861733009,1.2945855959732884,0.0,0.2268265613903388,0.0,0.7452872731396847,0.0
2024-03-14,24.397740250049683,0.0,66.03568533528848,7.29388283110952,1.3034228183195047,0.0,0.22201128142204182,0.0,0.747257483810775,0.0
2024-03-15,25.413903525012678,0.0,65.16210698200545,7.181363080420046,1.2861799903927895,0.0,0.21907432016162343,0.0,0.7373721020074154,0.0
2024-03-18,25.44305480715467,0.0,65.13798850847871,7.177527929074916,1.285493115928291,0.0,0.21895732521731515,0.0,0.7369783141460852,0.0
2024-03-19,25.442144262893617,0.0,65.10613971080805,7.206045391680593,1.290202393794901,0.0,0.21885026745104025,0.0,0.736617973371794,0.0
2024-03-20,25.44000623206547,0.0,65.08005109439978,7.23517189936068,1.2896853980785177,0.0,0.21876257217830963,0.0,0.7363228039172374,0.0
2024-03-21,25.412719761949422,0.0,64.99688794911583,7.279214910560511,1.2880373616629435,0.0,0.2184830244018894,0.0,0.8046569923093976,0.0
2024-03-22,24.22150776041955,4.692967911682094,61.940960582664985,6.942049880177274,1.2274783295813085,0.0,0.20821071330451224,0.0,0.7668248221702767,0.0
2024-03-25,24.242398086892063,4.691988606650183,61.928035053336515,6.9355239976238465,1.2272221855531917,0.0,0.20816726493600124,0.0,0.7666648050081998,0.0
2024-03-26,23.754196779857445,4.5965371281342176,60.668201962725135,6.829248882102195,1.207230150163892,0.0,0.20393241381368535,0.0,2.74065268320343,0.0
2024-03-27,23.86978491257881,4.559267043280816,60.601887045566336,6.821783998370325,1.2059105566237884,0.0,0.2037095003155013,0.0,2.7376569432644198,0.0
2024-03-28,23.873629280695592,4.558739293448318,60.59487218211708,6.820994354919238,1.210738917871353,0.0,0.20368592028527951,0.0,2.7373400506631467,0.0
2024-04-02,24.02924047097853,4.551797072679049,60.502596016910935,6.765963631457366,1.2138555427081612,0.0,0.2033757396552434,0.0,2.73317152561071,0.0
2024-04-03,25.007834381181816,4.493164502418865,59.723250484752334,6.6788099574984825,1.1982196368764322,0.0,0.20075601778404528,0.0,2.697965019488023,0.0
2024-04-05,24.894011607045353,4.473694987441302,59.46446122404405,6.601117022106429,1.6805546888406995,0.0,0.19988611366791995,0.0,2.6862743568542413,0.0
