date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,ZHESHANG INTERNATIONAL FINANCIAL,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,86.03898910418282,0.0,8.264871031325054,0.0,5.696139864492129
2024-03-06,0.0,79.62828359396785,0.0,7.649061212853399,7.450930766344048,5.271724426834696
2024-03-07,0.0,79.66437551596502,0.0,7.63161746504499,7.44430480362128,5.259702215368719
2024-03-08,0.0,79.67718274602576,0.0,7.622925392618657,7.446180212574648,5.253711648780924
2024-03-11,0.0,79.73370170905453,0.0,7.605600512067596,7.418926418382202,5.241771360495671
2024-03-12,0.0,79.85744811262775,0.0,7.617404375304967,7.275240942239668,5.249906569827621
2024-03-13,0.0,79.98367882712675,0.0,7.61661631132389,7.1503414245354735,5.249363437013887
2024-03-15,0.0,80.0830994744961,0.0,7.615725423690892,7.159229382475939,5.141945719337078
2024-03-18,0.0,80.10593191358483,0.0,7.618882210228175,7.131108774201625,5.144077101985373
2024-03-19,0.0,80.27563610659409,0.0,7.648885266929634,6.990944684587019,5.084533941889252
2024-03-20,0.0,80.00449076395294,0.0,7.795260287825649,7.103465755585919,5.096783192635487
2024-03-21,0.0,80.20025745943877,0.0,7.718940533775655,7.033919038818095,5.0468829679674805
2024-03-22,0.0,80.21045258489305,0.0,7.706770631656264,7.043850875323156,5.038925908127542
2024-03-26,0.0,80.193391288574,0.0,7.697062305033018,7.0769681036223915,5.032578302770573
2024-03-27,0.0,80.20782615004532,0.0,7.687378407065988,7.078548773261234,5.026246669627464
2024-03-28,0.0,80.1486148548815,0.0,7.661673409284791,7.180271791808796,5.009439944024915
2024-04-02,0.0,80.09003263244374,0.0,7.656073339255872,7.248115583923603,5.005778444376782
2024-04-03,0.0,80.06495217313787,0.0,7.653675814501337,7.277161144103553,5.004210868257235
2024-04-08,0.0,80.09839627768335,0.0,7.656872847999138,7.23842968630234,5.00630118801517
2024-04-09,0.0,80.14024071954239,0.0,7.660872897757928,7.1899698379642105,5.008916544735477
2024-04-10,0.0,80.12979245995078,0.0,7.660872897757928,7.200418097555818,5.008916544735477
2024-04-11,0.0,80.16664694521715,0.0,7.664396400298874,7.157736334394389,5.011220320089579
2024-04-12,0.0,79.84947168910807,0.0,7.634072606254605,7.525062022545097,4.991393682092237
