date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,CIS SECURITIES ASSET MANAGEMENT LTD,SUNCORP SECURITIES LTD,KINGSTON SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-04-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,91.06225862581165,0.0,0.0,0.0,0.0,0.0,8.937741374188345
2024-09-26,91.13961687125685,0.0,0.0,0.0,0.0,0.0,8.86038312874315
2024-09-30,91.28696022122953,0.0,0.0,0.0,0.0,0.0,8.713039778770474
2024-10-03,91.30249776605251,0.0,0.0,0.0,0.0,0.0,8.697502233947493
2024-10-07,63.35853067973779,0.0,30.605917439319676,0.0,0.0,0.0,6.035551880942538
2024-10-14,63.349177762687845,0.0,30.616161317941604,0.0,0.0,0.0,6.034660919370554
2024-10-15,63.33048021014728,0.0,30.66615507216434,0.0,0.0,0.0,6.00336471768838
2024-10-21,55.26024363233666,0.0,26.75835071724742,0.0,0.0,12.743052872852765,5.238352777563161
2024-10-24,41.70529708002667,24.558447086537956,20.19471672002037,0.0,0.0,9.617272216617978,3.924266896797029
2024-10-31,41.632469329111295,24.61257569495781,20.15945175604541,0.0,0.0,9.60047808362971,3.9950251362557747
2024-11-01,41.628430800033364,24.619888600247165,20.157496202281152,0.0,0.0,9.599546795850543,3.9946376015877667
2024-11-11,41.624393054388925,24.627200086907433,20.155541027874396,0.0,0.0,9.598615688731714,3.9942501420975343
2024-11-12,41.592119265503754,24.685640959039798,20.13991327625409,0.0,0.0,9.591173329249782,3.9911531699525673
2024-11-14,41.58405863668165,24.70023701963794,20.136010124207594,0.0,0.0,9.589314542307909,3.9903796771649116
2024-11-15,41.403516896579006,24.959623032527336,20.048587433259815,0.0,0.0,9.547681484097167,4.040591153536675
2024-11-18,41.36041990743686,25.039660280542268,20.027718825477418,0.0,0.0,9.537743286666242,4.034457699877212
2024-11-19,41.23325025317988,25.27013860998,19.966140193435194,0.0,0.0,9.50841787075239,4.022053072652537
2024-11-28,41.189716104436094,25.349038548291425,19.945059902367106,0.0,0.0,9.498378863995423,4.017806580909948
2024-12-05,34.15735273750718,21.021170649860473,16.539818937535518,17.073104726185605,0.0,7.876710693255607,3.331842255655615
2024-12-10,31.63951274825966,19.471637684300863,15.320619725703398,15.81459543389499,7.371297209700798,7.29609493770745,3.0862422604328406
2024-12-12,31.674774988541255,19.46159367211921,15.312716924015616,15.80643782580053,7.367494889620218,7.292331409049978,3.084650290853194
2024-12-18,31.50529705894856,19.892519617515255,15.230785242996259,15.72186445920451,7.328074632313599,7.253313318801298,3.0681456702205163
2024-12-20,31.498371001332217,19.910130275925848,15.227436939505012,15.718408197900988,7.326463643944712,7.251718765800848,3.0674711755903745
2024-12-23,31.493755321128745,19.92186641384131,15.225205554928703,15.716104867816203,7.325390045148083,7.250656119902524,3.0670216772344343
2024-12-30,31.43617324707352,17.8888675985964,17.37677918179943,15.687370094680045,7.311996559748768,7.237399275382457,3.0614140427193783
2025-01-02,31.43387434348221,17.894872323652482,17.375508431070568,15.68622288916093,7.311461838966479,7.236870009843196,3.061190163824133
2025-01-03,31.41090378693434,17.954871306200772,17.362811138506416,15.67476005559607,7.306118929410234,7.231581608866142,3.0589531744860214
2025-02-07,31.456985077722326,17.942808402745218,17.351146008141015,15.664229035127308,7.3012103446714605,7.2267231017072175,3.0568980298854505
2025-02-27,31.461580149025465,17.945429394038104,17.35368057249617,15.666517183503487,7.302276867164002,7.227778743494195,3.042737090278579
2025-03-06,31.46203972999148,17.94569153528268,17.353934069658226,15.66674603510812,7.302383536550629,7.227884324635428,3.0413207687734363
2025-03-14,31.463878188131726,17.946740176851012,17.35494813237092,15.667661508390415,7.302810245262815,7.228306680048091,3.035655068945015
2025-03-18,35.629659001881095,16.85589663447356,16.300075051692367,14.715345532777832,6.858928887492437,6.788953817826081,2.8511410738566276
2025-03-20,35.632103471413224,16.857053079045695,16.30119336261511,14.716355119027527,6.859399462938798,6.789419592442723,2.8444759125169288
2025-03-21,35.63357031414022,16.85774702195949,16.30186442282755,14.716960937274873,6.859681839201592,6.789699087891475,2.8404763767048005
2025-04-23,35.650692407066984,16.865847246228384,16.30969754297427,14.724032504073993,6.862977947586563,6.792961569245512,2.7937907828242956
