date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANTEC SECURITIES CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,DBS BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,19.279198721102905,18.251685955546165,25.362034671503174,0.008442753836146837,9.565988174801996,7.80013436850096,7.269618378765398,5.37858963795686,2.1939458613401848,4.890361476646207
2024-03-04,19.232613102318926,18.31320571273147,25.299993737908245,0.00103582693873773,9.549621492596298,7.798437672438596,7.360615821725702,5.367255663291118,2.191380674065845,4.885840295985062
2024-03-05,19.2544521861816,18.289125076931345,25.244737420693617,0.0019292592156830099,9.586956517077292,7.779285153348828,7.366898575768831,5.389318836960714,2.1983611953597793,4.888935778462315
2024-03-06,19.341191604478553,18.30815643143063,25.085489212025898,0.0019315872952546905,9.580858714010885,7.7926843462469515,7.388893451355863,5.405041861400723,2.2010140062151002,4.894738785540149
2024-03-07,19.27575923410964,18.246218878828337,25.314333087630725,0.0019250526236642533,9.54844611458851,7.721304628983241,7.363896397254316,5.456628298213299,2.193567848471206,4.877920459297061
2024-03-08,19.233173450354236,18.11092984965297,25.628562487426432,0.001900980097740778,9.548842374809361,7.667873748328261,7.402657778845764,5.433673773839268,2.180723942047162,4.791661614598806
2024-03-11,19.230052925865866,18.248779516534015,25.51264649909272,0.002466313013193993,9.560343225727161,7.74668192058053,7.429202151026232,5.418634767223274,2.1622093648053706,4.688983316131634
2024-03-12,19.29454871500026,18.079871723700464,25.62854653626016,0.0019075162338307028,9.544433554393507,7.6904671705271515,7.357744983140781,5.473588486573604,2.186483146427544,4.742408167742699
2024-03-13,19.3546921669402,18.03136848808709,25.489094455317527,0.0019276274798270465,9.59621891540084,7.737059280866881,7.338336950616502,5.461665561823499,2.213390839759561,4.776245713708074
2024-03-14,19.510499519144904,17.70607087138432,25.32261515919655,0.0018126011145247654,9.416785905807005,7.971961557419316,7.166812023221826,5.539474504350314,2.3157003751727303,5.048267483188513
2024-03-15,19.573278600147052,17.903621972910784,24.95079946920286,0.0018333772122941345,9.507296382562068,7.901823900166635,7.201433949043921,5.528517098851879,2.3233990851140023,5.1079961647885
