date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,BNP PARIBAS,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-03-01,26.807413666964575,7.107194096028984,8.26685256354556,3.1580613759615863,1.7976691915157157,1.7220048592492352,1.3347417311842331,0.685358849552424,1.0026944714923107
2024-03-04,26.81494923263036,7.049036437014551,8.265421418333771,3.1590975162406325,1.878168013032369,1.723255386371473,1.3348359257550557,0.6847936821274898,1.0070274217501398
2024-03-05,26.64728289656655,7.1273847022847585,8.267990151377381,3.1656911361981983,1.9119975221703687,1.7227221509060475,1.33700240088397,0.6890324378144964,1.0128674851411268
2024-03-06,26.670266371847205,7.1159075648029075,8.24439808497464,3.161075602227902,1.9503285427506845,1.8187247865153526,0.0,0.6856762852560953,1.0097590643039884
2024-03-07,26.68609105974536,7.092950511099365,8.251854150422657,3.1623972933483966,1.959692613425278,1.8100919953913386,1.3363430388882136,0.6889259979494671,1.0120197340037254
2024-03-08,26.670360566418026,7.104082142895439,8.250158648147854,0.0,1.8989276015931964,1.589057087780124,0.0,0.6953312287653882,1.0303876753140875
2024-03-11,26.390166946990966,7.283014667699753,8.23870359929286,3.1634334336274423,1.867066523498957,1.5622979644199073,1.3357778714632793,0.6775284548799604,1.0378290464090547
2024-03-12,26.338925100463594,7.263755504457555,8.251759437781695,3.163904406481554,1.9032190120452925,1.544536353561929,0.0,0.6763981200300919,1.0464949469247127
2024-03-13,26.299269186147377,7.255380900652164,8.242133129421932,3.160513401931949,1.9287655215980277,1.5420590363493005,1.3355894823216345,0.6639644366815391,1.0410316618170152
2024-03-14,26.26554752979297,7.252285525763086,8.242928319988813,3.1636218227690867,1.9669814835100836,1.4881595842007491,1.334647536613411,0.6679677059414899,1.0511104808950087
2024-03-15,26.509175146507786,7.115532811702891,8.2383067104687,3.158441121373857,1.9497525429501057,1.488593679880384,0.0,0.6552514388804699,1.0268082816228374
2024-03-18,26.596901894221922,6.923436736918008,8.23639861104755,3.159006288798791,1.9842270494118117,1.4875115726507766,1.3351185094675229,0.6687584222662581,1.025395363060502
2024-03-19,26.642397871929127,6.78063442364403,8.234841904472855,3.1585353159446794,2.080614799523924,1.5064991258480083,1.334459147471766,0.6634835263002056,1.1252416081322136
2024-03-20,26.880333357826434,6.523862190057381,8.239600943871798,3.1601366236486594,1.9728164603942462,1.5072499507720334,1.3354952877508122,0.6429962071463401,1.1275022778319506
2024-03-21,27.040560818951413,6.368591058859935,8.244687450696206,3.1641869901940214,1.905085241979711,1.5439398664421962,1.334176563759299,0.689858006130469,1.0549724582987259
2024-03-22,27.07560119929733,6.406652730064984,8.236259391471876,3.163904406481554,1.8426068309043708,1.5053078942081033,0.0,0.6708307028243503,1.0559144040069497
2024-03-25,26.933156090806783,6.477148682252386,8.241053519968153,3.1623575649032247,1.8901829999386013,1.5372937201966712,1.3337080792275426,0.5982271922234832,1.060420732134961
2024-03-26,26.742183095572003,6.56100089406343,8.243266518426987,3.165276777355038,1.9287811565649848,1.5279989006660246,0.0,0.5925771036070696,1.0707792279317194
2024-03-27,26.75870442552711,6.599213667562102,8.238300184701302,3.1695143438173488,1.8329372437585347,1.5341299530759105,0.0,0.5935187850431386,1.0904542490162257
2024-03-28,26.74323156368292,6.555572712677426,8.237954210941691,3.171774379263914,1.9120921602301812,1.5408881182381464,0.0,0.596626333782166,1.0897950720109775
2024-04-02,26.716174088259407,6.51187905664148,8.23535222589638,3.171995541847155,1.9023459802668201,1.5655852072774552,1.3335089462370326,0.6129633424219939,1.0903684225544952
2024-04-03,26.719447727345287,6.46546544283013,8.231052470234532,0.0,1.9314979074637009,1.5518543597880718,1.3338855891646648,0.609890406936177,1.087261118401532
2024-04-05,26.759218536922354,6.405218487572715,8.231052140671972,3.173031309898143,1.9279227186338868,1.5852863159734638,1.3336031069689407,0.6073480671746616,1.0878260827929798
2024-04-08,26.762794714439856,6.541047885689738,8.23161710506342,3.1728429884343265,1.8685882279490265,1.573445980578963,1.3334147855051248,0.6091371210809132,1.0886735293801515
2024-04-09,0.0,6.509544529615285,8.23265296727514,3.1777393464935417,1.896664086301663,1.5715058457783653,1.3345447142880207,0.6302291250283006,1.0814231530232372
2024-04-10,26.27317581036974,6.481697387680454,8.234575399858137,3.185554687241904,2.1275949291187906,1.570650583850445,1.3344505535561126,0.6586656660645104,1.1133436411400421
2024-04-11,26.22797865905391,6.550460616174552,8.233660628347653,3.184989722850456,2.0186980426672125,1.5927658795518422,1.342642537232107,0.669494150233928,1.1150385343143858
2024-04-12,26.185229686767684,6.627160935243372,8.236720757973929,3.185083883582364,2.1048150940519528,1.5713913934087311,1.359591468975543,0.6817727096747285,1.118145838467349
2024-04-15,26.13334919502249,6.667073080079036,8.236485403224526,3.18574300870572,2.038341007111268,1.614272849844748,1.3611922014179787,0.6942019262865817,1.097554063408223
