date,EMPEROR SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,INTERACTIVE BROKERS HONG KONG LTD,NANYANG COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,0.0,77.13775289858067,0.0,0.0,0.0,0.0,0.0,0.0,22.862247101419335,0.0
2024-03-06,0.0,38.64731311211212,0.0,28.134914735628485,0.0,0.0,0.0,11.541142897167035,11.858019961933392,9.81860929315896
2024-03-07,0.0,38.328159076344406,0.0,28.382354154353994,0.0,0.0,0.0,11.522418032743719,11.964389592559883,9.802679143997993
2024-03-12,0.0,29.00388510414298,24.474013983230304,21.47764355805037,0.0,0.0,0.0,8.719304469539845,8.927020561016272,7.3981323240202315
2024-03-13,0.0,28.9924027590616,24.464324968359612,21.469140775958152,0.0,0.0,0.0,8.715852584993021,8.963075433449827,7.395203478177784
2024-03-14,0.0,28.990107380937612,24.470305256971407,21.467441027355473,0.0,0.0,0.0,8.715162536033581,8.96236581143455,7.394617987267378
2024-03-15,0.0,29.015663721888973,24.445145525104707,21.445368762443344,0.0,0.0,0.0,8.706201832426549,9.000605124892816,7.387015033243609
2024-03-18,0.0,29.020254163593044,24.449012885043672,21.448761540774044,0.0,0.0,0.0,8.707579202675898,8.986208507214725,7.388183700698617
2024-03-19,0.0,28.996523317309098,24.449012885043672,21.448761540774044,0.0,0.0,0.0,8.707579202675898,9.009939353498677,7.388183700698617
2024-03-21,0.0,28.991936629364922,24.445145525104707,21.445368762443344,0.0,0.0,0.0,8.706201832426549,9.024332217416866,7.387015033243609
2024-03-22,0.0,29.074061662597607,24.444372199930196,21.443899457510536,0.0,0.0,0.0,8.70592641066461,8.944958925179312,7.3867813441177335
2024-03-25,0.0,29.073417347312652,24.44050630786869,21.440508092005118,0.0,0.0,0.0,8.704549563203619,8.955405569373113,7.385613120236803
2024-03-26,0.0,24.953095628283478,21.29135990938632,18.406938398773107,0.0,13.829707651751866,0.0,7.472962250307017,7.705296977109574,6.340639184388635
2024-04-03,0.0,24.981926792464016,21.26158781276105,18.3500456581936,0.0,13.845686694104614,0.0,7.481596617952742,7.731191174782256,6.347965249741723
2024-04-05,0.0,24.981077866132868,21.260865309573596,18.349422093923863,0.0,13.845216195247376,0.0,7.481342381183066,7.734326618337356,6.347749535601878
2024-04-08,0.0,24.89647560997515,21.493660944425834,18.28727895836121,0.0,13.818647165931678,0.0,7.456005666413263,7.721679747820633,6.326251907072241
2024-04-09,0.0,24.86279494082784,21.464583700948705,18.397822280462066,0.0,13.799952902110954,0.0,7.4459189672376445,7.711233637097088,6.317693571315703
2024-04-10,0.0,24.831065201655694,21.41388738480893,18.563562430784092,0.0,13.767359361756917,0.0,7.428332757918452,7.693020791987185,6.302772071088728
2024-04-22,0.0,24.709598177087003,21.41388738480893,18.5568142627525,0.0,13.767359361756917,0.0,7.428332757918452,7.821235984587471,6.302772071088728
