date,GET NICE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,GLOBAL MASTERMIND SECURITIES LTD
2024-03-01,0.0,0.0,0.0,44.44142602168824,0.0,32.81680071684276,0.0,0.0,22.741773261469007,0.0
2024-03-04,0.0,0.0,0.0,42.794479015615025,0.0,31.62850779859012,3.677569480218043,0.0,21.899443705576807,0.0
2024-03-05,0.0,0.0,0.0,39.842200572162504,6.932766358219,29.371854091487393,3.4151795864706105,0.0,20.437999391660494,0.0
2024-03-06,0.0,0.0,0.0,39.88250306753431,6.83862392383411,29.401565277028947,3.4186342214431016,0.0,20.45867351015953,0.0
2024-03-08,0.0,0.0,0.0,39.822079854233856,6.828263199199255,29.357021005394518,3.4134548859232443,0.0,20.579181055249126,0.0
2024-03-11,0.0,0.0,0.0,39.827014110823065,6.83343790755201,29.379268832898653,3.4160417272611725,0.0,20.5442374214651,0.0
2024-03-12,0.0,0.0,0.0,39.82750642718998,6.833955982498938,29.376441900552862,3.4163007133909207,0.0,20.545794976367297,0.0
2024-03-13,0.0,0.0,0.0,39.577388709809846,6.873910305929029,29.44651230536116,3.43627391544063,0.0,20.665914763459334,0.0
2024-03-14,0.0,0.0,0.0,39.597488819345806,6.826545676962066,29.46150510616058,3.438023507031382,0.0,20.676436890500163,0.0
2024-03-15,0.0,0.0,0.0,39.607546551602205,6.828284000006106,29.443568504207818,3.438898971105165,0.0,20.6817019730787,0.0
2024-03-18,0.0,0.0,0.0,39.6115772243217,6.82897888217973,29.436388309816223,3.439248931591858,0.0,20.68380665209049,0.0
2024-03-19,0.0,0.0,0.0,39.62233305772905,6.830833172373304,29.41722799091091,3.4401827996967587,0.0,20.68942297928998,0.0
2024-03-20,0.0,0.0,0.0,39.62131894771854,6.830947903807144,29.417722085944682,3.4402405813897556,0.0,20.689770481139877,0.0
2024-03-26,0.0,0.0,0.0,39.61124043653896,6.8546524893341285,29.41023398460565,3.4393654842430474,0.0,20.684507605278217,0.0
2024-03-27,0.0,0.0,0.0,39.62132096433707,6.830948251484013,29.417718493496647,3.440240756488745,0.0,20.689771534193525,0.0
