date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CITIBANK N.A.,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,61.66945132541986,0.0,20.637769651795193,9.570185499457807,0.0,8.122593523327144,0.0,0.0
2024-03-18,0.0,57.08488072906429,0.0,19.109019549502783,8.8612706163042,7.42391957620482,7.520909528923908,0.0,0.0
2024-03-21,0.0,56.98656427898333,0.0,19.109015635945365,8.86118688086946,7.424020456564984,7.619212747636856,0.0,0.0
2024-03-22,0.0,56.98400473384165,0.0,19.031776215827456,8.878657713912029,7.422241323650157,7.683320012768699,0.0,0.0
2024-03-25,0.0,56.97465153024842,0.0,19.02865239049228,8.877200394553364,7.421023056619918,7.6984726280860185,0.0,0.0
2024-03-26,0.0,56.92541032491235,0.0,19.077893595828353,8.877200394553364,7.421023056619918,7.6984726280860185,0.0,0.0
2024-03-27,0.0,56.89739336261579,0.0,19.11772100490882,8.872831305471115,7.4173706539056905,7.694683673098586,0.0,0.0
2024-03-28,0.0,56.85075966011407,0.0,19.10205191954015,8.865559039537766,7.411291298842537,7.7703380819654795,0.0,0.0
2024-04-02,0.0,56.83436744959416,0.0,19.118444130060062,8.865559039537766,7.411291298842537,7.7703380819654795,0.0,0.0
2024-04-03,0.0,47.70910157469558,0.0,16.289599605936626,7.54606920883427,6.274918474123354,6.646443960943467,15.533867175466703,0.0
2024-04-05,0.0,47.686086285559945,0.0,16.23609759316157,7.622699260005321,6.253283900089178,6.652893086089487,15.548939875094492,0.0
2024-04-11,0.0,47.32568464010465,0.0,16.23609759316157,7.983100905460619,6.253283900089178,6.652893086089487,15.548939875094492,0.0
2024-04-15,0.0,46.97914459639763,0.0,16.23609759316157,8.329640949167635,6.253283900089178,6.652893086089487,15.548939875094492,0.0
2024-04-16,0.0,46.97902249555382,0.0,16.236315299193752,8.329619300067863,6.253267647531849,6.652875794930472,15.548899462722247,0.0
2024-04-17,0.0,46.60718290306009,0.0,16.233693749311435,8.704334033413447,6.253592714730886,6.653221635189054,15.547974964295083,0.0
2024-04-19,0.0,46.232901173092515,0.0,16.233693749311435,9.078615763381032,6.253592714730886,6.653221635189054,15.547974964295083,0.0
2024-04-22,0.0,46.26496808474372,0.0,16.175593853485466,9.084912646384536,6.257930175716411,6.657836276817809,15.558758962852053,0.0
2024-04-23,0.0,45.902365875069975,0.0,16.1798021900342,9.449773931517212,6.259558275217205,6.645692908112314,15.562806820049099,0.0
2024-04-25,0.0,45.51385159219224,0.0,16.1798021900342,9.838288214394947,6.259558275217205,6.645692908112314,15.562806820049099,0.0
2024-04-29,0.0,45.08394536503344,0.0,16.17988637910054,10.267962123406724,6.259590845848212,6.645727487934401,15.562887798676678,0.0
2024-05-03,0.0,45.127493753579365,0.0,16.1688973755794,10.262088434734304,6.2560101072943155,6.631525129958034,15.553985198854575,0.0
2024-05-07,0.0,45.13823159365043,0.0,16.167776330673806,10.261376929076665,6.255576356736239,6.624132001951458,15.5529067879114,0.0
2024-05-08,0.0,45.15344239066873,0.0,16.163293705137903,10.258531892794926,6.253841955805339,6.6222954164706955,15.548594639122406,0.0
2024-05-09,0.0,45.16104462664389,0.0,16.16105332436948,10.257109966176243,6.2529751159457065,6.621377505581705,15.546439461282976,0.0
