date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,3.0958764202732034,0.0,8.1606309488347,0.24540051349702824,0.0,1.4909969573173327,0.0,0.0,0.0
2024-03-04,3.0738896690639317,0.0,8.125168446884265,0.21064726158559938,0.0,0.0,0.0,0.0,0.0
2024-03-05,3.1540349234719205,0.0,8.159921698795694,0.2007177610394769,0.0,1.4711379562250877,0.0,0.0,0.0
2024-03-06,3.1377221725747195,0.0,8.145736698015519,0.15390725846489922,0.0,1.4484419549768075,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.17731250975218804,0.0,0.0,0.0,1.8514972268323475,0.0
2024-03-08,3.027079166489354,0.0,8.068428443763565,0.2872462657985446,0.0,1.4718472062640964,0.0,1.8458232265202774,0.0
2024-03-11,3.0029646651630566,0.0,8.147864448132545,0.3021405166177284,0.0,1.4831952068882364,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.33405676837312226,0.0,1.4753934564591402,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.2758982651744046,1.4943898321914406,1.484613706966254,0.0,1.9983119849071591,0.0
2024-03-14,2.933458161340199,0.0,0.0,0.0,0.0,1.4633362057959913,0.0,0.0,0.0
2024-03-15,2.9518986623544263,0.0,8.144318197937501,0.0,0.0,1.4590807055619388,0.0,2.086968239783253,0.0
2024-03-18,2.909343660013901,0.0,0.0,0.0,0.0,1.4292922039235711,0.0,2.1493822432160234,0.0
2024-03-19,2.9320396612621815,0.0,8.067719193724555,0.31065151708583344,0.0,1.355530199866661,0.0,2.1536377434500755,0.0
2024-03-20,0.0,0.0,8.062754443451494,0.0,1.4695660808261344,1.3590764500617047,0.0,0.0,0.0
2024-03-21,0.0,0.0,8.14006269770345,0.3056867668127722,0.0,1.361204200178731,0.0,0.0,0.0
2024-03-22,2.9667929131736104,0.0,0.0,0.0,0.0,0.0,0.0,2.324567002851185,0.0
2024-03-25,0.0,0.0,8.13864419762543,0.0,0.0,1.372552200802871,0.0,2.5018795126033733,0.0
2024-03-26,3.0065109153581004,0.0,0.0,0.0,0.0,1.3739707008808886,0.0,2.605430018298651,0.0
2024-03-27,2.9667929131736104,0.0,0.0,0.0,0.0,1.3789354511539498,0.0,0.0,0.0
