date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,64.06279237888704,35.937207621112954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,64.03672033708061,35.96327966291939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,52.22035765153302,29.340438024692606,0.0,9.093488093438046,0.0,0.0,0.0,0.0,9.345716230336327
2024-03-12,0.0,52.216891712240596,29.338490658156257,0.0,9.099521687724327,0.0,0.0,0.0,0.0,9.345095941878814
2024-03-14,0.0,52.22382405096515,29.32910960345379,0.0,9.100729744437436,0.0,0.0,0.0,0.0,9.346336601143625
2024-03-18,0.0,52.141275176563425,29.334951386049646,0.0,9.175575229558683,0.0,0.0,0.0,0.0,9.34819820782824
2024-03-19,38.91656856794567,31.832772168926038,17.909282442681256,0.0,5.634207927241379,0.0,0.0,0.0,0.0,5.707168893205656
2024-03-26,38.89427690503089,31.84438915589282,17.915818219698004,0.0,5.636264063593927,0.0,0.0,0.0,0.0,5.709251655784351
2024-03-27,36.45977757489506,29.758090019956253,16.74963394337844,0.0,5.2670017490235015,0.0,0.0,0.0,6.430289185678332,5.335207527068411
2024-04-02,36.45322578652922,29.755834997870245,16.75973145024883,0.0,5.2666026237683825,0.0,0.0,0.0,6.429801908298521,5.334803233284807
2024-04-03,33.43210648402171,27.27239810400586,15.367267031453425,0.0,4.969120909692448,0.0,8.15213821967726,0.0,5.914296355452129,4.892672895697179
2024-04-05,33.44605312586235,27.290727861344433,15.488397546441208,0.0,4.971193843673544,0.0,8.155538991089605,0.0,5.753374693202598,4.894713938386259
2024-04-09,31.845251079001578,25.98453329015363,14.740468651145585,0.0,4.73326151574392,4.79284103132671,7.765196864290375,0.0,5.478005460528803,4.6604421078093985
2024-04-11,31.732268902648343,26.027608632211564,14.764904369199561,0.0,4.741107985663685,4.80078626800071,7.778069464592312,0.0,5.487086514876503,4.668167862807321
2024-04-15,31.715444695866086,26.037004908852314,14.800154259469384,0.0,4.738594286395204,4.7849861185697025,7.773945591526678,0.0,5.4841773034853585,4.665692835835278
2024-04-26,28.806376076041367,23.625790219409318,13.481943701273577,9.19739773074485,4.303052103701991,4.309070358392483,7.0594127519474625,0.0,4.980105756382374,4.236851302106576
2024-05-03,27.30678120396634,22.395884945374743,12.780104164545136,8.718601979517718,4.079044930708436,4.084749888653484,6.691915669539855,5.205774124855172,4.720852699526198,4.016290393312922
2024-05-06,27.330290317974086,22.361440754019814,12.945574728720665,8.67386402286266,4.07277148339964,4.012961552524541,6.681623706332555,5.197767802240799,4.713592171347136,4.010113460578107
2024-05-08,27.330290317974086,22.361440754019814,12.954119004559967,8.389054828219328,4.443023436435971,4.012961552524541,6.681623706332555,5.189223526401499,4.628149412954136,4.010113460578107
2024-05-09,27.330290317974086,22.361440754019814,12.939878544827799,8.389054828219328,4.443023436435971,4.012961552524541,6.695864166064723,5.189223526401499,4.628149412954136,4.010113460578107
2024-05-13,27.326398913140608,22.35825683545834,12.952274541119538,8.387860358342609,4.442390819560166,4.012390169718124,6.694910779990994,5.18848466233245,4.62749043704184,4.009542483295329
2024-05-16,27.248005967219513,22.315045384258276,13.129036858733228,8.371649272603014,4.43380508071998,3.96484492795152,6.681971631264533,5.178456959661412,4.675390613964337,4.001793303624187
2024-05-20,27.27823395224792,22.30490224693444,13.125910043873013,8.367844001910669,4.43178972771368,3.9630427372824255,6.6789343909326035,5.176103130701491,4.673265450057054,3.999974318346706
2024-05-21,26.74702160503389,22.320095371847263,13.131505820084827,8.371411341794422,4.473468494987072,4.419468557627,6.681781722817412,5.1783097826343365,4.675257734595765,4.001679568578016
2024-05-22,26.709685551418332,22.32354601422444,13.097264797492564,8.369508382096031,4.472451601907708,4.48950033736606,6.685945755583759,5.177132667519596,4.674194971498209,4.000769920893299
2024-05-23,26.615550265209514,22.31847265774209,13.108492300807931,8.367606287349197,4.471435171036372,4.585067576907691,6.684426275380295,5.1759560874385455,4.673132691457963,3.999860686670402
2024-05-24,26.36127689160659,22.359533571804757,13.200057173269423,8.571171166982742,4.422367130971748,4.5697793686708055,6.724265919657042,5.165098020917003,4.634980935345389,3.9914698207745007
2024-05-28,26.37099541021602,22.36777678187418,13.30417994598526,8.574331070307359,4.423997509402838,4.4353410927602805,6.726744930963803,5.167002219315366,4.636689697354898,3.9929413418199973
2024-05-29,26.44665304943357,22.519129498265052,13.060158412682332,8.523856491318572,4.45393271695092,4.39397593037658,6.712305011251034,5.201965006592677,4.668064097573561,4.019959785555701
2024-05-30,26.427889113731144,22.58360761931791,13.077510221408446,8.576895107278618,4.466685484010898,4.357881606836274,6.57977130913913,5.216859584530677,4.681429978434499,4.0314699753124
2024-05-31,26.284145682397646,22.460773546678965,13.487639588604994,8.79507951680229,4.442390819560166,4.345569481185136,6.330406917873237,5.18848466233245,4.655967301269789,4.009542483295329
2024-06-04,26.28489419376085,22.461413177292382,13.485175917705897,8.795329980219977,4.44251732852296,4.345693232901306,6.330587193145218,5.188632418313355,4.6560998923942565,4.0096566657438
2024-06-05,26.27874162596538,22.465891611840487,13.487864638902575,8.797083623649911,4.440554757736834,4.346559692306869,6.331849407600372,5.183970275228375,4.657028241757359,4.010456125011842
2024-06-07,26.19591924024679,22.39508613846312,13.575965581980705,8.769357963744007,4.605439086026479,4.338539410264155,6.311893395953676,5.167632020079033,4.6423507433127575,3.997816419929274
2024-06-11,26.200382776630576,22.407421575063868,13.578278797858509,8.770852179235154,4.580665230728932,4.339278656263985,6.31296888277149,5.16851253560239,4.643141755884565,3.99849760996053
2024-06-12,26.177321854589536,22.414423451516956,13.582521741664861,8.773592897221898,4.582096598095814,4.340634595096344,6.314941560797887,5.170127593635698,4.64459264593097,3.9997470614500346
2024-06-14,26.177321854589536,22.414423451516956,13.579681012217806,8.773592897221898,4.584937327542867,4.340634595096344,6.314941560797887,5.170127593635698,4.64459264593097,3.9997470614500346
2024-06-17,26.1774556479068,22.41697067346519,13.578383183288839,8.77458994666379,4.585458369407594,4.335445769340762,6.315659203961017,5.170715137745862,4.645120467150816,4.000201601069326
2024-06-18,26.15887596439917,22.401060027835044,13.639721699539956,8.768362102891995,4.582203799277215,4.332368647891593,6.3111766082981715,5.167045176384469,4.641823551312421,3.9973624221699624
2024-06-19,26.157390729019024,22.399788151820516,13.63610839572754,8.767864257279712,4.581943633236022,4.332122666863798,6.319334899370127,5.166751804516457,4.6415600002112125,3.9971354619555886
2024-06-20,26.158133325626515,22.400424071773784,13.633656563525342,8.768113173019046,4.58207371256362,4.33224565388605,6.319514302457632,5.166898486286114,4.641691772020768,3.997248938841126
2024-06-21,26.137356545938406,22.382631950674547,13.693745183637482,8.761148870428778,4.578434281001149,4.32880465477556,6.323004964282256,5.162794542392869,4.638004987259528,3.994074019609428
2024-06-24,26.1395810506591,22.38453689734918,13.692073692625195,8.761894516492362,4.578823943538505,4.329173071771845,6.3235431041805,5.163233938810458,4.632725836306307,3.994413948266552
