date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,2.8668046266395977,0.0,0.0,0.0,1.3845179774420502,0.0,0.0,2.7714639507975964,2.199203990878206,9.221990545757452
2024-03-04,2.860828021314069,0.0,1.629185257955889,0.0,1.389747507101888,0.0,0.0,2.7658608833049136,2.202005524624548,10.847627194301307
2024-03-05,2.8572794119020357,0.0,1.626757262042393,0.0,1.389747507101888,0.0,0.0,2.76025781581223,2.2057409029530035,10.839782899811551
2024-03-06,2.858400025400573,0.0,1.626757262042393,0.0,1.393109347597498,0.0,1.0287231916566588,2.749051680826863,2.2091027434486135,11.8651442509726
2024-03-07,2.8570926429856134,0.0,1.6304926403708484,0.0,1.3893739692690426,0.0,1.0287231916566588,2.740273541754993,2.2147058109412967,11.860661796978453
2024-03-08,2.856345567319922,0.0,1.6304926403708484,0.0,1.386572435522701,0.0,1.0287231916566588,2.740273541754993,2.2147058109412967,11.85711318756642
2024-03-11,2.8541043403228485,0.0,1.6304926403708484,0.0,1.386572435522701,0.0,1.0287231916566588,2.735977856677269,2.2171338068547928,11.853004271405117
2024-03-12,2.8434585120867504,0.0,1.6304926403708484,0.0,1.3847047463584732,0.0,1.0287231916566588,2.735977856677269,2.2232971810967443,11.846654128246744
2024-03-13,2.830197919020733,0.0,1.6304926403708484,0.0,1.3938564232631891,0.0,1.0287231916566588,2.735977856677269,2.2232971810967443,11.842545212085442
2024-03-14,2.8057311909693494,0.0,1.640764930774101,0.0,1.4005801042544093,0.0,1.0287231916566588,2.7335498607637727,2.2277796350908914,11.837128913509183
2024-03-15,2.8057311909693494,0.0,1.640764930774101,0.0,1.4005801042544093,0.0,1.0287231916566588,2.7236511081933656,2.22030887843398,11.819759404281864
2024-03-18,2.8040502707215444,0.0,1.640764930774101,0.0,1.4005801042544093,0.0,1.0287231916566588,2.7169274272021458,2.204433520538044,11.795479445146903
2024-03-19,2.8040502707215444,0.0,1.640764930774101,0.0,1.1445199198387812,0.0,1.0287231916566588,2.7163671204528774,2.2040599827051985,11.538485416149161
2024-03-20,2.8040502707215444,0.0,1.640764930774101,0.0,1.1452669955044723,0.0,1.0287231916566588,2.7169274272021458,2.2033129070395074,11.539045722898429
2024-03-21,2.8040502707215444,0.0,1.640764930774101,0.0,1.1452669955044723,0.0,1.0287231916566588,2.7059080611332016,2.2091027434486135,11.533816193238591
2024-03-22,2.8005016613095117,0.0,1.640764930774101,0.0,1.1454537644208949,0.0,1.0287231916566588,2.694701926147835,2.2092895123650362,11.519434986674037
2024-03-25,2.7874474478961417,0.0,2.5381895741855476,0.6883818527850046,1.1454537644208949,0.0,1.0287231916566588,2.6834957911624686,2.2092895123650362,13.080981134471752
2024-03-26,2.7788560777406937,0.0,2.5381895741855476,0.6883818527850046,1.1454537644208949,0.0,1.0287231916566588,2.6741573453413294,2.209476281281459,13.063238087411587
2024-03-27,2.5547333780333603,0.0,2.5381895741855476,0.6883818527850046,1.1445199198387812,0.0,1.0287231916566588,2.6741573453413294,2.2105968947799957,12.839302156620677
2024-03-28,2.5508112307884825,0.0,2.5381895741855476,0.6883818527850046,1.147881760334391,0.0,1.0287231916566588,2.6681807400158006,2.2105968947799957,12.832765244545879
2024-04-02,2.5508112307884825,0.0,2.5381895741855476,0.6883818527850046,1.146200840086586,0.0,1.0287231916566588,2.658655525278239,2.210410125863573,12.821372340644091
2024-04-03,2.477971353383599,0.0,2.5381895741855476,0.6885686217014275,1.1452669955044723,0.0,1.0287231916566588,2.7202892676977557,2.207982129950077,12.806991134079537
2024-04-05,2.4708741345595335,0.0,2.534454195857092,0.6887553906178502,1.1458273022537406,0.0,1.0287231916566588,2.708709594879543,2.2098498191143046,12.787193628938724
2024-04-08,2.4727418237237613,0.0,2.534454195857092,0.6887553906178502,1.1458273022537406,0.0,1.0287231916566588,2.6975034598941767,2.2098498191143046,12.777855183117584
2024-04-09,2.4723682858909157,0.0,2.5353880404392055,0.6887553906178502,1.1583408196540665,0.0,1.0287231916566588,2.6844296357445825,2.2107836636964184,12.778789027699696
2024-04-10,2.4723682858909157,0.0,2.5353880404392055,0.6846464744565491,1.1585275885704893,0.0,1.0287231916566588,2.6844296357445825,2.210410125863573,12.774493342621973
2024-04-11,2.4723682858909157,0.0,2.5353880404392055,0.6846464744565491,1.1678660343916283,0.0,1.0287231916566588,2.6732235007592156,2.210410125863573,12.772625653457748
2024-04-12,2.4723682858909157,0.0,2.534454195857092,0.6846464744565491,1.1678660343916283,0.0,1.0287231916566588,2.662017365773849,2.21358519744276,12.763660745469451
2024-04-15,2.4723682858909157,0.0,2.523248060871725,0.6846464744565491,1.1678660343916283,0.0,1.0287231916566588,2.650811230788482,2.2120910461113774,12.739754324167338
2024-04-16,2.4723682858909157,0.0,2.523248060871725,0.6846464744565491,1.1676792654752055,0.0,1.0287231916566588,2.6439007808808395,2.2120910461113774,12.732657105343273
2024-04-17,2.4723682858909157,0.0,2.523248060871725,0.6846464744565491,1.1676792654752055,0.0,1.0287231916566588,2.6439007808808395,2.211904277194955,12.732470336426848
2024-04-18,2.4723682858909157,0.0,2.5213803717074974,0.6846464744565491,1.1678660343916283,0.0,1.0287231916566588,2.632694645895473,2.2115307393621095,12.719209743360832
2024-04-19,2.4723682858909157,0.0,2.5213803717074974,0.6846464744565491,1.1659983452274005,0.0,1.0287231916566588,2.6213017419936833,2.2115307393621095,12.705949150294815
2024-04-22,2.4798390425478267,0.0,2.5213803717074974,0.6844597055401264,1.1659983452274005,0.0,1.0287231916566588,2.6100956070083168,2.2130248906934917,12.70352115438132
2024-04-23,2.4798390425478267,0.0,2.5213803717074974,0.6844597055401264,1.1659983452274005,0.0,1.0287231916566588,2.5988894720229503,2.2133984285263373,12.692688557228799
2024-04-24,2.453878163165061,0.0,2.5213803717074974,0.6844597055401264,1.1659983452274005,1.034513028065765,1.0287231916566588,2.5988894720229503,2.2124645839442234,13.700306861329684
2024-04-25,2.453878163165061,0.0,2.5213803717074974,0.6844597055401264,1.1659983452274005,1.034513028065765,1.0287231916566588,2.5988894720229503,2.2132116596099145,13.701053936995375
2024-04-26,2.398407794987496,0.0,2.5269834392001806,0.6844597055401264,1.1661851141438233,1.034513028065765,1.0287231916566588,2.5802125803806724,2.214332273108451,13.633817127083173
2024-04-29,2.3946724166590405,0.0,2.5221274473731885,0.6844597055401264,1.1708543370543927,1.034513028065765,1.0287231916566588,2.5615356887383944,2.2221765675982077,13.619062382685772
2024-04-30,2.4028902489816426,1.9623810048541241,2.5221274473731885,0.6844597055401264,1.1725352573021977,1.034513028065765,1.0287231916566588,2.542858797096117,1.941649655131196,15.292138336001015
2024-05-02,2.4028902489816426,2.6590290631110847,2.5221274473731885,0.6857670879550858,1.1708543370543927,1.034513028065765,1.0287231916566588,2.524181905453839,1.265359408764318,15.293445718415978
2024-05-03,2.4122286948027813,2.6590290631110847,2.5221274473731885,0.6844597055401264,1.1708543370543927,1.034513028065765,1.0287231916566588,2.5055050138115615,1.273950778919766,15.291391260335324
2024-05-06,2.42156714062392,3.4090930314649595,2.527730514865872,0.6844597055401264,1.1708543370543927,1.034513028065765,1.0287231916566588,2.4868281221692836,0.5285560334764605,15.29232510491744
2024-05-07,2.42156714062392,3.4090930314649595,2.525862825701644,0.6844597055401264,1.17066756813797,1.034513028065765,1.0287231916566588,2.4681512305270057,0.5326649496377617,15.275702671355813
2024-05-09,2.42156714062392,3.4090930314649595,2.5256760567852212,0.6669034273963852,1.1732823329678888,1.034513028065765,1.0287231916566588,2.449474338884728,0.53322525638703,15.242457804232556
2024-05-10,2.4211936027910745,3.4090930314649595,2.526796670283758,0.655323754578173,1.1732823329678888,1.034513028065765,1.0287231916566588,2.4307974472424503,0.5334120253034528,15.213135084354182
2024-05-13,2.4305320486122137,3.4090930314649595,2.527356977033026,0.655323754578173,1.1727220262186204,1.034513028065765,1.0287231916566588,2.412120555600173,0.555077219608495,15.225461832838082
